naziv;nadredjena_ustanova;vrsta_ustanove;tip_financiranja;upisnik;adresa;mjesto;telefon;faks;e_mail;web;celnik
Farmaceutsko-biokemijski fakultet, Zagreb;Sveučilište u Zagrebu;Fakultet;Javno;Znanstvena ustanova i visoko učilište;Ante Kovačića 1;Zagreb;(+385 1) 4818 288;(+385 1) 6394 400;dekanat@pharma.hr;www.pharma.unizg.hr;dekanica dr. sc. Jasmina Lovrić
Filozofski fakultet u Splitu;Sveučilište u Splitu;Fakultet;Javno;Znanstvena ustanova i visoko učilište;Poljička cesta 35;Split;(+385 21) 491 515;(+385 21) 329 288;dekanat@ffst.hr;www.ffst.unist.hr;dekanica izv. prof. dr. sc. Gloria Vickov
Filozofski fakultet, Osijek;Sveučilište  Josipa Jurja Strossmayera u Osijeku;Fakultet;Javno;Znanstvena ustanova i visoko učilište;Lorenza Jagera 9;Osijek;(+385 31) 211 400;(+385 31) 211 514;"helpdesk@knjiga.ffos.hr; dekan@ffos.hr";www.ffos.unios.hr;ravnatelj izv. prof. dr. sc. Ivan Trojan
Filozofski fakultet, Rijeka;Sveučilište u Rijeci;Fakultet;Javno;Znanstvena ustanova i visoko učilište;Sveučilišna avenija 4;Rijeka;"(+385 51) 265 600; 265 602";(+385 51) 216 099;dekanat@ffri.uniri.hr;www.ffri.uniri.hr;dekan izv. prof. dr. sc. Aleksandar Mijatović
Filozofski fakultet, Zagreb;Sveučilište u Zagrebu;Fakultet;Javno;Znanstvena ustanova i visoko učilište;Ivana Lučića 3;Zagreb;(+385 1) 6120 111;(+385 1) 6156 879;"ured_dekana@ffzg.hr; o.d.dekana@ffzg.hr";www.ffzg.unizg.hr;v.d. dekan prof. dr. sc. Miljenko Jurković
Geodetski fakultet, Zagreb;Sveučilište u Zagrebu;Fakultet;Javno;Znanstvena ustanova i visoko učilište;Fra Andrije Kačića Miošića 26;Zagreb;(+385 1) 4639 222;(+385 1) 4828 081;"info@geof.unizg.hr; pisarnica@geof.unizg.hr;";www.geof.unizg.hr;dekan izv. prof. dr. sc. Almin Đapo
Geotehnički fakultet, Varaždin;Sveučilište u Zagrebu;Fakultet;Javno;Znanstvena ustanova i visoko učilište;Hallerova aleja 7;Varaždin;(+385 42) 408-900;(+385 42) 313 587;ured.dekana@gfv.unizg.hr;www.gfv.unizg.hr;dekan izv. prof. dr. sc. Hrvoje Meaški
Građevinski fakultet, Rijeka;Sveučilište u Rijeci;Fakultet;Javno;Znanstvena ustanova i visoko učilište;Radmile Matejčić 3;Rijeka;(+385 51) 265 900;(+385 51) 265 998;"dekanat@gradri.hr; info@gradri.uniri.hr";www.gradri.uniri.hr;dekan dr. sc. Mladen Bulić
Građevinski fakultet, Zagreb;Sveučilište u Zagrebu;Fakultet;Javno;Znanstvena ustanova i visoko učilište;Ulica fra Andrije Kačića Miošića 26;Zagreb;(+385 1) 4639 255;(+385 1) 4639 206;ured.dekana@grad.unizg.hr;www.grad.unizg.hr;dekan prof. dr. sc. Stjepan Lakušić
Građevinski i arhitektonski fakultet Osijek;Sveučilište  Josipa Jurja Strossmayera u Osijeku;Fakultet;Javno;Znanstvena ustanova i visoko učilište;Ulica Vladimira Preloga 3;Osijek;(+385 31) 540 070;"(+385 31) 540 071;(+385 31) 540 071";gfos@gfos.hr;www.gfos.unios.hr;dekan prof. dr. sc. Damir Varevac
Grafički fakultet, Zagreb;Sveučilište u Zagrebu;Fakultet;Javno;Znanstvena ustanova i visoko učilište;Getaldićeva 2;Zagreb;(+385 1) 2371 080;(+385 1) 2371 077;info@grf.hr;www.grf.unizg.hr;dekan prof. dr. sc. Nikola Mrvac
Hrvatsko katoličko sveučilište, Zagreb;NA;Sveučilište;Privatno;Znanstvena ustanova i visoko učilište;Ilica 242;Zagreb;(+385 1) 3706 600;(+385 1) 3706 601;"info@unicath.hr;rektorat@unicath.hr";www.unicath.hr;rektor dr. sc. Željko Tanjić
Istarsko veleučilište, Pula;NA;Veleučilište;Privatno;Visoko učilište;Riva 6;Pula - Pola;(+385 52) 381 412;(+385 52) 381 412;dekanat@iv.hr;www.iv.hr;dekan dr. sc. Daglas Koraca
Katolički bogoslovni fakultet, Đakovo;Sveučilište  Josipa Jurja Strossmayera u Osijeku;Fakultet;Javno;Znanstvena ustanova i visoko učilište;Petra Preradovića 17;Đakovo;(+385 31) 802 400;(+385 31) 802 403;"tajnistvo@djkbf.hr; dekan@djkbf.hr";www.djkbf.unios.hr;dekan dr. sc. Vladimir Dugalić
Katolički bogoslovni fakultet, Split;Sveučilište u Splitu;Fakultet;Javno;Znanstvena ustanova i visoko učilište;Zrinsko-Frankopanska 19;Split;(+385 21) 308 300;"(+385 21) 386 144; 386 142";office@kbf-st.hr;www.kbf.unist.hr;dekan dr. sc. Mladen Parlov
Katolički bogoslovni fakultet, Zagreb;Sveučilište u Zagrebu;Fakultet;Javno;Znanstvena ustanova i visoko učilište;Vlaška 38;Zagreb;"(+385 1) 4890 400; (+385 1) 4890 402";(+385 1) 4814 704;"kbf@kbf.unizg.hr;ured@kbf.unizg.hr";www.kbf.unizg.hr;dekan mr. sc. Josip Šimunović
Kemijsko-tehnološki fakultet, Split;Sveučilište u Splitu;Fakultet;Javno;Znanstvena ustanova i visoko učilište;Ruđera Boškovića 35;Split;(+385 21) 329 422;(+385 21) 329 461;dekanat@ktf-split.hr;www.ktf.unist.hr;dekan prof. dr. sc. Matko Erceg
Kineziološki fakultet, Osijek;Sveučilište  Josipa Jurja Strossmayera u Osijeku;Fakultet;Javno;Visoko učilište;Drinska 16a;Osijek;(+385  31) 559 300;(+385 31) 559 301;ured@kifos.hr;www.kifos.hr;dekanica prof. dr. sc. Vesnica Mlinarević
Fakultet za odgojne i obrazovne znanosti, Osijek;Sveučilište  Josipa Jurja Strossmayera u Osijeku;Fakultet;Javno;Znanstvena ustanova i visoko učilište;Ulica cara Hadrijana 10;Osijek;(+385 31) 321 700;(+385 31) 321 899;helpdesk@foozos.hr;www.foozos.hr;dekan prof. dr. sc. Damir Matanović
Fakultet zdravstvenih studija, Rijeka;Sveučilište u Rijeci;Fakultet;Javno;Znanstvena ustanova i visoko učilište;Viktora Cara Emina 5;Rijeka;(+385 51) 688 266;(+385 51) 554 950;dekanatfzsri@uniri.hr;www.fzsri.uniri.hr;dekanica prof. dr. sc. Daniela Malnar
Farmaceutsko-biokemijski fakultet, Zagreb;Sveučilište u Zagrebu;Fakultet;Javno;Znanstvena ustanova i visoko učilište;Ante Kovačića 1;Zagreb;(+385 1) 4818 288;(+385 1) 6394 400;dekanat@pharma.hr;www.pharma.unizg.hr;dekanica dr. sc. Jasmina Lovrić
Filozofski fakultet u Splitu;Sveučilište u Splitu;Fakultet;Javno;Znanstvena ustanova i visoko učilište;Poljička cesta 35;Split;(+385 21) 491 515;(+385 21) 329 288;dekanat@ffst.hr;www.ffst.unist.hr;dekanica izv. prof. dr. sc. Gloria Vickov
Filozofski fakultet, Osijek;Sveučilište  Josipa Jurja Strossmayera u Osijeku;Fakultet;Javno;Znanstvena ustanova i visoko učilište;Lorenza Jagera 9;Osijek;(+385 31) 211 400;(+385 31) 211 514;"helpdesk@knjiga.ffos.hr; dekan@ffos.hr";www.ffos.unios.hr;ravnatelj izv. prof. dr. sc. Ivan Trojan
Filozofski fakultet, Rijeka;Sveučilište u Rijeci;Fakultet;Javno;Znanstvena ustanova i visoko učilište;Sveučilišna avenija 4;Rijeka;"(+385 51) 265 600; 265 602";(+385 51) 216 099;dekanat@ffri.uniri.hr;www.ffri.uniri.hr;dekan izv. prof. dr. sc. Aleksandar Mijatović
Filozofski fakultet, Zagreb;Sveučilište u Zagrebu;Fakultet;Javno;Znanstvena ustanova i visoko učilište;Ivana Lučića 3;Zagreb;(+385 1) 6120 111;(+385 1) 6156 879;"ured_dekana@ffzg.hr; o.d.dekana@ffzg.hr";www.ffzg.unizg.hr;v.d. dekan prof. dr. sc. Miljenko Jurković
Geodetski fakultet, Zagreb;Sveučilište u Zagrebu;Fakultet;Javno;Znanstvena ustanova i visoko učilište;Fra Andrije Kačića Miošića 26;Zagreb;(+385 1) 4639 222;(+385 1) 4828 081;"info@geof.unizg.hr; pisarnica@geof.unizg.hr;";www.geof.unizg.hr;dekan izv. prof. dr. sc. Almin Đapo
Geotehnički fakultet, Varaždin;Sveučilište u Zagrebu;Fakultet;Javno;Znanstvena ustanova i visoko učilište;Hallerova aleja 7;Varaždin;(+385 42) 408-900;(+385 42) 313 587;ured.dekana@gfv.unizg.hr;www.gfv.unizg.hr;dekan izv. prof. dr. sc. Hrvoje Meaški
Građevinski fakultet, Rijeka;Sveučilište u Rijeci;Fakultet;Javno;Znanstvena ustanova i visoko učilište;Radmile Matejčić 3;Rijeka;(+385 51) 265 900;(+385 51) 265 998;"dekanat@gradri.hr; info@gradri.uniri.hr";www.gradri.uniri.hr;dekan dr. sc. Mladen Bulić
Građevinski fakultet, Zagreb;Sveučilište u Zagrebu;Fakultet;Javno;Znanstvena ustanova i visoko učilište;Ulica fra Andrije Kačića Miošića 26;Zagreb;(+385 1) 4639 255;(+385 1) 4639 206;ured.dekana@grad.unizg.hr;www.grad.unizg.hr;dekan prof. dr. sc. Stjepan Lakušić
Građevinski i arhitektonski fakultet Osijek;Sveučilište  Josipa Jurja Strossmayera u Osijeku;Fakultet;Javno;Znanstvena ustanova i visoko učilište;Ulica Vladimira Preloga 3;Osijek;(+385 31) 540 070;"(+385 31) 540 071;(+385 31) 540 071";gfos@gfos.hr;www.gfos.unios.hr;dekan prof. dr. sc. Damir Varevac
Grafički fakultet, Zagreb;Sveučilište u Zagrebu;Fakultet;Javno;Znanstvena ustanova i visoko učilište;Getaldićeva 2;Zagreb;(+385 1) 2371 080;(+385 1) 2371 077;info@grf.hr;www.grf.unizg.hr;dekan prof. dr. sc. Nikola Mrvac
Hrvatsko katoličko sveučilište, Zagreb;NA;Sveučilište;Privatno;Znanstvena ustanova i visoko učilište;Ilica 242;Zagreb;(+385 1) 3706 600;(+385 1) 3706 601;"info@unicath.hr;rektorat@unicath.hr";www.unicath.hr;rektor dr. sc. Željko Tanjić
Istarsko veleučilište, Pula;NA;Veleučilište;Privatno;Visoko učilište;Riva 6;Pula - Pola;(+385 52) 381 412;(+385 52) 381 412;dekanat@iv.hr;www.iv.hr;dekan dr. sc. Daglas Koraca
Katolički bogoslovni fakultet, Đakovo;Sveučilište  Josipa Jurja Strossmayera u Osijeku;Fakultet;Javno;Znanstvena ustanova i visoko učilište;Petra Preradovića 17;Đakovo;(+385 31) 802 400;(+385 31) 802 403;"tajnistvo@djkbf.hr; dekan@djkbf.hr";www.djkbf.unios.hr;dekan dr. sc. Vladimir Dugalić
Katolički bogoslovni fakultet, Split;Sveučilište u Splitu;Fakultet;Javno;Znanstvena ustanova i visoko učilište;Zrinsko-Frankopanska 19;Split;(+385 21) 308 300;"(+385 21) 386 144; 386 142";office@kbf-st.hr;www.kbf.unist.hr;dekan dr. sc. Mladen Parlov
Katolički bogoslovni fakultet, Zagreb;Sveučilište u Zagrebu;Fakultet;Javno;Znanstvena ustanova i visoko učilište;Vlaška 38;Zagreb;"(+385 1) 4890 400; (+385 1) 4890 402";(+385 1) 4814 704;"kbf@kbf.unizg.hr;ured@kbf.unizg.hr";www.kbf.unizg.hr;dekan mr. sc. Josip Šimunović
Kemijsko-tehnološki fakultet, Split;Sveučilište u Splitu;Fakultet;Javno;Znanstvena ustanova i visoko učilište;Ruđera Boškovića 35;Split;(+385 21) 329 422;(+385 21) 329 461;dekanat@ktf-split.hr;www.ktf.unist.hr;dekan prof. dr. sc. Matko Erceg
Kineziološki fakultet, Osijek;Sveučilište  Josipa Jurja Strossmayera u Osijeku;Fakultet;Javno;Visoko učilište;Drinska 16a;Osijek;(+385  31) 559 300;(+385 31) 559 301;ured@kifos.hr;www.kifos.hr;dekanica prof. dr. sc. Vesnica Mlinarević
Kineziološki fakultet, Split;Sveučilište u Splitu;Fakultet;Javno;Znanstvena ustanova i visoko učilište;Ulica Nikole Tesle 6;Split;(+385 21) 302 440;(+385 21) 385 382;dekanat@kifst.hr;www.kifst.unist.hr;dekan prof. dr. sc. Damir Sekulić
Kineziološki fakultet, Zagreb;Sveučilište u Zagrebu;Fakultet;Javno;Znanstvena ustanova i visoko učilište;Horvaćanski zavoj 15;Zagreb;(+385 1) 3658 666;(+385 1) 3634 146;dekanat@kif.unizg.hr;www.kif.unizg.hr;dekan izv. prof. dr. sc. Tomislav Krističević
Libertas Međunarodno sveučilište, Zagreb;NA;Sveučilište;Privatno;Znanstvena ustanova i visoko učilište;Trg J. F. Kennedy 6b;Zagreb;(+385 1) 5633 101;(+385 1) 5633 111;asamodol@libertas.hr;www.libertas.hr;v.d. rektor dr. sc. Ivo Andrijanić
Medicinski fakultet, Osijek;Sveučilište  Josipa Jurja Strossmayera u Osijeku;Fakultet;Javno;Znanstvena ustanova i visoko učilište;Josipa Huttlera 4;Osijek;(+385 31) 512 800;(+385 31) 512 833;medicina@mefos.hr;www.mefos.unios.hr;dekan mr. sc. Ivica Mihaljević
Medicinski fakultet, Rijeka;Sveučilište u Rijeci;Fakultet;Javno;Znanstvena ustanova i visoko učilište;Braće Branchetta 20;Rijeka;(+385 51) 651 203;(+385 51) 675 806;dekanat_medri@uniri.hr;www.medri.uniri.hr;dekan izv. prof. dr. sc. Goran Hauser
Medicinski fakultet, Split;Sveučilište u Splitu;Fakultet;Javno;Znanstvena ustanova i visoko učilište;Šoltanska 2;Split;(+385 21) 557 900;(+385 21) 557 625;office@mefst.hr;www.mefst.unist.hr;dekan prof. dr. sc. Ante Tonkić
Medicinski fakultet, Zagreb;Sveučilište u Zagrebu;Fakultet;Javno;Znanstvena ustanova i visoko učilište;Šalata 3;Zagreb;(+385 1) 4566 777;(+385 1) 4566 724;mf@mef.hr;www.mef.unizg.hr;dekan prof. dr. sc. Slavko Orešković
Međimursko veleučilište u Čakovcu;NA;Veleučilište;Javno;Visoko učilište;Bana Josipa Jelačića 22/a;Čakovec;(+385 40) 396 999;(+385 40) 396 980;veleuciliste@mev.hr;www.mev.hr;dekan doc. dr. sc. Igor Klopotan
Metalurški fakultet, Sisak;Sveučilište u Zagrebu;Fakultet;Javno;Znanstvena ustanova i visoko učilište;Aleja narodnih heroja 3;Sisak;"(+385 44) 533 379; 533 378";(+385 44) 533 378;dekanat@simet.hr;www.simet.unizg.hr;dekanica prof. dr. sc. Zdenka Zovko Brodarac
MUP Policijska akademija – Visoka policijska škola, Zagreb;NA;Visoka škola;Javno;Znanstvena ustanova i visoko učilište;Avenija Gojka Šuška 1;Zagreb;(+385 1) 2426 311;(+385 1) 2426 415;"vps@fkz.hr; policijska.akademija@mup.hr";https://policijska-akademija.gov.hr/visoka-policijska-skola/43;dekan dr. sc. Krunoslav Borovec
Muzička akademija, Zagreb;Sveučilište u Zagrebu;Umjetnička akademija;Javno;Znanstvena ustanova i visoko učilište;Trg Republike Hrvatske 12;Zagreb;(+385 1) 4810-200;(+385 1) 4872 380;"muza@muza.hr;dekanat@muza.hr";www.muza.unizg.hr;dekan Igor Lešnik
Pomorski fakultet, Rijeka;Sveučilište u Rijeci;Fakultet;Javno;Znanstvena ustanova i visoko učilište;Studentska 2;Rijeka;(+385 51) 338 411;(+385 51) 336 755;dekanat@pfri.hr;www.pfri.uniri.hr;dekan dr. sc. Alen Jugović
Pomorski fakultet, Split;Sveučilište u Splitu;Fakultet;Javno;Znanstvena ustanova i visoko učilište;Ruđera Boškovića 37;Split;(+385 21) 619 399;(+385 21) 619 499;dekan@pfst.hr;www.pfst.unist.hr;dekan prof. dr. sc. Pero Vidan
Poslovno veleučilište Zagreb;NA;Veleučilište;Privatno;Visoko učilište;Ulica grada Vukovara 68;Zagreb;"(+385 1) 6310 844; 6310 888";(+385 1) 6310 628;pvzg@pvzg.hr;www.pvzg.hr;dekan dr. sc. Lukša Lulić
Pravni fakultet, Osijek;Sveučilište  Josipa Jurja Strossmayera u Osijeku;Fakultet;Javno;Znanstvena ustanova i visoko učilište;Ulica Stjepana Radića 13;Osijek;(+385 31) 224 500;(+385 31) 224 540;ured@zakon.pravos.hr;www.pravos.unios.hr;dekan izv. prof. dr. sc. Tunjica Petrašević
Pravni fakultet, Rijeka;Sveučilište u Rijeci;Fakultet;Javno;Znanstvena ustanova i visoko učilište;Hahlić 6;Rijeka;(+385 51) 359 500;NA;dekanat@pravri.hr;www.pravri.uniri.hr;dekanica prof. dr. sc. Vesna Crnić-Grotić
Pravni fakultet, Split;Sveučilište u Splitu;Fakultet;Javno;Znanstvena ustanova i visoko učilište;Ulica Domovinskog rata 8;Split;(+385 21) 393 555;(+385 21 393 597);dekanat@pravst.hr;www.pravst.unist.hr;dekan izv. prof. dr. sc. Ratko Brnabić
Pravni fakultet, Zagreb;Sveučilište u Zagrebu;Fakultet;Javno;Znanstvena ustanova i visoko učilište;Trg Republike Hrvatske  14;Zagreb;(+385 1) 4564 309;(+385 1) 4564 030;dekanat@pravo.hr;www.pravo.unizg.hr;dekan prof. dr. sc. Ivan Koprić
Prehrambeno-biotehnološki fakultet;Sveučilište u Zagrebu;Fakultet;Javno;Znanstvena ustanova i visoko učilište;Pierottijeva 6;Zagreb;(+385 1) 4605 000;(+385 1) 4836 083;dekan@pbf.hr;www.pbf.unizg.hr;dekanica dr. sc. Jadranka Frece
Prehrambeno-tehnološki fakultet, Osijek;Sveučilište  Josipa Jurja Strossmayera u Osijeku;Fakultet;Javno;Znanstvena ustanova i visoko učilište;Franje Kuhača 18;Osijek;(+385 31) 224 300;(+385 31) 207 115;office@ptfos.hr;www.ptfos.unios.hr;dekan prof. dr. sc. Jurislav Babić
Prirodoslovno-matematički fakultet, Split;Sveučilište u Splitu;Fakultet;Javno;Znanstvena ustanova i visoko učilište;Ruđera Boškovića 33;Split;(+385 21) 619 222;(+385 1) 619 227;dekanat@pmfst.hr;www.pmfst.unist.hr;dekan prof. dr. sc. Nikola Koceić Bilan
