naziv;opis;sifra;zupanija;adresa;mjesto;lokacija;ravnatelj;telefon;faks;e_mail;web
Osnovna škola August Harambašić;Osnovna škola, Umjetnička škola;14-016-001;Osječko-baranjska;Prilaz stadionu 1 a;31540  Donji Miholjac; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Vedran  Aladić;031/631-373 , 031/492-281 , 031/631-373;031/631-073;dmiholjac@os-aharambasica-donjimiholjac.skole.hr;http://www.os-aharambasica-donjimiholjac.skole.hr
Osnovna glazbena škola KRSTO ODAK;Osnovna škola, Umjetnička škola;15-017-004;Šibensko-kninska;VLADIMIRA NAZORA 4;22320  Drniš; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Ines  Topić;022/886-023 , 022/888-623 , 022/886-028;NA;glazbena@ogs-kodak-drnis.skole.hr;www.ogsko.hr
UMJETNIČKA ŠKOLA LUKE SORKOČEVIĆA DUBROVNIK;Osnovna škola, Srednja škola, Umjetnička škola;19-018-514;Dubrovačko-neretvanska;STROSSMAYEROVA 3;20000  Dubrovnik; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Slobodan  Begić;020/324-636 , 020/324-636 , 020/324-642 , 020/324 604;NA;umjetnicka.skola.luke.sorkocevica@du.t-com.hr;NA
Glazbena škola Dugo Selo;Osnovna škola, Srednja škola, Umjetnička škola;01-020-003;Zagrebačka;Zagrebačka 24;10370  Dugo Selo; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Dario  Cebić;NA;NA;glazbena.skola.ds@gmail.com;NA
Osnovna škola Ivan Goran Kovačić;Osnovna škola, Umjetnička škola;14-022-002;Osječko-baranjska;KRALJA TOMISLAVA 25;31400  Đakovo; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Ante  Andabak;031/813-572 , 031/813-572 , 031/813-572 , 031/821-260, 851-011;031/813-282;igkdjak@gmail.com , igk@os-igkovacic-dj.skole.hr;http://os-igkovacic-dj.skole.hr/
OSNOVNA ŠKOLA GAREŠNICA;Osnovna škola, Umjetnička škola;07-024-001;Bjelovarsko-bilogorska;Kolodvorska 4;43280  Garešnica; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Slaven  Marenić;043/531-107 , 043/531-109 , 043/445-019;043/531-109;ured@os-garesnica.skole.hr;http://www.os-garesnica.skole.hr/
OSNOVNA ŠKOLA DR. JURE TURIĆA;Osnovna škola, Umjetnička škola;09-026-001;Ličko-senjska;Miroslava Kraljevića 15;53000  Gospić; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Ivica  Radošević;053/658-988 , 053 658 985;053/572-003;ured@os-jturic-gospic.skole.hr;http://www.os-gospic.hr/
GLAZBENA ŠKOLA DR. FRA IVAN GLIBOTIĆ-IMOTSKI;Osnovna škola, Srednja škola, Umjetnička škola;17-030-506;Splitsko-dalmatinska;Bruna Bušića 5;21260  Imotski; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Darko  Rimac;021/670-052 , 021/841-811;021/670-052;glazbenaskolaimotski@gmail.com , ured@gs-drfraiglibotic-imotski.skole.hr;NA
Osnovna škola Stjepana Basaričeka;Osnovna škola, Umjetnička škola;01-032-002;Zagrebačka;Milke Trnine 14;10310  Ivanić-Grad; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Vlatka  Koletić;2885-012 , 288-18-80, 288-18-81;NA;ured@os-sbasariceka-ivanicgrad.skole.hr;http://www.os-sbasariceka-ivanicgrad.skole.hr/
GLAZBENA ŠKOLA JASTREBARSKO;Osnovna škola, Umjetnička škola;01-033-002;Zagrebačka;Ulica Zrinski-Frankopanska 13;10450  Jastrebarsko; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Iva  Barač;01/6271-605, 01/6284-632;NA;gsj@ogs-jastrebarsko.skole.hr;NA
GLAZBENA ŠKOLA KARLOVAC;Osnovna škola, Srednja škola, Umjetnička škola;04-034-513;Karlovačka;CESARČEVA 3.;47000  Karlovac; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Snježana  Mrljak;047/642-669 , 047/600-575 , 047/615-161;NA;ravnatelj@glazbena-ka.hr , info@glazbena-ka.hr;NA
Osnovna škola ˝Milan Brozović˝;Osnovna škola, Umjetnička škola;08-279-001;Primorsko-goranska;Skalini Istarskog tabora 3;51215  Kastav; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Hedi  Blašković;051/691-308 , 051/691-308 , 051/691-393;NA;os-kastav@os-mbrozovic-kastav.skole.hr;NA
Umjetnička škola Fortunat Pintarić;Osnovna škola, Srednja škola, Umjetnička škola;06-037-504;Koprivničko-križevačka;Svilarska 12;48000  Koprivnica; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Ariana  Šandl;048/623-356;NA;ravnatelj@glazbena.com , tajnistvo@glazbena.com;www.umjetnicka.net
Osnovna škola PETRA KANAVELIĆA;Osnovna škola, Umjetnička škola;19-038-001;Dubrovačko-neretvanska;ANTE STARČEVIĆA 1;20260  Korčula; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Velebit  Veršić;020/711-059 , 020/715-023;020/715-023;ured@os-pkanavelica-korcula.skole.hr;http://os-pkanavelica-korcula.skole.hr/
Osnovna škola Augusta Cesarca, Krapina;Osnovna škola, Umjetnička škola;02-040-001;Krapinsko-zagorska;IVANA VRENCEA 1;49000  Krapina; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Matilda  Juričev Žigman;049/371-004 , 049/371-004 , 049/371-484;049/373-409;mjuricev65@gmail.com , ured@os-acesarca-kr.skole.hr ;http://www.os-acesarca-kr.skole.hr/
Glazbena škola Alberta Štrige, Križevci;Osnovna škola, Srednja škola, Umjetnička škola;06-041-505;Koprivničko-križevačka;Antuna Gustava Matoša 4;48260  Križevci; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Branka  Špoljar;048/711-273 , 048/711-273 , 048/711-274;048/711-273;ravnatelj@glazbenaskolakrizevci.hr , tajnistvo@ss-glazbena-astrige-kc.skole.hr;www.glazbenaskolakrizevci.hr
Osnovna glazbena škola Borisa Papandopula;Osnovna škola, Umjetnička škola;03-043-007;Sisačko-moslavačka;Stjepana Radića 3;44320  Kutina; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Nikola  Šćapec;044/660-093 , 044/660-094;044/660-091;barica.ivanovic@skole.hr , ogs.borisa.papandopula.kutina@gmail.com;NA
Umjetnička škola Matka Brajše Rašana;Umjetnička škola;18-044-005;Istarska;Alda Negrija 11;52220  Labin; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Melita  Lasek Satterwhite;052885439 , 052885443;NA;ured@us-mbrasana.skole.hr;http://us-mbrasana.skole.hr/
Osnovna škola Ludbreg;Osnovna škola, Umjetnička škola;05-046-001;Varaždinska;Andrije Kačića Miošića 17;42230  Ludbreg; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Đurđa  Kladić;042/810-834 , 042/306-023;042/810-834;os-ludbreg@osl.hr , ured@os-ludbreg.skole.hr ;NA
Glazbena škola Makarska;Osnovna škola, Srednja škola, Umjetnička škola;17-047-503;Splitsko-dalmatinska;DON MIHOVILA PAVLINOVIĆA 1;21300  Makarska; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Željko  Vlaho;021/611-048 , 021/611-048;021/678-710;zeljko.vlaho@skole.hr , ured@gs-makarska.skole.hr;NA
OSNOVNA ŠKOLA MARIA MARTINOLIĆA;Osnovna škola, Umjetnička škola;08-292-001;Primorsko-goranska;OMLADINSKA 11;51550  Mali Lošinj; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Olivela  Franko;051/231-153, 233-305;051/232-652;os.maria.martinolica@os-mmartinolica.skole.hr;www.os-mmartinolica-mali-losinj.skole.hr
Osnovna škola Marija Bistrica;Osnovna škola, Umjetnička škola;02-181-001;Krapinsko-zagorska;Zagrebačka 15;49246  Marija Bistrica; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Dominik  Karajić;049/469-161 , 049/469-161 , 049/468-548 , 049/469-161;NA;ured@os-marija-bistrica.skole.hr , dominik.karajic@skole.hr;NA
OSNOVNA GLAZBENA ŠKOLA METKOVIĆ;Osnovna škola, Umjetnička škola;19-049-003;Dubrovačko-neretvanska;KRALJA ZVONIMIRA 7;20350  Metković; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Zvonko  Knežević;020/683-515 , 020/683-516;020/683-516;osnovna.glazbena.skola.metkovic@du.t-com.hr;NA
Osnovna glazbena škola Kontesa Dora;Osnovna škola, Umjetnička škola;14-050-004;Osječko-baranjska;Dore Pejačević 2;31500  Našice; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Marina  Kopri;031/611-002, 613-574;NA;ured@ogs-kontesa-dora.skole.hr;NA
Osnovna škola Mato Lovrak;Osnovna škola, Umjetnička škola;12-051-002;Brodsko-posavska;MAKSIMILIJANA BENKOVIĆA 39;35400  Nova Gradiška; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Vesna  Lončar-Cindrić;035/363-185 , 035/361-933 , 035/363-221 , 035/330-106;035/331-841;ured@os-mlovrak-ng.skole.hr  , ravnatelj@os-mlovrak-ng.skole.hr;http://os-mlovrak-ng.skole.hr
Osnovna škola Novi Marof;Osnovna škola, Umjetnička škola;05-053-001;Varaždinska;ZAGORSKA 23;42220  Novi Marof; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Anđelko  Bošnjak;042/611-215 , 042/613-029 , 042/613-045;042/611-215;branka.novak1@skole.hr , andelko.bosnjak@skole.hr , os.novimarof@skole.hr ;NA
Osnovna škola Ivana Mažuranića;Osnovna škola, Umjetnička škola;08-294-001;Primorsko-goranska;Lokvica 2;51250  Novi Vinodolski; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Boris  Turjak;051/244-465 , 051/244-465 , 051/244-475;051/244-475, 051/244-465;skola@osivanamazuranica.hr;NA
Osnovna škola - scuola elementare RIVARELA;Osnovna škola, Umjetnička škola;18-495-001;Istarska;EMONIJSKA 4;52466  Novigrad; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Davorka  Parmač;052/757-005, 758-602 , 052/757-005 , 052/757-005 , 052/758-602;052/757-218;ured@os-rivarela-novigrad.skole.hr;NA
Glazbena škola u Novskoj;Osnovna škola, Srednja škola, Umjetnička škola;03-054-502;Sisačko-moslavačka;Trg dr. Franje Tuđmana 3;44330  Novska; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Dunja  Uroić;044/601-299 , 044/601-299;044/601-299;glazbena-skola-novska@sk.t-com.hr , ured@ss-glazbena-novska.skole.hr;www.glazbena-novska.hr
Osnovna škola Ivane Brlić - Mažuranić Ogulin;Osnovna škola, Umjetnička škola;04-056-002;Karlovačka;JOSIPA BANA JELAČIĆA 1;47300  Ogulin; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Anđelka  Salopek;047/522-413 , 047/531-778;075/801-879;ured@os-ibmazuranic-ogulin.skole.hr;NA
Osnovna glazbena škola Lovro pl. Matačić Omiš;Osnovna škola, Umjetnička škola;17-057-005;Splitsko-dalmatinska;PUNTA 1;21310  Omiš; Potraži na karti školu...        ili   Potraži na karti adresu...  ;NA;021/861-041, 861-112;021/861-041;ured@ogs-lovroplmatacic-omis.skole.hr;NA
OSNOVNA ŠKOLA OPUZEN;Osnovna škola, Umjetnička škola;19-512-001;Dubrovačko-neretvanska;SILVIJA STRAHIMIRA KRANJČEVIĆA 11;20355  Opuzen; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Valentina  Peršin Čubranić;020/671-083 , 020/671-133 , 020/671-133;020/672-664;info@os-opuzen.skole.hr , os-opuzen-001@os-opuzen.skole.hr;www.os-opuzen.skole.hr
OSNOVNA ŠKOLA OREBIĆ;Osnovna škola, Umjetnička škola;19-509-001;Dubrovačko-neretvanska;JOZA ŠUNJA 4;20250  Orebić; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Nenad  Menkadžiev;020/714-305 , 020/713-036;020/714-306;ured@os-orebic.skole.hr;http://os-orebic.skole.hr/
ŠKOLA PRIMIJENJENE UMJETNOSTI I DIZAJNA OSIJEK;Srednja škola, Umjetnička škola;14-060-515;Osječko-baranjska;DRINSKA 12;31000  Osijek; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Ina  Marić;031/273-126 , 031/273-126 , 031/273-111;031/273-111;ured@ss-primijenjenaumjetnostidizajn-os.skole.hr;NA
GLAZBENA ŠKOLA FRANJE KUHAČA Osijek;Osnovna škola, Srednja škola, Umjetnička škola;14-060-520;Osječko-baranjska;TRG SVETOG TROJSTVA 1;31000  Osijek; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Sunčana  Bašić;099 327-03-03 , 099 327-03-04 , 091 2000-438 , 031/211-064, 211-422;031/215-661;gsfko@ogs-fkuhaca-os.skole.hr , gsfk@gsfk-osijek.hr ,  gsfk@gsfk-osijek.hr;www.gsfk-osijek.hr
Osnovna glazbena škola Pakrac;Osnovna škola, Umjetnička škola;11-064-003;Požeško-slavonska;TRG BANA JELAČIĆA 1;34550  Pakrac; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Alfreda  Petani Grafina;034/411-030 , 034/511-024;034/511-025;glazbena@ogs-pakrac.skole.hr;NA
"OSNOVNA ŠKOLA ""VLADIMIR NAZOR""";Osnovna škola, Umjetnička škola;19-112-001;Dubrovačko-neretvanska;TINA UJEVIĆA 3;20340  Ploče; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Tihana  Pažin;020 679 062 , 020 670 735 , 020 676 063 , 020 676-046 , 020 676-047 , 020 676-064 , 020/679-703;020 692-520;osploce@os-vnazor-ploce.skole.hr;http://www.os-vnazor-ploce.skole.hr/
Umjetnička škola Poreč;Osnovna škola, Umjetnička škola;18-068-005;Istarska;Narodni trg 1;52440  Poreč - Parenzo; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Sanjica Sara  Radetić;052 452 346;052 555 279;info@usporec.eu;www.os-umjetnicka-porec@skole.hr
Glazbena škola Požega;Osnovna škola, Srednja škola, Umjetnička škola;11-077-508;Požeško-slavonska;Vjekoslava Babukića 27;34000  Požega; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Alen  Kovačević;034/273-630 , 034/273-974;034/312-240;glazbena-skola@po.ht.hr , ured@ss-glazbena-pozega.skole.hr , gsp@po.ht.hr;http://ss-glazbena-pozega.skole.hr/
GLAZBENA ŠKOLA PREGRADA;Osnovna škola, Srednja škola, Umjetnička škola;02-123-502;Krapinsko-zagorska;Ulica Ljudevita Gaja 34;49218  Pregrada; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Petra  Tokić;049/377-234;049/377-234;glazbena.skola.pregrada@kr.t-com.hr;NA
Osnovna glazbena škola Brač;Osnovna škola, Umjetnička škola;17-445-002;Splitsko-dalmatinska;Trg Hrvatskog skupa 10;21412  Pučišća; Potraži na karti školu...        ili   Potraži na karti adresu...  ;NA;021 633304;NA;nenad.vrandecic@skole.hr;NA
Škola primijenjenih umjetnosti i dizajna - Pula;Srednja škola, Umjetnička škola;18-069-504;Istarska;Radićeva 19;52100  Pula; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Davor  Kliman;052/223-377 , 052/382-548;052/223-377;ured@ss-primijenjenihumjetnostiidizajna-pu.skole.hr , skola-dizajn@pu.t-com.hr;www.ss-primijenjenihumjetnostiidizajna-pu.skole.hr
Glazbena škola Ivana Matetića - Ronjgova Pula;Osnovna škola, Srednja škola, Umjetnička škola;18-069-512;Istarska;CISCUTTIJEVA 22;52100  Pula; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Romana  Vuksan Zuban;052/543 915 , 052/543-912;052/542-187;glazbena@imr.hr;http://www.imr.hr
Škola za primijenjenu umjetnost u Rijeci;Srednja škola, Umjetnička škola;08-071-524;Primorsko-goranska;ŠETALIŠTE XIII. DIVIZIJE 75;51000  Rijeka; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Damir  Šegota;051/431-545,  423-943 , 051/400-272;051/400-273;spur.rijeka@gmail.com , ured@spur.hr;NA
Osnovna škola Vežica;Osnovna škola, Umjetnička škola;08-071-020;Primorsko-goranska;Kvaternikova 49;51000  Rijeka; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Violeta  Nikolić;051/453-868 , 051/453-868 , 051/455-682 , 051/453-868;051/455-680;iskola@os-vezica-ri.skole.hr;NA
Glazbena škola Ivana Matetića Ronjgova Rijeka;Osnovna škola, Srednja škola, Umjetnička škola;08-071-523;Primorsko-goranska;LAGINJINA 1;51000  Rijeka; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Danijel  Trinajstić;051/226-859 , 051/227-570 , 051/227-270;NA;ured@ogs-imateticaronjgova-ri.skole.hr;www.gs-imr.hr
"Osnovna škola Vladimira Nazora - Scuola elementare ""Vladimir Nazor""";Osnovna škola, Umjetnička škola;18-072-002;Istarska;EDMONDA DE AMICISA 31;52210  Rovinj; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Bojan  Burić;099 600 2735 , 052/811-271, 841-460 , 052/811-271 , 052/816-612 , 052/814-176, 841-460;052/811-271,  814-176;ured@os-vnazora-rovinj.skole.hr;NA
Glazbena škola Ferdo Livadić;Osnovna škola, Srednja škola, Umjetnička škola;01-073-504;Zagrebačka;TRG MATICE HRVATSKE 3;10430  Samobor; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Zdenka  Merčep;01/333-64-27, 333-61-04 , 01/333-61-05;01/336-35-50;ured@ss-glazbena-flivadic-samobor.skole.hr , zdenka.mercep@skole.hr;NA
OSNOVNA ŠKOLA SILVIJA STRAHIMIRA KRANJČEVIĆA SENJ;Osnovna škola, Umjetnička škola;09-074-001;Ličko-senjska;SILVIJA STRAHIMIRA KRANJČEVIĆA 1;53270  Senj; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Rosanda  Bilović;053/881-183 , 053/882-944;053/881-183;os-ss.kranjcevica@gs.t-com.hr , tajnistvo@os-sskranjcevica-senj.skole.hr;os-sskranjcevica-senj.skole.hr
Glazbena škola Zlatka Grgoševića;Umjetnička škola;21-114-098;Grad Zagreb;Ul. Ivana Gorana Kovačića 19;10360  Sesvete; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Ljerka  Pašalić;2000 382 , 2059 155;2059 156;gszg@gs-zgrgosevica-sesvete.skole.hr;NA
GLAZBENA ŠKOLA JAKOVA GOTOVCA;Umjetnička škola;17-075-005;Splitsko-dalmatinska;ALKARSKO TRKALIŠTE 11/A;21230  Sinj; Potraži na karti školu...        ili   Potraži na karti adresu...  ;NA;021/821-540 , 021/660-081 , 021/824-033;021/822-602;ured@gs-jgotovca-sinj.skole.hr;www.gs-jgotovca-sinj.skole.hr
GLAZBENA ŠKOLA FRANA LHOTKE;Osnovna škola, Srednja škola, Umjetnička škola;03-076-508;Sisačko-moslavačka;Trg Ljudevita Posavskog 2;44000  Sisak; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Tomislav  Ivšić;044/548-528;044/548-528;gsfranalhotke@gmail.com  , ured@ogs-franlhotka-sk.skole.hr;http://www.fran-lhotka.hr
Glazbena škola Milka Kelemena;Osnovna škola, Umjetnička škola;10-067-003;Virovitičko-podravska;Braće Radića 4;33520  Slatina; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Antonio  Brzica;033/550-854;NA;glazbenamilkakelemena.sl@optinet.hr;NA
Glazbena škola Slavonski Brod;Osnovna škola, Srednja škola, Umjetnička škola;12-078-510;Brodsko-posavska;Vukovarska 1;35000  Slavonski Brod; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Mirela  Jagodić;035/447-148 , 035/445-200;035/445-200;glazbena@gs-sbrod-sb.skole.hr;NA
ŠKOLA LIKOVNIH UMJETNOSTI;Srednja škola, Umjetnička škola;17-126-520;Splitsko-dalmatinska;FAUSTA VRANČIĆA 17;21000  Split; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Ivana  Korjenić;021/467-177 , 021/467-179;021/467-177;skola-likovnih-umjetnosti@st.t-com.hr;ss-likovne-umjetnosti-st.skole.hr
GLAZBENA ŠKOLA JOSIPA HATZEA;Osnovna škola, Srednja škola, Umjetnička škola;17-126-525;Splitsko-dalmatinska;TRG HRVATSKE BRATSKE ZAJEDNICE 3;21000  Split; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Vesna  Alebić;021/480-049 , 0953482250;021/480-080;ured@ogs-jhatzea-st.skole.hr;http://www.gsjh.hr/
Privatna osnovna glazbena škola BORIS PAPANDOPULO;Osnovna škola, Umjetnička škola;17-126-030;Splitsko-dalmatinska;BORISA PAPANDOPULA 15;21000  Split; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Marijana  Milevčić;021/460-100 , 021/460-100;021/461-005;ogs.b.papandopulo@st.t-com.hr;http://ogs-bpapandopulo-st.skole.hr
Osnovna škola JURJA DALMATINCA ŠIBENIK;Osnovna škola, Umjetnička škola;15-081-004;Šibensko-kninska;STIPE NINIĆA 27;22000  Šibenik; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Natko  Duvnjak;022 200-415 , 022 200-416 , 022 200-417 , 022/212-452 , 022/212-451 , 022/200-410;022/219-131;ured@os-jdalmatinca-si.skole.hr , os-sibenik-004@skole.hr;http://www.os-jdalmatinca-si.skole.hr/
GLAZBENA ŠKOLA IVANA LUKAČIĆA;Osnovna škola, Srednja škola, Umjetnička škola;15-081-511;Šibensko-kninska;SPLITSKA 2;22000  Šibenik; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Ruža  Raguž Cukrov;022/212-227 , 022/215-432;022/200-533;ured@glazbena-ilukacica-si.skole.hr;NA
OSNOVNA ŠKOLA VJEKOSLAVA KALEBA;Osnovna škola, Umjetnička škola;15-415-001;Šibensko-kninska;PUT LUKE BB;22240  Tisno; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Sanda  Crvelin;022/439-314 , 022/438-634;075/522-923;ured@os-tisno.skole.hr;NA
Osnovna škola Marije i Line;Osnovna škola, Umjetnička škola;18-501-001;Istarska;ŠKOLSKA 14;52470  Umag – Umago; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Sanja  Zakinja;052/741-497 , 052/741-497 , 052/741-497;052/751-472;ured@os-marijeiline-umag.skole.hr , os-mil@hi.t-com.hr;www.os-marijeiline-umag.skole.hr 
Osnovna škola Matije Petra Katančića;Osnovna škola, Umjetnička škola;14-085-001;Osječko-baranjska;I. L. RIBARA 3;31550  Valpovo; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Dalibor  Košutić;031/651-576;031/654-576;ravnatelj@oskatancic.hr , racunovodstvo@oskatancic.hr , tajnistvo@oskatancic.hr , ured@oskatancic.hr;http://oskatancic.hr
Glazbena škola u Varaždinu;Osnovna škola, Srednja škola, Umjetnička škola;05-086-512;Varaždinska;Kapucinski trg 8;42000  Varaždin; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Davor  Matačić;042200940 , 042200125 , 042213123;042213715;ured@ogs-varazdin.skole.hr , tajnistvo@glazbena.hr , glazbena-skola@vz.t-com.hr;NA
Osnovna škola Vela Luka;Osnovna škola, Umjetnička škola;19-517-001;Dubrovačko-neretvanska;OBALA 3 BROJ 1;20270  Vela Luka; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Lucijana  Mirošević;020/812-035 , 020/812-035;020/812-239;osvelaluka@os-vela-luka.skole.hr;http://os-vela-luka.skole.hr/
Umjetnička škola Franje Lučića;Osnovna škola, Srednja škola, Umjetnička škola;01-087-505;Zagrebačka;SLAVKA KOLARA 39;10410  Velika Gorica; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Borut  Vidošević;622-13-76, 622-13-75 , 626-05-35;622-13-75;ured@ss-umjetnicka-flucica-velikagorica.skole.hr;www.ss-umjetnicka-flucica-velikagorica.skole.hr
