naziv;nadredjena_ustanova;vrsta_ustanove;upisnik;adresa;mjesto;telefon;faks;e_mail;web;celnik
Ekonomski fakultet, Rijeka;Sveučilište u Rijeci;Fakultet;Znanstvena ustanova i visoko učilište;Ivana Filipovića 4;Rijeka;"(+385 51) 355 111; (+385 51) 355 100";NA;efri@efri.hr;www.efri.uniri.hr;dekan prof. dr. sc. Alen Host
Ekonomski fakultet, Split;Sveučilište u Splitu;Fakultet;Znanstvena ustanova i visoko učilište;Cvite Fisković 5;Split;(+385 21) 430 601;(+385 21) 430 701;dekanat@efst.hr;www.efst.unist.hr;dekanica prof. dr. sc. Maja Fredotović
Ekonomski fakultet, Zagreb;Sveučilište u Zagrebu;Fakultet;Znanstvena ustanova i visoko učilište;Trg. J. F. Kennedya 6;Zagreb;(+385 1) 2383 333;(+385 1) 2335 633;"dekan@efzg.hr; dean@efzg.hr";www.efzg.unizg.hr;dekan prof. dr. sc. Jurica Pavičić
Ekonomski institut, Zagreb;NA;NA;Znanstvena ustanova;Trg J.F.Kennedyja 7;Zagreb;(+385 1) 2362-270;NA;eizagreb@eizg.hr;www.eizg.hr;ravnateljica dr. sc. Tajana Barbić
Energetski institut Hrvoje Požar;NA;NA;Znanstvena ustanova;Savska cesta 163;Zagreb;"(+385 1) 6040-588;(+385 1) 6326 100";NA;eihp@eihp.hr;www.eihp.hr;ravnatelj Dražen Jakšić
Ericsson Nikola Tesla d.d.;NA;NA;Znanstvena ustanova;Krapinska 45;Zagreb;(+385 1) 3653-535;NA;etk.company@ericsson.com;www.ericsson.com.hr;direktorica mr. sc. Gordana Kovačević
Fakultet agrobiotehničkih znanosti, Osijek;Sveučilište  Josipa Jurja Strossmayera u Osijeku;Fakultet;Znanstvena ustanova i visoko učilište;Vladimira Preloga 1;Osijek;(+385 31) 554 801;(+385 31) 554 853;dekanat@fazos.hr;www.fazos.unios.hr;dekan prof. dr. sc. Krunoslav Zmaić
Fakultet elektrotehnike i računarstva, Zagreb;Sveučilište u Zagrebu;Fakultet;Znanstvena ustanova i visoko učilište;Unska 3;Zagreb;(+385 1) 6129 999;(+385 1) 6170 007;fer@fer.hr;www.fer.unizg.hr;dekan prof. dr. sc. Gordan Gledec
Fakultet elektrotehnike, računarstva i informacijskih tehnologija Osijek;Sveučilište  Josipa Jurja Strossmayera u Osijeku;Fakultet;Znanstvena ustanova i visoko učilište;Kneza Trpimira 2b;Osijek;(+385 31) 224 600;(+385 31) 224 605;ferit@ferit.hr;www.ferit.unios.hr;dekan izv. prof. dr. sc. Tomislav Matić
Fakultet elektrotehnike, strojarstva i brodogradnje, Split;Sveučilište u Splitu;Fakultet;Znanstvena ustanova i visoko učilište;Ruđera Boškovića 32;Split;"(+385 21) 305 777; 701";(+385 21) 305 776;dekanat@fesb.hr;www.fesb.unist.hr;dekan prof. dr. sc. Srdjan Podrug
Fakultet filozofije i religijskih znanosti, Zagreb;Sveučilište u Zagrebu;Fakultet;Znanstvena ustanova i visoko učilište;Jordanovac 110, pp 169;Zagreb;(+385 1) 2354 222;NA;"tajnistvo@ffrz.unizg.hr;emanuela.herceg@ffrz.unizg.hr";www.ffrz.unizg.hr;dekan prof. dr. sc. Ivan Koprek
Fakultet građevinarstva, arhitekture i geodezije, Split;Sveučilište u Splitu;Fakultet;Znanstvena ustanova i visoko učilište;Matice hrvatske 15;Split;(+385 21) 303 333;NA;info@gradst.hr;www.gradst.unist.hr;dekan izv. prof. dr. sc. Nikša Jajac
Fakultet hrvatskih studija, Zagreb;Sveučilište u Zagrebu;Fakultet;Znanstvena ustanova i visoko učilište;Borongajska cesta 83d;Zagreb;(+385 1) 2457 600;(+385 1) 2457 636;"dekanov.ured@hrstud.hr;";www.hrstud.unizg.hr;NA
Fakultet kemijskog inženjerstva i tehnologije, Zagreb;Sveučilište u Zagrebu;Fakultet;Znanstvena ustanova i visoko učilište;Marulićev trg 19;Zagreb;"(+385 1) 4597 281; (+385 1) 4597 222";(+385 1) 4597 260;office@fkit.unizg.hr;www.fkit.unizg.hr;dekan prof. dr. sc. Ante Jukić
Fakultet organizacije i informatike, Varaždin;Sveučilište u Zagrebu;Fakultet;Znanstvena ustanova i visoko učilište;Pavlinska 2;Varaždin;(+385 42) 390 800;(+385 42) 213 413;ured-dekana@foi.hr;www.foi.unizg.hr;dekanica prof. dr. sc. Nina Begičević Ređep
Fakultet političkih znanosti, Zagreb;Sveučilište u Zagrebu;Fakultet;Znanstvena ustanova i visoko učilište;Lepušićeva 6;Zagreb;(+385 1) 4642 000;(+385 1) 4655 316;dekanat@fpzg.hr;www.fpzg.unizg.hr;dekan izv. prof. dr. sc. Andrija Henjak
Fakultet prometnih znanosti, Zagreb;Sveučilište u Zagrebu;Fakultet;Znanstvena ustanova i visoko učilište;Vukelićeva 4;Zagreb;(+385 1) 2380 222;(+385 1) 2314 415;dekanat@fpz.hr;www.fpz.unizg.hr;dekan dr. sc. Tomislav Josip Mlinarić
Fakultet strojarstva i brodogradnje, Zagreb;Sveučilište u Zagrebu;Fakultet;Znanstvena ustanova i visoko učilište;Ivana Lučića 5;Zagreb;(+385 1) 6168 220;(+385 1) 6156 940;dekanat@fsb.hr;www.fsb.unizg.hr;dekan prof. dr. sc. Dubravko Majetić
Fakultet šumarstva i drvne tehnologije, Zagreb;Sveučilište u Zagrebu;Fakultet;Znanstvena ustanova i visoko učilište;Svetošimunska cesta 25;Zagreb;(+385 1) 2352 555;(+385 1) 2318 616;dekanat@sumfak.unizg.hr;www.sumfak.unizg.hr;dekan prof. dr. sc. Tibor Pentek
Fakultet za dentalnu medicinu i zdravstvo, Osijek;Sveučilište  Josipa Jurja Strossmayera u Osijeku;Fakultet;Znanstvena ustanova i visoko učilište;Crkvena 21;Osijek;(+385 31) 512 800;(+385 31) 512 833;info@fdmz.hr;www.fdmz.hr;ravnatelj prof. dr. sc. Aleksandar Včev
Fakultet za menadžment u turizmu i ugostiteljstvu, Opatija;Sveučilište u Rijeci;Fakultet;Znanstvena ustanova i visoko učilište;Naselje Ika, Primorska 46;Opatija;(+385 51) 294 706;(+385 51) 291 695;dekanat@fthm.hr;www.fthm.uniri.hr;dekanica prof. dr. sc. Sandra Janković
Fakultet za odgojne i obrazovne znanosti, Osijek;Sveučilište  Josipa Jurja Strossmayera u Osijeku;Fakultet;Znanstvena ustanova i visoko učilište;Ulica cara Hadrijana 10;Osijek;(+385 31) 321 700;(+385 31) 321 899;helpdesk@foozos.hr;www.foozos.hr;dekan prof. dr. sc. Damir Matanović
Fakultet zdravstvenih studija, Rijeka;Sveučilište u Rijeci;Fakultet;Znanstvena ustanova i visoko učilište;Viktora Cara Emina 5;Rijeka;(+385 51) 688 266;(+385 51) 554 950;dekanatfzsri@uniri.hr;www.fzsri.uniri.hr;dekanica prof. dr. sc. Daniela Malnar
Farmaceutsko-biokemijski fakultet, Zagreb;Sveučilište u Zagrebu;Fakultet;Znanstvena ustanova i visoko učilište;Ante Kovačića 1;Zagreb;(+385 1) 4818 288;(+385 1) 6394 400;dekanat@pharma.hr;www.pharma.unizg.hr;dekanica dr. sc. Jasmina Lovrić
Fidelta d.o.o.;NA;NA;Znanstvena ustanova;Prilaz baruna Filipovića 29;Zagreb;(+385 1) 8886 300, (+385 1) 8886 301;(+385 1) 8886 441;fidelta@glpg.eu;www.fidelta.eu;predsjednik uprave dr. sc. Adrijana Vinter
Filozofski fakultet u Splitu;Sveučilište u Splitu;Fakultet;Znanstvena ustanova i visoko učilište;Poljička cesta 35;Split;(+385 21) 491 515;(+385 21) 329 288;dekanat@ffst.hr;www.ffst.unist.hr;dekanica izv. prof. dr. sc. Gloria Vickov
Filozofski fakultet, Osijek;Sveučilište  Josipa Jurja Strossmayera u Osijeku;Fakultet;Znanstvena ustanova i visoko učilište;Lorenza Jagera 9;Osijek;(+385 31) 211 400;(+385 31) 211 514;"helpdesk@knjiga.ffos.hr; dekan@ffos.hr";www.ffos.unios.hr;ravnatelj izv. prof. dr. sc. Ivan Trojan
Filozofski fakultet, Rijeka;Sveučilište u Rijeci;Fakultet;Znanstvena ustanova i visoko učilište;Sveučilišna avenija 4;Rijeka;"(+385 51) 265 600; 265 602";(+385 51) 216 099;dekanat@ffri.uniri.hr;www.ffri.uniri.hr;dekan izv. prof. dr. sc. Aleksandar Mijatović
Filozofski fakultet, Zagreb;Sveučilište u Zagrebu;Fakultet;Znanstvena ustanova i visoko učilište;Ivana Lučića 3;Zagreb;(+385 1) 6120 111;(+385 1) 6156 879;"ured_dekana@ffzg.hr; o.d.dekana@ffzg.hr";www.ffzg.unizg.hr;v.d. dekan prof. dr. sc. Miljenko Jurković
Filozofsko-teološki institut Družbe Isusove, Zagreb;NA;NA;Znanstvena ustanova;Jordanovac 110;Zagreb;(+385 1) 2354-203;NA;ffdi@ffdi.hr;www.ffdi.hr;ravnatelj izv. prof. dr. sc. Ivan Antunović
Genera d.d.;NA;NA;Znanstvena ustanova;Svetonedjeljska 2;Kalinovica;(+385 1) 333 8888;(+385 1) 333 8707;info@genera.hr;www.genera.hr;predsjednik uprave Marko Smetiško
GENOS d.o.o.;NA;NA;Znanstvena ustanova;Trg Ljudevita Gaja 6, Osijek;Osijek;(+385 31) 251-044;(+385 31) 251-005;info@genos.hr;www.genos.hr;predsjednik prof. dr. sc. Gordan Lauc
Fakultet hrvatskih studija, Zagreb;Sveučilište u Zagrebu;Fakultet;Znanstvena ustanova i visoko učilište;Borongajska cesta 83d;Zagreb;(+385 1) 2457 600;(+385 1) 2457 636;"dekanov.ured@hrstud.hr;";www.hrstud.unizg.hr;NA
Fakultet kemijskog inženjerstva i tehnologije, Zagreb;Sveučilište u Zagrebu;Fakultet;Znanstvena ustanova i visoko učilište;Marulićev trg 19;Zagreb;"(+385 1) 4597 281; (+385 1) 4597 222";(+385 1) 4597 260;office@fkit.unizg.hr;www.fkit.unizg.hr;dekan prof. dr. sc. Ante Jukić
Fakultet organizacije i informatike, Varaždin;Sveučilište u Zagrebu;Fakultet;Znanstvena ustanova i visoko učilište;Pavlinska 2;Varaždin;(+385 42) 390 800;(+385 42) 213 413;ured-dekana@foi.hr;www.foi.unizg.hr;dekanica prof. dr. sc. Nina Begičević Ređep
Fakultet političkih znanosti, Zagreb;Sveučilište u Zagrebu;Fakultet;Znanstvena ustanova i visoko učilište;Lepušićeva 6;Zagreb;(+385 1) 4642 000;(+385 1) 4655 316;dekanat@fpzg.hr;www.fpzg.unizg.hr;dekan izv. prof. dr. sc. Andrija Henjak
Fakultet prometnih znanosti, Zagreb;Sveučilište u Zagrebu;Fakultet;Znanstvena ustanova i visoko učilište;Vukelićeva 4;Zagreb;(+385 1) 2380 222;(+385 1) 2314 415;dekanat@fpz.hr;www.fpz.unizg.hr;dekan dr. sc. Tomislav Josip Mlinarić
Fakultet strojarstva i brodogradnje, Zagreb;Sveučilište u Zagrebu;Fakultet;Znanstvena ustanova i visoko učilište;Ivana Lučića 5;Zagreb;(+385 1) 6168 220;(+385 1) 6156 940;dekanat@fsb.hr;www.fsb.unizg.hr;dekan prof. dr. sc. Dubravko Majetić
Fakultet šumarstva i drvne tehnologije, Zagreb;Sveučilište u Zagrebu;Fakultet;Znanstvena ustanova i visoko učilište;Svetošimunska cesta 25;Zagreb;(+385 1) 2352 555;(+385 1) 2318 616;dekanat@sumfak.unizg.hr;www.sumfak.unizg.hr;dekan prof. dr. sc. Tibor Pentek
Fakultet za dentalnu medicinu i zdravstvo, Osijek;Sveučilište  Josipa Jurja Strossmayera u Osijeku;Fakultet;Znanstvena ustanova i visoko učilište;Crkvena 21;Osijek;(+385 31) 512 800;(+385 31) 512 833;info@fdmz.hr;www.fdmz.hr;ravnatelj prof. dr. sc. Aleksandar Včev
Fakultet za menadžment u turizmu i ugostiteljstvu, Opatija;Sveučilište u Rijeci;Fakultet;Znanstvena ustanova i visoko učilište;Naselje Ika, Primorska 46;Opatija;(+385 51) 294 706;(+385 51) 291 695;dekanat@fthm.hr;www.fthm.uniri.hr;dekanica prof. dr. sc. Sandra Janković
Fakultet za odgojne i obrazovne znanosti, Osijek;Sveučilište  Josipa Jurja Strossmayera u Osijeku;Fakultet;Znanstvena ustanova i visoko učilište;Ulica cara Hadrijana 10;Osijek;(+385 31) 321 700;(+385 31) 321 899;helpdesk@foozos.hr;www.foozos.hr;dekan prof. dr. sc. Damir Matanović
Fakultet zdravstvenih studija, Rijeka;Sveučilište u Rijeci;Fakultet;Znanstvena ustanova i visoko učilište;Viktora Cara Emina 5;Rijeka;(+385 51) 688 266;(+385 51) 554 950;dekanatfzsri@uniri.hr;www.fzsri.uniri.hr;dekanica prof. dr. sc. Daniela Malnar
Farmaceutsko-biokemijski fakultet, Zagreb;Sveučilište u Zagrebu;Fakultet;Znanstvena ustanova i visoko učilište;Ante Kovačića 1;Zagreb;(+385 1) 4818 288;(+385 1) 6394 400;dekanat@pharma.hr;www.pharma.unizg.hr;dekanica dr. sc. Jasmina Lovrić
Fidelta d.o.o.;NA;NA;Znanstvena ustanova;Prilaz baruna Filipovića 29;Zagreb;(+385 1) 8886 300, (+385 1) 8886 301;(+385 1) 8886 441;fidelta@glpg.eu;www.fidelta.eu;predsjednik uprave dr. sc. Adrijana Vinter
Filozofski fakultet u Splitu;Sveučilište u Splitu;Fakultet;Znanstvena ustanova i visoko učilište;Poljička cesta 35;Split;(+385 21) 491 515;(+385 21) 329 288;dekanat@ffst.hr;www.ffst.unist.hr;dekanica izv. prof. dr. sc. Gloria Vickov
Filozofski fakultet, Osijek;Sveučilište  Josipa Jurja Strossmayera u Osijeku;Fakultet;Znanstvena ustanova i visoko učilište;Lorenza Jagera 9;Osijek;(+385 31) 211 400;(+385 31) 211 514;"helpdesk@knjiga.ffos.hr; dekan@ffos.hr";www.ffos.unios.hr;ravnatelj izv. prof. dr. sc. Ivan Trojan
Filozofski fakultet, Rijeka;Sveučilište u Rijeci;Fakultet;Znanstvena ustanova i visoko učilište;Sveučilišna avenija 4;Rijeka;"(+385 51) 265 600; 265 602";(+385 51) 216 099;dekanat@ffri.uniri.hr;www.ffri.uniri.hr;dekan izv. prof. dr. sc. Aleksandar Mijatović
Filozofski fakultet, Zagreb;Sveučilište u Zagrebu;Fakultet;Znanstvena ustanova i visoko učilište;Ivana Lučića 3;Zagreb;(+385 1) 6120 111;(+385 1) 6156 879;"ured_dekana@ffzg.hr; o.d.dekana@ffzg.hr";www.ffzg.unizg.hr;v.d. dekan prof. dr. sc. Miljenko Jurković
Filozofsko-teološki institut Družbe Isusove, Zagreb;NA;NA;Znanstvena ustanova;Jordanovac 110;Zagreb;(+385 1) 2354-203;NA;ffdi@ffdi.hr;www.ffdi.hr;ravnatelj izv. prof. dr. sc. Ivan Antunović
Genera d.d.;NA;NA;Znanstvena ustanova;Svetonedjeljska 2;Kalinovica;(+385 1) 333 8888;(+385 1) 333 8707;info@genera.hr;www.genera.hr;predsjednik uprave Marko Smetiško
GENOS d.o.o.;NA;NA;Znanstvena ustanova;Trg Ljudevita Gaja 6, Osijek;Osijek;(+385 31) 251-044;(+385 31) 251-005;info@genos.hr;www.genos.hr;predsjednik prof. dr. sc. Gordan Lauc
Geodetski fakultet, Zagreb;Sveučilište u Zagrebu;Fakultet;Znanstvena ustanova i visoko učilište;Fra Andrije Kačića Miošića 26;Zagreb;(+385 1) 4639 222;(+385 1) 4828 081;"info@geof.unizg.hr; pisarnica@geof.unizg.hr;";www.geof.unizg.hr;dekan izv. prof. dr. sc. Almin Đapo
Geotehnički fakultet, Varaždin;Sveučilište u Zagrebu;Fakultet;Znanstvena ustanova i visoko učilište;Hallerova aleja 7;Varaždin;(+385 42) 408-900;(+385 42) 313 587;ured.dekana@gfv.unizg.hr;www.gfv.unizg.hr;dekan izv. prof. dr. sc. Hrvoje Meaški
Građevinski fakultet, Rijeka;Sveučilište u Rijeci;Fakultet;Znanstvena ustanova i visoko učilište;Radmile Matejčić 3;Rijeka;(+385 51) 265 900;(+385 51) 265 998;"dekanat@gradri.hr; info@gradri.uniri.hr";www.gradri.uniri.hr;dekan dr. sc. Mladen Bulić
Građevinski fakultet, Zagreb;Sveučilište u Zagrebu;Fakultet;Znanstvena ustanova i visoko učilište;Ulica fra Andrije Kačića Miošića 26;Zagreb;(+385 1) 4639 255;(+385 1) 4639 206;ured.dekana@grad.unizg.hr;www.grad.unizg.hr;dekan prof. dr. sc. Stjepan Lakušić
Građevinski i arhitektonski fakultet Osijek;Sveučilište  Josipa Jurja Strossmayera u Osijeku;Fakultet;Znanstvena ustanova i visoko učilište;Ulica Vladimira Preloga 3;Osijek;(+385 31) 540 070;"(+385 31) 540 071;(+385 31) 540 071";gfos@gfos.hr;www.gfos.unios.hr;dekan prof. dr. sc. Damir Varevac
Grafički fakultet, Zagreb;Sveučilište u Zagrebu;Fakultet;Znanstvena ustanova i visoko učilište;Getaldićeva 2;Zagreb;(+385 1) 2371 080;(+385 1) 2371 077;info@grf.hr;www.grf.unizg.hr;dekan prof. dr. sc. Nikola Mrvac
Hrvatska akademija znanosti i umjetnosti;NA;NA;Znanstvena ustanova;Trg Nikole Šubića Zrinskog 11;Zagreb;(+385 1) 4895-111, (+385 1) 4819-983;NA;kabpred@hazu.hr;www.hazu.hr;predsjednik akademik Zvonko Kusić
Hrvatska telekomunikacije;NA;NA;Znanstvena ustanova;Andrije Hebranga 32-34;Zagreb;(+385 1) 4911-400;NA;NA;NA;NA
Hrvatski državni arhiv;NA;NA;Znanstvena ustanova;Marulićev trg 21;Zagreb;(+385 1) 4801-999;NA;hda@arhiv.hr;NA;ravnatelj dr. sc. Dinko Čutura
Hrvatski geološki institut;NA;NA;Znanstvena ustanova;Sachsova 2;Zagreb;(+385 1) 6160-750;NA;ured@hgi-cgs.hr;www.hgi-cgs.hr;ravnatelj dr. sc. Slobodan Miko
Hrvatski hidrografski institut;NA;NA;Znanstvena ustanova;Zrinsko Frankopanska 161;Split;(+385 21) 308 800;NA;office@hhi.hr;www.hhi.hr;ravnatelj dr. sc. Zvonko Gržetić
Hrvatski institut za povijest, Zagreb;NA;NA;Znanstvena ustanova;Opatička 10;Zagreb;"(+385 1) 4851 721; (+385 1) 4851 720;";NA;ured@isp.hr;www.isp.hr;ravnatelj dr. sc. Gordan Ravančić
Hrvatski memorijalno-dokumentacijski centar Domovinskog rata;NA;NA;Znanstvena ustanova;Marulićev trg 21;Zagreb;(+385 1) 4828 268;(+385 1) 4828 221;centar@centardomovinskograta.hr;www.centardomovinskograta.hr;ravnatelj dr. sc. Ante Nazor
Hrvatski prirodoslovni muzej;NA;NA;Znanstvena ustanova;Demetrova 1;Zagreb;(+385 1) 4851-645, (+385 1) 4851-700;NA;hpm@hpm.hr;NA;ravnateljica dr. sc. Tatjana Vlahović
Hrvatski šumarski institut, Jastrebarsko;NA;NA;Znanstvena ustanova;Cvjetno naselje 41;Jastrebarsko;"(+385 1) 6273 000; (+385 1) 6281 492";NA;ured@sumins.hr;www.sumins.hr;ravnateljica doc. dr. sc. Sanja Perić
Hrvatski veterinarski institut, Zagreb;NA;NA;Znanstvena ustanova;Savska cesta 143;Zagreb;"(+385 1) 6190 845; (+385 1) 6123 666";NA;ured@veinst.hr;www.veinst.hr;ravnatelj dr. sc. Boris Habrun
Hrvatski zavod za javno zdravstvo;NA;NA;Znanstvena ustanova;Rockfellerova 7;Zagreb;(+385 1) 4683-001;NA;ravnatelj@hzjz.hr;www.hzjz.hr;ravnatelj dr. sc. Krunoslav Capak
Hrvatski zavod za transfuzijsku medicinu;NA;NA;Znanstvena ustanova;Petrova 3;Zagreb;(+385 1) 4600-333, (+385 1) 4633-283;NA;irena.jukic@hztm.hr;NA;ravnateljica dr. sc. Irena Jukić
Hrvatsko katoličko sveučilište, Zagreb;NA;Sveučilište;Znanstvena ustanova i visoko učilište;Ilica 242;Zagreb;(+385 1) 3706 600;(+385 1) 3706 601;"info@unicath.hr;rektorat@unicath.hr";www.unicath.hr;rektor dr. sc. Željko Tanjić
Imunološki zavod d.d.;NA;NA;Znanstvena ustanova;Rockefellerova 2;Zagreb;(+385 1) 6414-100, (+385 1) 6414-258;NA;"ured@imz.hr;zvijece@imz.hr";www.imz.hr;direktor mr. Davorin Gajnik
INA-Industrija nafte d.d.;NA;NA;Znanstvena ustanova;Avenija Većeslava Holjevca 10;Zagreb;(+385 1) 6450 000;(+385 1) 6452 100;ina-besplatni.telefon@ina.hr;http://www.ina.hr/;direktor Gabriel Račka
InfoDom d.o.o.;NA;NA;Znanstvena ustanova;A. Žaje 61, Zagreb;Zagreb;(+385 1) 3040-588;(+385 1) 3040-593;infodom@infodom.hr;www.infodom.hr;direktor dr. sc. Slavko Vidović
"Institut ""Ruđer Bošković"", Zagreb";NA;NA;Znanstvena ustanova;Bijenička cesta 54;Zagreb;(+385 1) 4561 111;NA;ravnatelj@irb.hr;www.irb.hr;ravnatelj dr. sc. David Matthew Smith
Institut društvenih znanosti Ivo Pilar, Zagreb;NA;NA;Znanstvena ustanova;Marulićev trg 19/I;Zagreb;(+385 1) 4886 800, (+385 1) 4886-817;NA;ured@pilar.hr;www.pilar.hr;ravnatelj prof. dr. sc. Željko Holjevac
INSTITUT IGH, d.d.;NA;NA;Znanstvena ustanova;Janka Rakuše 1;Zagreb;(+385 1) 6125-125;(+385 1) 6125 401;igh@igh.hr;www.igh.hr;direktor Oliver Kumrić
Institut prometa i veza,  Zagreb;NA;NA;Znanstvena ustanova;Kušlanova 2;Zagreb;(+385 1) 2300-146;(+385 1) 2333-595;ipv@ipv-zg.hr;www.ipv-zg.hr;ravnatelj doc. dr. sc. Predrag Brlek
Institut za antropologiju;NA;NA;Znanstvena ustanova;Ljudevita Gaja 32;Zagreb;(+385 1) 5535-100, (+385 1) 5535-102;NA;ured@inantro.hr;www.inantro.hr;ravnatelj dr. sc. Saša Missoni
Institut za arheologiju, Zagreb;NA;NA;Znanstvena ustanova;Ljudevita Gaja 32;Zagreb;(+385 1) 6150 250;NA;ured.ravnatelja@iarh.hr;www.iarh.hr;ravnatelj dr. sc. Marko Dizdar
Institut za društvena istraživanja , Zagreb;NA;NA;Znanstvena ustanova;Amruševa 11/II;Zagreb;(+385 1) 4810 264;NA;idiz@idi.hr;www.idi.hr;ravnatelj dr. sc. Boris Jokić
Institut za etnologiju i folkloristiku, Zagreb;NA;NA;Znanstvena ustanova;Šubićeva 42;Zagreb;(+385 1) 4596-700;NA;institut@ief.hr;www.ief.hr;ravnateljica dr. sc. Iva Niemčić
Hrvatski hidrografski institut;NA;NA;Znanstvena ustanova;Zrinsko Frankopanska 161;Split;(+385 21) 308 800;NA;office@hhi.hr;www.hhi.hr;ravnatelj dr. sc. Zvonko Gržetić
Hrvatski institut za povijest, Zagreb;NA;NA;Znanstvena ustanova;Opatička 10;Zagreb;"(+385 1) 4851 721; (+385 1) 4851 720;";NA;ured@isp.hr;www.isp.hr;ravnatelj dr. sc. Gordan Ravančić
