naziv;opis;tip_ustanove;maticna_skola;sifra;podsifra;zupanija;adresa;mjesto;lokacija;ravnatelj;telefon;faks;e_mail;web;podrucni_objekti
OSNOVNA ŠKOLA MILANA LANGA;Osnovna škola;Matična škola;NA;01-073-004;0-0;Zagrebačka;LANGOVA 2;10432  Bregana; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Igor  Matijašić;3324 442 , 337-53-96 , 337-62-66;3324 443;ured@osmilanalanga.hr;http://os-mlanga-bregana.skole.hr/;  OSNOVNA ŠKOLA MILANA LANGA - Područna škola Grdanjci   , Grdanjci 87 - BREGANA, 10432 Grdanjci ,   OSNOVNA ŠKOLA MILANA LANGA - Područna škola Noršić Selo   , Noršić  Selo b.b.  - BREGANA, 10432 Noršić Selo ,   OSNOVNA ŠKOLA MILANA LANGA - Područna škola Novo Selo   , Novo Selo 13-BREGANA, 10456 Novo Selo Žumberačko
Osnovna škola Nova škola;Osnovna škola;Matična škola;NA;01-073-005;0-0;Zagrebačka;Krešimira Purića 13;10430  Samobor; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Martina  Čretni;+385 (0)1 337 4449;NA;info@novaskola.hr;http://www.novaskola.hr;NA
OSNOVNA ŠKOLA RUDE;Osnovna škola;Matična škola;NA;01-073-006;0-0;Zagrebačka;Rude 93;10430  Rude; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Miroslav  Fresl;01/3379110;01/3379253;ured@os-rude.skole.hr;	http://os-rude.skole.hr;  OSNOVNA ŠKOLA RUDE - Područna škola Manja Vas   , Manja Vas 2, 10430 Manja Vas
OSNOVNA ŠKOLA EUGENA KVATERNIKA;Osnovna škola;Matična škola;NA;01-087-001;0-0;Zagrebačka;ŠKOLSKA 4;10410  Velika Gorica; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Monika  Brleković;01/622-13-34 , 01/622-7238;01/622-20-21;ured@os-ekvaternika-velikagorica.skole.hr;www.os-ekvaternika-velikagorica.skole.hr;  OSNOVNA ŠKOLA EUGENA KVATERNIKA - Područna škola Dubranec   , Dubranec bb, 10418 Dubranec ,   OSNOVNA ŠKOLA EUGENA KVATERNIKA - Područna škola Lukavec   , LUKAVEC, ŠKOLSKA 19, 10412 Lukavec
OSNOVNA ŠKOLA JURJA HABDELIĆA;Osnovna škola;Matična škola;NA;01-087-002;0-0;Zagrebačka;Školska 1;10410  Velika Gorica; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Davor  Vidović;626-05-81 , 6256 363 , 622-12-17 , 622-10-30;622-10-30;os-jurja.habdelica@zg.t-com.hr	 , ured@os-jhabdelica-velikagorica.skole.hr;http://os-jhabdelica-velikagorica.skole.hr;  OSNOVNA ŠKOLA JURJA HABDELIĆA - Područna škola Velika Buna   , TPO 58, 10413 Velika Buna ,   OSNOVNA ŠKOLA JURJA HABDELIĆA - Područna škola Šiljakovina   , Ivana Šabana 2, 10413 Šiljakovina
Osnovna škola Vukovina;Osnovna škola;Matična škola;NA;01-087-003;0-0;Zagrebačka;ŠKOLSKA 20/A;10419  Gornje Podotočje; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Damir  Bedić;01/6230-005;01/6230-503;ured@os-vukovina.skole.hr;http://www.os-vukovina.skole.hr/;  Osnovna škola Vukovina - Područna škola Buševec   , TRG SELJAČKE SLOGE BB, 10417 Buševec ,   Osnovna škola Vukovina - Područna škola Mraclin   , LADISLAVA GALEKOVIĆA 50, 10410 Mraclin ,   Osnovna škola Vukovina - Područna škola Rakitovec   , RAKITOVEC 308, 10419 Rakitovec
Osnovna škola Nikole Hribara;Osnovna škola;Matična škola;NA;01-087-004;0-0;Zagrebačka;RUĐERA BOŠKOVIĆA 11;10410  Velika Gorica; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Stjepan  Maravić;01 234-47-14 , 01 622-13-31;01 622-15-78;velikagorica@os-nhribara-velikagorica.skole.hr;www.osnikolehribara.hr;  Osnovna škola Nikole Hribara - Područna škola Gradići   , Slavonska 1, 10410 Gradići ,   Osnovna škola Nikole Hribara - Područna škola Lomnica   , ŠKOLSKA 2A, 10412 Donja Lomnica
Osnovna škola Eugena Kumičića;Osnovna škola;Matična škola;NA;01-087-005;0-0;Zagrebačka;JOSIPA PUCEKOVIĆA 4;10410  Velika Gorica; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Snježana  Ruklić;01/6260-562 , 01-6213-963 , 01/622-13-02 , 01/622-13-02 , 01/6221-302;01/622-20-29;ured@os-ekumicica-velikagorica.skole.hr;http://os-ekumicica-velikagorica.skole.hr/;NA
Osnovna škola VELIKA MLAKA;Osnovna škola;Matična škola;NA;01-087-006;0-0;Zagrebačka;Brune Bušića 7;10408  Velika Mlaka; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Zrinka  Šućur;623-56-06 , 623-51-52;623-55-05;ured@os-velika-mlaka.skole.hr;www.os-velika-mlaka.skole.hr;  Osnovna škola VELIKA MLAKA - Područna škola Mičevec   , MIČEVEC, TRG A. STEPINCA 5, 10410 Mičevec
Osnovna škola Novo Čiče;Osnovna škola;Matična škola;NA;01-087-007;0-0;Zagrebačka;Trg Antuna Cvetkovića 27;10415  Novo Čiče; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Sanja  Povoljnjak;01/6231 457 , 01/6231 420 , 01/6231 414 , 01/6231 458 , 01/6237 748 , 01/6233 141 , 01/6237 741 , 01/6237 740;NA;ured@os-novo-cice.skole.hr;http://www.os-novo-cice.skole.hr;NA
Osnovna škola ŠĆITARJEVO;Osnovna škola;Matična škola;NA;01-087-010;0-0;Zagrebačka;Šćitarjevo 104;10410  Šćitarjevo; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Mario  Ivić;+385(01)62 58 235 , +385(01)62 58 778;+385(01)62 58 778;ured@os-scitarjevo.skole.hr , osnovna.skola.scitarjevo@zg.t-com.hr;NA;NA
CENTAR ZA ODGOJ I OBRAZOVANJE VELIKA GORICA;Osnovna škola;Matična škola;NA;01-087-011;0-0;Zagrebačka;ZAGREBAČKA 90;10410  Velika Gorica; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Nikolina  Vučković-Barišić;622-14-33;625-25-15;czoo.vg@gmail.com   ;www.centar-odgojiobrazovanje-velikagorica.skole.hr;NA
Osnovna škola Krunoslava Kutena;Osnovna škola;Matična škola;NA;01-094-001;0-0;Zagrebačka;TRG PETRA ZRINSKOG 2;10340  Vrbovec; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Žarko  Popović;01/279-14-33, 279-10-27 , 01/279-14-33, 279-10-27;01/2794-472;ured@os-kkutena-vrbovec.skole.hr;http://www.os-kkutena-vrbovec.skole.hr;  Osnovna škola Krunoslava Kutena - Područna škola Banovo   , BANOVO 59, 10340 Banovo ,   Osnovna škola Krunoslava Kutena - Područna škola Dijaneš   , DIJANEŠ 63, 10340 Dijaneš ,   Osnovna škola Krunoslava Kutena - Područna škola Gornji Tkalec   , Gornji Tkalec 38, 10340 Vrbovec ,   Osnovna škola Krunoslava Kutena - Područna škola Preseka   , PRESEKA 57, 10346 Preseka ,   Osnovna škola Krunoslava Kutena - Područna škola Rakovec   , Rakovec 54, 10347 Rakovec
Osnovna škola Marije Jurić Zagorke;Osnovna škola, Umjetnička škola;Matična škola;NA;01-094-003;0-0;Zagrebačka;BRDO 12A;10340  Vrbovec; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Edina  Operta;01/279-29-29, 279-29-39 , 01/279-29-29, 279-29-39;01/279-29-29;ured@os-mjzagorke-vrbovec.skole.hr;http://os-mjzagorke-vrbovec.skole.hr/;  Osnovna škola Marije Jurić Zagorke - Područna škola Lonjica   , Lonjica 213, 10341 Lonjica ,   Osnovna škola Marije Jurić Zagorke - Područna škola Negovec   , Negovec 65, 10340 Vrbovec ,   Osnovna škola Marije Jurić Zagorke - Područna škola Poljana   , Poljana 22, 10340 Poljana ,   Osnovna škola Marije Jurić Zagorke - Područna škola Poljanski Lug   , Poljanski Lug 9, 10340 Poljanski Lug
Osnovna škola Antuna Augustinčića;Osnovna škola;Matična škola;NA;01-108-001;0-0;Zagrebačka;VLADIMIRA NAZORA 2A;10290  Zaprešić; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Danijela  Adžijević;01/ 3310 443 , o1/3310 161;NA;ured@os-aaugustincica-zapresic.skole.hr , danijela.adzijevic@skole.hr;NA;NA
OSNOVNA ŠKOLA LJUDEVITA GAJA;Osnovna škola;Matična škola;NA;01-108-002;0-0;Zagrebačka;LJUDEVITA GAJA 2;10290  Zaprešić; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Đurđica  Šepac;01/3355-655 , 01/3355-655;01/335-87-29;tajnistvo@os-ljudevita-gaja-zapresic.skole.hr;NA;NA
Osnovna škola Kupljenovo;Osnovna škola;Matična škola;NA;01-108-004;0-0;Zagrebačka;MATIJE GUPCA 53;10295  Kupljenovo; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Mihaela  Dolinar;01/ 339-36-52 , 01/ 331-50-00;01/339-36-52;kupljenovo@os-kupljenovo.skole.hr;os-kupljenovo.skole.hr;  Osnovna škola Kupljenovo - Područna škola Hruševec   , Hruševečka 20, 10295 Hruševec Kupljenski
OSNOVNA ŠKOLA DRAGUTINA DOMJANIĆA;Osnovna škola;Matična škola;NA;01-109-001;0-0;Zagrebačka;I. Gundulića 2;10380  Sveti Ivan Zelina; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Gordana  Čosić;206-11-09 , 206-09-18 , 206-16-40 , 206-17-40;206-09-18;osnovna.skola.zelina@zg.t-com.hr;NA;  OSNOVNA ŠKOLA DRAGUTINA DOMJANIĆA - Područna škola Komin   , KOMIN 36, 10383 Komin ,   OSNOVNA ŠKOLA DRAGUTINA DOMJANIĆA - Područna škola Prepolno   , PREPOLNO 3, 10380 Prepolno
OSNOVNA ŠKOLA KSAVERA ŠANDORA ĐALSKOG;Osnovna škola;Matična škola;NA;01-109-002;0-0;Zagrebačka;DRAGUTINA STRAŽIMIRA 24;10382  Donja Zelina; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Lidija  Smrndić;206-50-19 , 206-50-61 , 202-07-95;206-50-61;ured@os-ksdjalski-donjazelina.skole.hr , ;http://os-ksdjalski-donjazelina.skole.hr;  OSNOVNA ŠKOLA KSAVERA ŠANDORA ĐALSKOG - Područna škola Psarjevo Gornje   , GORNJE PSARJEVO 18, 10380 Gornje Psarjevo ,   OSNOVNA ŠKOLA KSAVERA ŠANDORA ĐALSKOG - Područna škola Nespeš   , 10 382 DONJA ZELINA. NESPEŠ 5, 10382 Nespeš
Osnovna škola Ivana Perkovca;Osnovna škola;Matična škola;NA;01-151-001;0-0;Zagrebačka;ZAGREBAČKA 30;10292  Šenkovec; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Vesna  Javor;01/2339-417 , 01/3312-122 , 01/3395-758 , 01/3312-143 , 01/3312-127;01/3313-800;os-ivana-perkovca@zg.t-com.hr , ured@os-iperkovca-senkovec.skole.hr;http://os-iperkovca-senkovec.skole.hr/;  Osnovna škola Ivana Perkovca - Područna škola Drenje   , Drenjska 24, 10291 Drenje Brdovečko
Osnovna škola Ivane Brlić-Mažuranić;Osnovna škola;Matična škola;NA;01-151-002;0-0;Zagrebačka;KOLODVORSKA 31;10291  Prigorje Brdovečko; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Goran  Hotko;01/3397-305 , 01/3357-823 , 01/3395-787 (PŠ Laduč);01/3397-305;ured@os-ibmazuranic-prigorjebrdovecko.skole.hr;www.os-ibmazuranic-prigorjebrdovecko.skole.hr;  Osnovna škola Ivane Brlić-Mažuranić - Područna škola Laduč   , DONJI LADUČ, ZAGREBAČKA CESTA 48, 10292 Donji Laduč
OSNOVNA ŠKOLA PAVAO BELAS;Osnovna škola, Umjetnička škola;Matična škola;NA;01-151-003;0-0;Zagrebačka;Ilije Gregorića 28;10291  Brdovec; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Andrej  Peklić;33 15 216 , 01/3315439;01/3398420;osnovna.skola-pavao.belas@zg.t-com.hr;http://os-pavao-belas.skole.hr/;NA
Osnovna škola Rugvica;Osnovna škola;Matična škola;NA;01-152-001;0-0;Zagrebačka;POSAVSKA 2;10370  Rugvica; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Robert  Munđer;"01/276-00-59; 01/277-55-33; 01/277-56-06";"01/276-45-34; 01/276-05-83";os-rugvica@os-rugvica.skole.hr;http://www.os-rugvica.skole.hr;NA
Osnovna škola Stjepan Radić;Osnovna škola;Matična škola;NA;01-153-001;0-0;Zagrebačka;DOMAĆINSKA 1;10370  Božjakovina; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Jure  Mišković;01/276-34-56;01/276-35-56;skola@os-stjepan-radic-bozjakovina.skole.hr;www.os-stjepan-radic-bozjakovina.skole.hr;  Osnovna škola Stjepan Radić - Područna škola Lupoglav   , Ivana Horvatića 113, Lupoglav, 10370 Dugo Selo, 10370 Lupoglav
Osnovna škola Pušća;Osnovna škola;Matična škola;NA;01-155-001;0-0;Zagrebačka;ZAGORSKA 2;10294  Donja Pušća; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Arsen  Šarunić;013392-917 , mob. MŠ  Pušća 099/ 2725-078 , 01/339-29-17 , 01/3392-917 - kućni 102 , 01/3392-917 . 01/3310-797;01/3391-561;os-pusca@zg.t-com.hr , ured@os-pusca-donja.skole.hr;http://os-pusca-donja.skole.hr/;  Osnovna škola Pušća - Područna škola Dubravica   , Pavla Štoosa 38, 10293 Dubravica
Osnovna škola Sveta Nedelja;Osnovna škola;Matična škola;NA;01-156-001;0-0;Zagrebačka;Svetonedeljska 21;10431  Sveta Nedelja; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Anica  Magdalenić;337-08-66, 337-07-62 , 337-08-52;3336 746;ured@os-sveta-nedelja.skole.hr  , racunovodstvo@os-sveta-nedelja.skole.hr;NA;  Osnovna škola Sveta Nedelja - Područna škola Kerestinec   , Mate Lovraka 3, 10431 Kerestinec ,   Osnovna škola Sveta Nedelja - Područna škola Rakov Potok   , Školska 3, 10436 Rakov Potok ,   Osnovna škola Sveta Nedelja - Područna škola Strmec   , Strmec, Školska 13, 10434 Strmec
OSNOVNA ŠKOLA KLINČA SELA;Osnovna škola;Matična škola;NA;01-157-001;0-0;Zagrebačka;Amruševa 32;10450  Klinča Sela; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Ivo  Karača;6586959;6586955;ured@os-klinca-sela.skole.hr;www.os-klinca-sela.skole.hr;  OSNOVNA ŠKOLA KLINČA SELA - Područna škola Kupinec   , Kupinec 129, 10450 Kupinec ,   OSNOVNA ŠKOLA KLINČA SELA - Područna škola Repišće   , REPIŠĆE bb, 10450 Repišće
Osnovna škola Vladimir Nazor;Osnovna škola;Matična škola;NA;01-158-001;0-0;Zagrebačka;ZAGREBAČKA 12;10451  Pisarovina; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Branka  Smolković Cerovski;099/639 6518 , 01/629-10-10 , 01/629-16-81;01/6291805;ured@os-vladimir-nazor-pisarovina.skole.hr;NA;  Osnovna škola Vladimir Nazor - Područna škola Bratina   , BRATINA 59 A, 10451 Bratina ,   Osnovna škola Vladimir Nazor - Područna škola Donja Kupčina   , Donja Kupčina 452, 10451 Donja Kupčina
Osnovna škola Kardinal Alojzije Stepinac;Osnovna škola;Matična škola;NA;01-159-001;0-0;Zagrebačka;KRAŠIĆ BB;10454  Krašić; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Helena  Beketić;01/627-00-05 , 01/627-00-05;01/627-00-51;ured@os-alojzije-stepinac-krasic.skole.hr;http://os-alojzije-stepinac-krasic.skole.hr/;  Osnovna škola Kardinal Alojzije Stepinac - Područna škola Kostanjevac   , Kostanjevac 12, 10455 Kostanjevac ,   Osnovna škola Kardinal Alojzije Stepinac - Područna škola Prekrižje   , Gornje Prekrižje 1, 10454 Krašić ,   Osnovna škola Kardinal Alojzije Stepinac - Područna škola Vukšin Šipak   , Vukšin Šipak 24, 10454 Krašić
Osnovna škola Vladimir Deščak;Osnovna škola;Matična škola;NA;01-160-001;0-0;Zagrebačka;Novaki, Školska 4;10431  Sveta Nedelja; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Ivica  Pavlić;01/3372-040;NA;ured@os-vladimir-descak.skole.hr;www.os-vladimir-descak.skole.hr;NA
Osnovna škola Gradec;Osnovna škola;Matična škola;NA;01-163-001;0-0;Zagrebačka;Gradec 93 A;10345  Gradec; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Vlado  Starešec;2797-034 , 2797-481 ,  2794-322, 2794-323,2728-855;2797-495;biljana.vojvodic@skole.hr , ured@os-gradec.skole.hr ;os-gradec.skole.hr;  Osnovna škola Gradec - Područna škola Cugovec   , CUGOVEC 86, 10345 Cugovec ,   Osnovna škola Gradec - Područna škola Haganj   , Haganj 4, 10343 Haganj ,   Osnovna škola Gradec - Područna škola Repinec   , Repinec 83, 10345 Repinec ,   Osnovna škola Gradec - Područna škola Tučenik   , Tučenik 48, 10345 Tučenik
Osnovna škola Dubrava;Osnovna škola;Matična škola;NA;01-164-001;0-0;Zagrebačka;Sv. Margarete 15;10342  Dubrava; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Marijana  Kozumplik Kemenović;01/2790-634 , 01/2726-200 , 01/2725-219 , 01/2725-418 , 01/2790-634;01/2725-219, 2726-200;os-dubrava@os-dubrava.skole.hr;NA;  Osnovna škola Dubrava - Područna škola Bolč   , BOLČ, 10344 Bolč ,   Osnovna škola Dubrava - Područna škola Farkaševac   , FARKAŠEVAC, 10344 Farkaševac ,   Osnovna škola Dubrava - Područna škola Nova Kapela   , NOVA KAPELA 83, 10343 Nova Kapela
Osnovna škola Jakovlje;Osnovna škola;Matična škola;NA;01-166-001;0-0;Zagrebačka;Stubička cesta 2;10297  Jakovlje; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Ljiljana  Klepac;01/3391-196 , 01/335-12-00 , 01/331-41-24;01/335-12-00;ured@os-jakovlje.skole.hr;http://os-jakovlje.skole.hr/;  Osnovna škola Jakovlje - Područna škola Igrišće   , Mihanovićeva bb, Igrišće, 10297 Igrišće ,   Osnovna škola Jakovlje - Područna škola Kraljev Vrh   , KRALJEV VRH, ŠKOLSKA 3, 10297 Kraljev Vrh
Osnovna škola braće Radića;Osnovna škola;Matična škola;NA;01-198-001;0-0;Zagrebačka;ŠKOLSKA 20;10312  Kloštar Ivanić; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Tatjana  Bakarić;2829 295 , 2829 294 , 2830 149;2829 296;ured@os-brace-radica-klostarivanic.skole.hr;NA;NA
Osnovna škola MILKE TRNINE;Osnovna škola;Matična škola;NA;01-199-001;0-0;Zagrebačka;ŠKOLSKA 10;10314  Križ; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Zlatko  Hasan;01 2830151 , 01 28 24 126 , 01-282-44-04;01 2824504 , 01-282-45-63 , 01-282-45-64 , 01-282-45-04;os-kriz-001@os-mtrnine-kriz.skole.hr;http://www.os-mtrnine-kriz.skole.hr/;  Osnovna škola MILKE TRNINE - Područna škola Novoselec   , MOSLAVAČKA 119, 10315 Novoselec
Osnovna škola Ante Kovačića;Osnovna škola;Matična škola;NA;01-539-001;0-0;Zagrebačka;Gorički trg 3;10299  Marija Gorica; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Jasna  Horvat;01/5624-883 , 01/3396-987;01/3392-936;os.ante.kovacica@gmail.com , tajnistvo@os-akovacica-mgorica.skole.hr 	 , ured@os-akovacica-mgorica.skole.hr;www.os-akovacica-mgorica.skole.hr;NA
Osnovna škola POKUPSKO;Osnovna škola;Matična škola;NA;01-544-001;0-0;Zagrebačka;Dr. Franje Tuđmana 49;10414  Pokupsko; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Štefica  Facko Vrban;0916266136;626-61-36;ured@os-pokupsko.skole.hr;www.os-pokupsko.hr;  Osnovna škola POKUPSKO - Područna škola Hotnja   , Hotnja 106, 10414 Hotnja
OSNOVNA ŠKOLA SLAVKA KOLARA;Osnovna škola;Matična škola;NA;01-545-001;0-0;Zagrebačka;Gajevo 2;10413  Kravarsko; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Nikola  Tonković;01/6237-335 , 01/6260-568 , 01/6237-395;01/6237-335;ured@os-skolara-kravarsko.skole.hr;www.os-skolara-kravarsko.skole.hr;  OSNOVNA ŠKOLA SLAVKA KOLARA - Područna škola Donji Hruševec   , Donji Hruševec bb, 10413 Donji Hruševec ,   OSNOVNA ŠKOLA SLAVKA KOLARA - Područna škola Gornji Hruševec   , Gornji Hruševec bb, 10413 Gornji Hruševec ,   OSNOVNA ŠKOLA SLAVKA KOLARA - Područna škola Kozjača   , KOZJAČA, Školska bb, 10413 Kozjača
Osnovna škola Bistra;Osnovna škola;Matična škola;NA;01-547-001;0-0;Zagrebačka;BISTRANSKA 30;10298  Poljanica Bistranska; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Eduard  Kovačević;3390-016 , 3391-716;3390-016;tajnistvo@os-bistra.skole.hr;NA;  Osnovna škola Bistra - Područna škola Gornja Bistra   , GORNJA BISTRA, BISTRANSKA 207, 10298 Gornja Bistra ,   Osnovna škola Bistra  - Područna škola Jablanovec   , JABLANOVEC, STUBIČKA 198, 10298 Jablanovec
Osnovna škola Luka;Osnovna škola;Matična škola;NA;01-548-001;0-0;Zagrebačka;TRG SV. ROKA 3;10296  Luka; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Renata  Meglić;01/3394-928 , 01/3393-474 , 01/3394-940 , 01/3394-924;01/3394-927;skolaluka@os-luka.skole.hr;NA;NA
Osnovna škola Bedenica;Osnovna škola;Matična škola;NA;01-550-001;0-0;Zagrebačka;Bedenica 111;10381  Bedenica; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Krunoslav  Ujlaki;01/2064-263 , 01/2043-530 , 01/2043-560 , 01/2043 532 , 01/2043 562;01/2043 531;ured@os-bedenica.skole.hr;NA;NA
