naziv;osnivac;zupanija;adresa;mjesto;telefon;e_mail;podrucni_objekti
"Dječji vrtić ""Zibeljko""";OPĆINA BEDNJA;Varaždinska županija ;Trg Svete Marije 24;Bednja;042/ 791-016;djecji.vrtic@bednja.hr;NA
Dječji vrtić „Gumbek“;NA;Varaždinska županija ;Stjepana Radića 77;Beletinec;042768004, 0953971053;djecjivrticgumbek@gmail.com;NA
"Dječji vrtić ""Cvrčak""";Grad Beli Manstir;Osječko-baranjska županija ;Vladimira Nazora 34a;Beli Manastir;031/701-318;vrtic.cvrcak@gmail.com; PO Šećerana, Žrtava Domovinskog rata 25, 31300 Šećerana ,  PO Branjin vrh, Svetog Križa 57, 31301 Branjin Vrh
Kraći glazbeni program pri Umjetničkoj školi Beli Manastir;Grad Beli Manastir;Osječko-baranjska županija ;Kralja Tomislava 2;Beli Manastir;031 705 027;usbm.bm@gmail.com;NA
"Dječji vrtić ""Belica""";Općina Belica;Međimurska županija ;Dr. Ljudevita Gaja 21a;Belica;040/845-040;djecji.vrtic.belica@gmail.com; PO Gardinovec, Gardinovec 32, 40319 Belica
Dječji vrtić Svetog Nikole;Varaždinska biskupija;Međimurska županija ;Braće Radića 129;Belica;097/6242558;dv-svetinikola@biskupija-varazdinska.hr;NA
"Dječji vrtić ""Maslačak""";Grad Belišće;Osječko-baranjska županija ;Vijenac dr. Franje Tuđmana 2;Belišće;031 662 455, 031 663 755;vrtic.belisce@gmail.com; PO Bizovac, Braće Radića 43, 31222 Bizovac ,  PO Petrijevci, Republike 110, 31208 Petrijevci ,  PO Gat, Kolodvorska 47,  
"Dječji vrtić ""Bubamara""";Grad Benkovac;Zadarska županija ;Velebitska 3;Benkovac;023/681-144;dv.bubamara.benkovac@gmail.com; PO Maslina, Velebitska 1, 23420 Benkovac ,  PO na adresi Glagoljaška 2a u Benkovcu, Glagoljaška 2a,  
Program predškole pri OŠ Berek;općina Berek;Bjelovarsko-bilogorska županija ;Berek 73;Berek;043/548-125;ured@os-berek.skole.hr;NA
"Dječji vrtić ""Ježeva kućica - Beretinec""";Općina Beretinec;Varaždinska županija ;Trg hrvatskih branitelja 1;Beretinec;042 550-442;dvjezevakucica@gmail.com;NA
"Dječji vrtić ""Leptirići""";Općina Bibinje;Zadarska županija ;Bugarije 20;Bibinje;023/261-061;leptirici20@gmail.com;NA
"Dječji vrtić ""Grlica""";Općina Bilje , OPĆINA BILJE;Osječko-baranjska županija ;Biljske satnije ZNG RH 11a;Bilje;031/750-144;dvgrlica.bilje@gmail.com ; PO Kopačevo, Podunavska 32, 31327 KOPAČEVO ,  PO Vardarac, ŠKOLSKA 30, 31327 VARDARAC ,  PO Lug, ŠKOLSKA 6, 31328 LUG
"Dječji vrtić ""Biograd""";GRAD BIOGRAD NA MORU , Grad Biograd na Moru ;Zadarska županija ;MARINA DRŽIĆA 1;Biograd na Moru;023 386 128  023 383 305;djecji.vrtic.biograd@gmail.com; PO Paška 1, Paška 1, 23210 Biograd
Dječji vrtić PČELICA Bisag;Općina Breznica;Varaždinska županija ;Bisag 24;Bisag;042/616-370;vrtic@breznica.hr;NA
Poseban program predškolskog odgoja za djecu s teškoćama pri V. osnovnoj školi Bjelovar;Grad Bjelovar;Bjelovarsko-bilogorska županija ;Šetalište dr. Ivše Lebovića 1;Bjelovar;043/242-645;skola@os-peta-bj.skole.hr;NA
Dječji vrtić Bubamara;Amanda Ćuruvija;Bjelovarsko-bilogorska županija ;Prilaz Andrije Hebranga 10;Bjelovar;043/263-231;dvbubamarabj@gmail.com;NA
Dječji vrtić Ciciban;Senka Marija Ivanušec;Bjelovarsko-bilogorska županija ;Podravska ulica 13;Bjelovar;043 226 224, 043 214 070 ;dv.ciciban@bj.t-com.hr; PO Mihanovićeva, MIHANOVIĆEVA 8, 43000 BJELOVAR ,  PO Bachova, Bachova 1, 43000 Bjelovar
"Dječji vrtić ""Pinokio""";"Udruga ""Naučno istraživačko-obrazovno udruženje za djecu i mladež Roma Županije bjelovarsko – bilogorske""";Bjelovarsko-bilogorska županija ;ULICA MILANA ŠUFFLAY;Bjelovar;043/212-035;pinokio.vrtic@gmail.com;NA
"Dječji vrtić ""Bjelovar""";Grad Bjelovar;Bjelovarsko-bilogorska županija ;Trg Antuna Gustava M;Bjelovar;043/246-800;djecji.vrtic.bjelovar@bj.t-com.hr; PO Frankopanske Jaslice, Krste Frankopana 6, 43000 Bjelovar ,  PO Franjevačke Jaslice, Mihanovićeva 8b, 43000 Bjelovar ,  PO Nove Jaslice, Alojzija Stepinca 36, 43000 Bjelovar ,  PO Mjesni odbor Josipa bana Jelačića, Radničko naselje bb, 43000 Bjelovar ,  PO Naselje kralja Zvonimira, Alojzija Stepinca 36, 43000 Bjelovar ,  Područni objekt u Gudovcu , Gudovac 126 A,  
"Dječji vrtić ""Osmijeh""";Marina Hehet Valentić;Bjelovarsko-bilogorska županija ;Bogoslava Šuleka 10;Bjelovar;043/492-123;djecjivrticosmijehbj@gmail.com; PO J. Gotovca, Jakova Gotovca 22, 43104 Bjelovar
"Dječji vrtić ""Blato""";općina;Dubrovačko-neretvanska županija ;Ulica 1 25/II;Blato;020/851-991;dv.blato@du.t-com.hr; PO Blato 1, 32. ulica kbr. 8/A,  
"Dječji vrtić ""Liliput-Trpinja""";Općina Trpinja;Vukovarsko-srijemska  županija ;Mitrovićeva 12A;Bobota;032/560-128;liliput-trpinja032@net.hr; PO Lane, Velika 3, 32224 Trpinja ,  PO Bubamara, Vase Đurđevića 2, 32222 Bršadin
"Dječji vrtić ""Mali Princ""";Općina Bol;Splitsko-dalmatinska županija ;Uz pjacu 17;Bol;021/635 357;info@maliprinc.com.hr;NA
Dječji vrtić Zlatokosa Borovo;OPĆINA  BOROVO , OPĆINA BOROVO;Vukovarsko-srijemska  županija ;Nikole Tesle bb;Borovo;032/439-542;djecji.vrtic.zlatokosa@vu.t-com.hr;NA
Program predškolskog odgoja pri OŠ F. B. T. Leakovića;Općina Bošnjaci;Vukovarsko-srijemska  županija ;Braće Radića 38a;Bošnjaci;032/845-502;ured@os-btleakovica-bosnjaci.skole.hr;NA
"Dječji vrtić ""Brela""";općina Brela , Općina Brela;Splitsko-dalmatinska županija ;Trg žrtava domovinsk;Brela;021/ 618 660;antonija.ivanac@gmail.com; PO Soline, Trg Alojzija Stepinc, 21322 Brela ,  PO Anđeo čuvar, S. Radića 6, 21322 Brela
OŠ Dragutina Lermana-Brestovac;Požeško-slavonska županija;Požeško-slavonska županija ;Požeška 45;Brestovac;"034 241 004;  mob:099 241 0040";ured@os-dlermana-brestovac.skole.hr;NA
"Dječji vrtić ""Tratinčica""";Općina Brinje , OPĆINA BRINJE;Ličko-senjska županija ;Popa Marka Mesića 2;Brinje;053/700-857;djecji.vrtic.tratincica@gs.t-com.hr;NA
Program predškolskog odgoja pri OŠ Brod Moravice;Općina Brod Moravice;Primorsko-goranska županija ;Školska 3;Brod Moravice;051/817-135;skola@os-brod-moravice.skole.hr;NA
Dječji vrtić Sunce;Jasna Grubišić;Šibensko-kninska županija ;Gomljanik 41;Brodarica;022/351171;info@vrtic-sunce.hr; PO Lanterna, Don Ivana Jurčeva bb,  
Udruga za djecu Bubamara;Tomislav Grbić , Suzana Lesan;Brodsko-posavska županija ;Stjepana Radića 117;Brodski Stupnik;035/221 535;udrugabubamara5@gmail.com;NA
"Dječji vrtić ""Kalimero""";Općina Brtonigla;Istarska županija ;Dudova 24 a;Brtonigla;052/774-369;info@vrtic-kalimero.hr;NA
Program predškolskog odgoja pri OŠ Vladimira Nazora;NA;Krapinsko-zagorska županija ;Budinščina 18c;Budinšćina;049/459-113;ured@os-vnazor-budinscina.skole.hr; PŠ Hrašćina, Trgovišće bb, 49283 Hrašćina Trgovišće
"Talijanski dječji vrtić ""Mrvica""";Grad Buje;Istarska županija ;Matije Gupca 13;Buje;052/773-161;talijanski.d.v.fregola@pu.t-com.hr; PO Momjan, Gornja Vas 2, 52462 Momjan ,  PO Rudine, Rudine 3, 52460 Buje
"Dječji vrtić ""Buje""";Grad Buje;Istarska županija ;Matije Gupca 13;Buje;052/772-043;dv.buje@pu.t-com.hr; PO Kaštel, ISTARSKA 12, 52460 KAŠTEL
"Dječji vrtić ""Grdelin""";Grad Buzet;Istarska županija ;II. istarske brigade 19;Buzet;052/622-614;info@grdelin-buzet.hr;NA
"Dječji vrtić ""Konavle""";OPĆINA KONAVLE;Dubrovačko-neretvanska županija ;Put od Cavtata bb;Cavtat;020 478 436;ravnateljica@vrticikonavle.hr;" PO Katićan, Čilipi bb, 20213 Čilipi ,  PO Gruda, GRUDA BB, 20215 GRUDA ,  PO u Poljoprivrednoj zadruzi ""Franjo Supilo"" u Čilipima, ČILIPI BB, 20213 ČILIPI"
Program predškolskog odgoja pri OŠ Cetingrad;Općina Cetingrad;Karlovačka županija ;Ivana Frankopana Cet;Cetingrad;047/781-005;ured@os-cetingrad.skole.hr;NA
Dječji vrtić Girice;Grad Cres;Primorsko-goranska županija ;Šetalište 20. travnja 52 i 54;Cres;051/571-237;dvgirice@gmail.com;NA
"Dječji vrtić ""Radost""";Grad Crikvenica;Primorsko-goranska županija ;Šetalište Vladimira Nazora 2A;Crikvenica;(051) 241-799;vrtic@radost-crikvenica.hr; PO Dramalj, Dramalj 59, 51265 Dramalj ,  PO Jadranovo, Vladimira Nazora 5, 51264 Jadranovo ,  PO Selce, Andrije Antića 33, 51266 Selce
"Dječji vrtić ""Bubamara""";Grad Čabar;Primorsko-goranska županija ;Narodnog oslobođenja 2;Čabar;098 416 024;bubamaracabar@hotmail.com; PO Čabar, Narodnog oslobođenja 2, 51306 Čabar ,  PO Prezid, Goranska 103/1, 51307 Prezid ,  PO Gerovo, Zagrebačka, 51304 Gerovo ,  PO Tršće, Ivana Kovačića 16, 51305 Tršće ,  PO Plešce, Antuna Muhvića 27, 51303 Plešce
Predškolski odgoj pri OŠ A. G. Matoša;Općina Čačinci;Virovitičko-podravska županija ;Trg kardinala Franje;Čačinci;"033/684-006  ; 033/684-519";ured@os-agmatosa-cacinci.skole.hr;NA
"Dječji vrtić ""Lipa"" Čađavica";Općina Čađavica,Općina Čačinci i Općina Crnac , ;Virovitičko-podravska županija ;Kolodvorska 3a;Čađavica;0919795171;djecjivrtic.lipa@gmail.com; PO Veliki Rastovac, Veliki Rastovac 39,   ,  PO Čačinci, Vinogradska 2,  
Osnovna škola Davorin Trstenjak;Općina Čađavica;Virovitičko-podravska županija ;Kolodvorska 1;Čađavica;033/ 544200;ured@os-davorin-trstenjak-cadjavica.skole.hr;NA
Program predškolskog odgoja pri Osnovnoj školi Stjepana Radića Čaglin;OPĆINA ČAGLIN;Požeško-slavonska županija ;Vladimira Nazora 1;Čaglin;034/221 028;os-caglin@os-sradica-caglin.skole.hr;NA
Program predškole pri OŠ Čakovci;Općina Tompojevci , Općina Tompojevci;Vukovarsko-srijemska  županija ;Šandora Petefija 8;Čakovci;"032/534-134;  098 9275126";skola@os-cakovci.skole.hr; PO Bokšić, Radićeva 19,  
STUDIO ŽERJAV d.o.o.;Mateja Žerjav;Međimurska županija ;Carinarski odvojak 1;Čakovec;040/328-094   098 613 620;studio.zerjav@gmail.com;NA
Didasko d.o.o.;LIDIJA BULJAN, DAMIR BENDELJA, LIDIJA KUTNJAK, LIDIJA MOČNIK, MIRJANA ANĐEL;Međimurska županija ;Športska 6a;Čakovec;040/391 072;info@didasko.com.hr;NA
Mirjana Sever d.o.o.;Mirjana Sever d.o.o.;Međimurska županija ;Park Rudolfa Kropeka;Čakovec;040/312-391;skola@mirjanasever.hr;NA
udruga Gimnastički klub MZ MACAN Čakovec;Skupština Gimnastičkog kluba Marijan Zadravec Macan;Međimurska županija ;Ulica Tome Masaryka ;Čakovec;040 311078;gkmacan@gmail.com;NA
Kraći program odgojno-obrazovnog rada- Igraonica Bamblek pri Knjižnici Nikola Zrinski Čakovec;Grad Čakovec;Međimurska županija ;Trg Republike 4;Čakovec;040/310595;knjiznica-cakovec@ck.t-com.hr;NA
Udruga za šport djece i mladeži Čakovec;Anto Dragić;Međimurska županija ;Sportska 2;Čakovec;0981785801;teahatlak@gmail.com;NA
Dječji vrtić Cipelica;GRAD ČAKOVEC;Međimurska županija ;Vukovarska 15;Čakovec;"040/500796; 040/500797";"info@dv-cipelica.hr; g.solticsiladi@dv-cipelica.hr"; PO Vjeverica, Zavnoha 24/a,   ,  PO Mrav, Bana Josipa Jelačića,   ,  PO Zvjezdice, Prvomajska 21,   ,  PO Pirgo, Varaždinska 2,   ,  PO Bambi, Ulica bana Josipa Jelačića 25,  
"Dječji vrtić ""HIŽICA""";SANJA POSEDI;Međimurska županija ;Vlatka Mačeka 22;Čakovec;098 988 3709;sanja.posedi@gmail.com;NA
"Dječji vrtić ""Prugi i prijatelji""";Ana Simon;Međimurska županija ;Bana Josipa Jelačića 22h;Čakovec;098 1745 138;"prugi@simva.hr; simon.ana27@gmail.com";NA
"Dječji vrtić ""Žibeki""";Ljubica Železnjak i Anita Caban , LJubica Železnjak i Anita Caban;Međimurska županija ;VINKA ŽGANCA 27;Čakovec;040/364-178;djecji.vrtic.zibeki@ck.t-com.hr; PO Pribislavec, KAŠTELSKA 14, 40000 PRIBISLAVEC ,  PO Brezje, BREZJE 68, 40311 LOPATINEC
Dječji vrtić Cvrčak;Grad Čakovec;Međimurska županija ;Ulica Lavoslava Ružičke 2;Čakovec;040/390-501;info@dv-cvrcak.hr; PO Maslačak, J. Bedekovića 22, 40000 Čakovec ,  PO Krijesnice, M. Trnine 13, 40000 Čakovec ,  PO Pčelice, Zrinskih 4, 40000 Ivanovec ,  PO Stonoga, Maršala Tita 45, 40000 Novo Selo Rok
"Dječji vrtić ""Dječja mašta""";Grozdana Žagar;Međimurska županija ;France Prešerna 32;Čakovec;040/395-655, ;dv.djecja.masta@gmail.com; PO Pinokio, Glavna ulica 47, 40000 Sivica ,  PO Leptirići, Zebanec Selo 67, 40314 Zebanec Selo
"Dječji vrtić ""Loptica""";Ljubica Grašić , Ljubica Grašić;Međimurska županija ;Ulica Tina Ujevića 2;Čakovec;040/384-066;djecji.vrtic.loptica@gmail.com;" PO ""MEDO"" OREHOVICA, Ljudevita Gaja 10, 40322 Orehovica ,  PO ""LAVIĆ"", Sv. Đurđ, Ljudevita Gaja 2, 42233 Sv. Đurđ"
"Dječji vrtić ""Grobnički tići"""; Stanislava Perušić;Primorsko-goranska županija ;Zastenice 112;Čavle;051/296 084;stanislava.perusic@gmail.com; PO Mošćenička Draga, Ljube Mrakovčića 30, 51417 Mošćenička Draga
"Dječji vrtić ""Čavlić""";Općina Čavle;Primorsko-goranska županija ;Čavja 49;Čavle;051/259-550;vrtic.cavlic@ri.t-com.hr; PO Grad Grobnik, Grobnik 1, 51219 Čavle ,  PO Petešić, Kamenji 1,  
"Dječji vrtić ""Pčelica""";grad Čazma;Bjelovarsko-bilogorska županija ;Braće Radića 13a;Čazma;043/771-419;djecji.vrtic.pcelica@bj.t-com.hr;NA
"Dječji vrtić ""Ivančica""";Općina Čeminac , ;Osječko-baranjska županija ;Ljudevita Gaja 2;Čeminac;031/756-161;dvivancica@gmail.com; PO Kozarac, Damira Furdija 14 a, 31325 Kozarac ,  PO Grabovac, Grobljanska ulica 1, 31309 Grabovac
"Dječji vrtić ""Ježić""";Anita Benko;Varaždinska županija ;Varaždinska ulica 33;Črešnjevo;"042 731 385 ; 099 8351 266";dvjezic@gmail.com;NA
"Dječji vrtić ""Radost""";Općina Darda;Osječko-baranjska županija ;Žrtava Domovinskog r;Darda;031/740-412;vrtic@dvradost.hr;NA
Češki dječji vrtić Ferde Mravenca Daruvar;Grad Daruvar , GRAD DARUVAR;Bjelovarsko-bilogorska županija ;Trg kralja Tomislava;Daruvar;043/331-551;ceski.djecji.vrtic.f.mravenca@bj.t-com.hr;NA
"Dječji vrtić ""Vladimir Nazor""";Grad Daruvar;Bjelovarsko-bilogorska županija ;Ljudevita Gaja 46/1;Daruvar;043/331-417;" tajnistvo.dvvn@daruvar.hr; hr-vrtic-da@net.hr";NA
"Dječji vrtić ""Hlojkica""";Grad Delnice;Primorsko-goranska županija ;Šetalište I. G. Kova;Delnice;051/811-345,051/814-397;dv-hlojkica@ri.t-com.hr; PO Brod na Kupi, Kralja Tomislava 12,  
"Dječji vrtić ""Tratinčica""";Općina Desinić , ;Krapinsko-zagorska županija ;Ratkajeva 6;Desinić;049/343-279;ravnateljica@djecji-vrtic-tratincica.hr;NA
Program predškole pri OŠ Dežanovac;Bjelovarsko-bilogorska županija;Bjelovarsko-bilogorska županija ;Dežanovac 285;Dežanovac;043 675 840, 845;os.dezanovac@gmail.com;NA
"Dječji vrtić ""Jelenko""";Marija Čučkin;Međimurska županija ;Ul. Vladimira Nazora 4;Domašinec;040/863-061;djvjelenko@email.t-com.hr;NA
Dječji vrtić Kapljica;OPĆINA BISTRA , ;Zagrebačka županija ;Potočna 4;Donja Bistra;01 3390 022 ;djecji.vrtic.kapljica@zg.t-com.hr;NA
"Dječji vrtić ""Klinčec""";Općina Donja Dubrava , Općina Donja Dubrava;Međimurska županija ;Krbulja 21a ;Donja Dubrava;040/688-202;djecji.vrtic.donja.dubrava@ck.t-com.hr; PO Donji Vidovec, Trg Slobode4, 40327 Donji Vidovec
"Judo klub ""Panda Pušća""";Dina Rendulić;Zagrebačka županija ;Ravnice 6;Donja Pušća;098/1837-057 tajnik Ivana Mara;judopusca@gmail.com;NA
"Dječji vrtić ""Bubamara""";Grad Donja Stubica;Krapinsko-zagorska županija ;Toplička 27;Donja Stubica;049/287-724;djecji.vrtic.bubamara@kr.t-com.hr; PO pri PŠ Vučak, Toplička 27, 49240 Donja Stubica ,  PO pri PŠ Lepa Ves, Toplička 27, 49240 Donja Stubica
"Dječji vrtić ""Maja Pčelica""";Vjekoslav Bahun;Varaždinska županija ;Vladimira Nazora 138;Donje Ladanje;042/727-610;maja.pcelica@vz.t-com.hr;NA
"Udruga ""LEPTIR"", igraonica ""Mrav""";Udruga Leptir;Brodsko-posavska županija ;Grobljanska 20;Donji Andrijevci;091 2853 553;leptir@udruga-leptir.hr; PO Igraonica “Bubamara”, Gorjanci 68, 35221 Velika Kopanica ,  PO Igraonica Pčelica, Trg Svetog Križa 16,  
"Dječji vrtić ""Ftiček""";Općina Donji Kraljevec;Međimurska županija ;Čakovečka 7/1;Donji Kraljevec;040/655-045;djecji.vrtic.fticek@gmail.com; PO Hodošan, Braće Radića 2a, 40320 Hodošan
Program predškole pri OŠ Katarina Zrinski ;Sisačko - moslavačka županija;Sisačko-moslavačka županija ;Mečenčani bb;Donji Kukuruzari;044 510 074;ured@os-kzrinska-mecencani.skole.hr;NA
Predškolski program pri OŠ Donji Lapac;Ličko-senjska županija;Ličko-senjska županija ;Stojana Matića 18;Donji Lapac;053/765-001;skola@os-donji-lapac.skole.hr;NA
"Dječji vrtić ""Pinokio""";Grad Donji Miholjac;Osječko-baranjska županija ;Prilaz stadionu 3;Donji Miholjac;031 631-919;djecjivrticpinokio@gmail.com; PO Rakitovica, Venoseva 5, 31543 Miholjački Poreč ,  PO Marijanci, Trg sv. Petra i Pavl, 31555 Marijanci ,  PO Črnkovci, Naselje N. Tesle 23, 31553 Črnkovci
Program predškole pri OŠ „Franjo Hanaman“ ;OPĆINA DRENOVCI;Vukovarsko-srijemska  županija ;ISTREV 2;Drenovci;032862834;  ured@os-fhanaman-drenovci.skole.hr ;NA
Dječji vrtić Petar Pan;Lidija Anić;Vukovarsko-srijemska  županija ;Vladimira Nazora 23;Drenovci;098/805 625;lidija_petarpan13@hotmail.com;NA
"Dječji vrtić ""Drniš""";Grad Drniš;Šibensko-kninska županija ;Antuna Mihanovića 2;Drniš;022/886-303;dv.drnis@si.t-com.hr; PO Oklaj pri OŠ, OKLAJ, 22303 Oklaj ,  PO Gradac , Put škole 54, 22322 GRADAC ,  PO Drinovci, Trg Stjepana Radića 1A, 22324 DRINOVCI ,  PO Radonić, Kod škole 4,  
"Dječji vrtić ""Čarobni park"" Drnje";Općina Drnje;Koprivničko-križevačka županija ;Trg kralja Tomislava 26;Drnje;048/733 159;carobni.park@gmail.com;NA
"DV ""Ston""";Općina Ston;Dubrovačko-neretvanska županija ;Put braće Mihanovića;Duba Stonska;020/754-644;vrticston@gmail.com;NA
"Dječji vrtić ""Dubrava""";Općina Dubrava;Zagrebačka županija ;Radnička 8;Dubrava;"2725-053; 098/981-8737";vrtic.dubrava@gmail.com; Program predškole u Kulturnom centru Dubrava, Ulica Svete Margarete 4,  
"Dječji vrtić ""Oršula""";Paić Miranda;Šibensko-kninska županija ;Vinka Maglice 10;Dubrava Kod Šibenika;099/6847517;NA; PO Mendula, Zagrebačka 25, 222213 Pirovac ,  PO Baturica, Hrvatske mornarice b, 22203 Rogoznica
"DV Waldorfski ""NEVEN""";Diana Mehremić Prišuta , Diana Mehremić Prišuta;Zagrebačka županija ;Eugena Kvaternika 15;Dubrava Samoborska;01 3326 989;waldorfski.djecji.vrtic.neven@zg.t-com.hr;NA
"Ustanova za upravljanje sportskim objektima ""Sportski objekti Samobor""";Grad Samobor;Zagrebačka županija ;Andrije Hebranga 26a;Dubrava Samoborska;013378901;vladimir.cerkez@samobor.hr;NA
"Dječji vrtić ""Petar Pan""";Ivana Ucović;Dubrovačko-neretvanska županija ;Iva Vojnovića 73;Dubrovnik;020/427-743;ivanaucovic@yahoo.com;NA
"Dječji vrtić ""Bubamara""";Dubravka Mojaš , Dubravka Mojaš;Dubrovačko-neretvanska županija ;Kralja Tomislava 7;Dubrovnik;020/611879; vrtic.bubamara.dubrovnik@gmail.com;NA
DJEČJI VRTIĆI DUBROVNIK;Grad Dubrovnik;Dubrovačko-neretvanska županija ;Iva Vojnovića 34;Dubrovnik;020/332400;"ravnateljica@vrtici-du.hr;palcica-vrtic@du.htnet.hr"; MO Palčica, Iva Vojnovića 34, 20000 Dubrovnik ,  PO Izviđač, M. Blažića, 5, 20000 Dubrovnik ,  PO Pile, Ivana Kukuljevića, 12, 20000 Dubrovnik ,  PO Kono, Zagrebačka, 66, 20000 Dubrovnik ,  PO Ciciban, Solinska, 1, 20000 Dubrovnik ,  PO Radost, Žrtava s Dakse, 36, 20000 Dubrovnik ,  PO Gruž, Pionirska, 5, 20000 Dubrovnik ,  PO Šipan, Šipanska Luka, b. b., 20350 Šipanska Luka ,  PO Trsteno-Gromača, Na vodi 36, 20234 Trsteno
"Dječji vrtić ""Calimero""";VJERA PROHASKA ĐUROVIĆ;Dubrovačko-neretvanska županija ;Put Josipa Kosora 14;Dubrovnik;020/ 332-893;vjera.prohaskadj@gmail.com;NA
OŠ Marina Držića Program PO za djecu s posebnim potrebama;Grad Dubrovnik;Dubrovačko-neretvanska županija ;Volantina 6;Dubrovnik;020/450-656;ured@os-mdrzica-du.skole.hr   ;NA
"Dječji vrtić ""Duga Resa""";GRAD Duga Resa;Karlovačka županija ;Ul.dr. Ivana Banjavčića 2;Duga Resa;047/704-124;vrticdresa@gmail.com; PO Kasar, Kasar 17, 47000 Duga Resa ,  PO Maslačak, Trg hrvatskih mučeni,   ,  PO Generalski stol, Generalski Stol 23,  
Predškolski odgoj u ustrojbenoj jedinici Osnovne škle Ivan Goran Kovačić Duga Resa, Područna škola Bosiljevo;Karlovačka županija;Karlovačka županija ;Ulica bana Josipa Jelačića 8;Duga Resa;047/844-011;ured@os-igkovacic-dugaresa.skole.hr;NA
"Dječji vrtić ""Dugi Rat""";Općina Dugi Rat;Splitsko-dalmatinska županija ;Drage Ivaniševića 6;Dugi Rat;021/735 567;djecjivrticdugirat@gmail.com; PO KRILO JESENICE, Put sv. Nikole bb, 21314 KRILO JESENICE ,  PO SUMPETAR, Put Sv.Roka 6,  
"Dječji vrtić ""Dugo Selo""";Grad Dugo Selo;Zagrebačka županija ;Perivoj Ivane Brlić Mažuranić 2;Dugo Selo;01 2753 418;tajnistvo@dvds.hr; PO Lukarišće, Bjelovarska 82 , 10370 Dugo Selo
"Dječji vrtić ""Buba Biba""";BISERKA PAKLEC;Zagrebačka županija ;Kalnička 2;Dugo Selo;01/2756-258;"djecji.vrtic.buba.biba1@zg.t-com.hr ; dvbb.djecjivrtic-bubabiba.hr";NA
"Dječji vrtić ""Sunce""";Općina Dvor;Sisačko-moslavačka županija ;Ulica Kralja Tomislava 23a;Dvor;044/871-394;suncedjecjivrtic@gmail.com;NA
"Dječji vrtić ""Zvrk""";Anica Muller , Anica Müller;Osječko-baranjska županija ;Katarine Zrinski 11;Đakovo;031/822-358;vrticzvrk@gmail.com; PO Vrpolje, Hrvatskih branitelja, 35210 Vrpolje
"Dječji vrtić ""Sunčev sjaj - Nazaret""";Milosrdne Sestre Sv. Križa - Samostan Đakovo;Osječko-baranjska županija ;Frankopanska 1a;Đakovo;031/801-255;montessori.nazaret@gmail.com;" DV ""Sunčev sjaj - Nazaret"", Vrhovec 45, 10000 Zagreb"
