naziv;opis;sifra;zupanija;adresa;mjesto;lokacija;ravnatelj;telefon;faks;e_mail;web
EKONOMSKA I BIROTEHNIČKA ŠKOLA BJELOVAR;Srednja škola;07-004-505;Bjelovarsko-bilogorska;Poljana dr. Franje Tuđmana 9;43000  Bjelovar; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Vladimir  Štefanec;043/244-029 , 043/277-026 , 043/277-027 , 043/277-028 , 043/277-029 , 043/277-030;043 277-028;ebb-tajnistvo@bj.t-com.hr;https://ekonomska-birotehnicka-skola.bj.hr/
TEHNIČKA ŠKOLA BJELOVAR;Srednja škola;07-004-506;Bjelovarsko-bilogorska;DOKTORA ANTE STARČEVIĆA 24;43000  Bjelovar; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Dario  Malogorski;043/244-003 , 043/244-721 , 043/242-139 , 043/244-004;043/244-721;tsbj@ss-tehnicka-bj.skole.hr;http://ss-tehnicka-bj.skole.hr/
OBRTNIČKA ŠKOLA BJELOVAR;Srednja škola;07-004-507;Bjelovarsko-bilogorska;Dr. Ante Starčevića 24;43000  Bjelovar; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Branko  Cvetković;043/244-722 , 043/244-722 , 043/244-723;043/244-722;os@ss-obrtnicka-bj.skole.hr;obs-bj.hr
TURISTIČKO-UGOSTITELJSKA I PREHRAMBENA ŠKOLA BJELOVAR;Srednja škola;07-004-508;Bjelovarsko-bilogorska;Poljana dr. Franje Tuđmana 10;43000  Bjelovar; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Dalibor  Vukalović;043/244-725 , 043/221-160;043/244-725;ured@ss-ugostiteljskaiprehrambena-bj.skole.hr;www.tups-bj.hr
GLAZBENA ŠKOLA VATROSLAVA LISINSKOG BJELOVAR;Osnovna škola, Srednja škola, Umjetnička škola;07-004-511;Bjelovarsko-bilogorska;Vatroslava Lisinskog 1;43000  Bjelovar; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Nevenka  Presečan Arvay;nena.presecan@gmail.com , 043/244-416 , 043/243-416;043/241-407;glazbena@lisinski-bj.hr , nevenka.presecan-arvay@skole.hr;www.lisinski-bj.hr
Srednja škola Blato;Srednja škola;19-511-501;Dubrovačko-neretvanska;1. ULICA 25/1;20271  Blato; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Ivo  Gavranić;020/851-313 , 020/851-313, 020/852-526 , 020/851-313, 099-2673074;020/851-313;ssblato@ssblato.tcloud.hr;NA
SREDNJA ŠKOLA BOL;Srednja škola;17-444-501;Splitsko-dalmatinska;Bračka cesta 3;21420  Bol; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Sani  Bodlović;021/635-141, 635-786,;021/635-141;ured@ss-bol.skole.hr , sani.bodlovic@skole.hr;http://ss-bol.skole.hr/
CENTAR ZA ODGOJ I OBRAZOVANJE LUG;Srednja škola;01-073-505;Zagrebačka;LUG SAMOBORSKI, KNEZA ZDESLAVA 2;10432  Bregana; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Nataša  Grković Šola;01/3375248 , ;01 3375 309;centar.za.odgoj@zg.t-com.hr;NA
"SREDNJA ŠKOLA ""VLADIMIR GORTAN"" - SCUOLA MEDIA SUPERIORE ""VLADIMIR GORTAN""";Srednja škola;18-006-501;Istarska;Školski brijeg 1;52460  Buje; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Dolores  Mihelić Malbašić;052/772-113;NA; ured@ss-vgortan-buje.skole.hr;NA
"Talijanska srednja škola - Scuola media superiore italiana ""Leonardo da Vinci"" Buje - Buie";Srednja škola;18-006-502;Istarska;ŠKOLSKI BRIJEG 1;52460  Buje; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Irena  Penko;052/772-233 , 052/772-233 , 052/722-180;NA;irena.penko@skole.hr , sssms@pu.t-com.hr;NA
GOSPODARSKA ŠKOLA ISTITUTO PROFESSIONALE;Srednja škola;18-006-503;Istarska;ŠKOLSKI BRIJEG 1;52460  Buje; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Milivoj  Gospić;052/492-771 , 052/492-774 , 052/492-775 , 052/492-776 , 052/772-077 , 052/492-772 , 052/492-770;052/720-354;milivoj.gospic@skole.hr , skola@ss-gospodarska-buje.skole.hr;NA
SREDNJA ŠKOLA BUZET;Srednja škola;18-007-501;Istarska;Antuna Cerovca-Tončića 7;52420  Buzet; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Margareta  Gumilar;052/662-764 , 052/662-764 , 052/662-707;052/662-056;ured@ss-buzet.skole.hr;http://www.ss-buzet.skole.hr
Srednja škola dr. Antuna Barca Crikvenica;Srednja škola;08-008-501;Primorsko-goranska;ZIDARSKA 4;51260  Crikvenica; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Arsen  Badurina;051/784-212 , 051/445-128 , 051/445-129 , 051/241-202 , 051/784-211;051/781-044;ured@ss-abarca-crikvenica.skole.hr;www.ss-abarca-crikvenica.skole.hr
Srednja škola Vladimir Nazor;Srednja škola;08-009-501;Primorsko-goranska;Narodnog oslobođenja 5;51306  Čabar; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Kristijan  Rajšel;051/821-017 , 051/821-671;051/821-034;ured@ss-vnazor-cabar.skole.hr;www.ss-vnazor-cabar.skole.hr
Umjetnička škola Miroslav Magdalenić Čakovec;Osnovna škola, Srednja škola, Umjetnička škola;20-010-008;Međimurska;VLADIMIRA NAZORA 14;40000  Čakovec; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Senka  Bašek-Šamec;040/390-801 , 040/390-801 , 040/390-802;NA;ured@os-umjetnicka-ck.skole.hr , tajnistvo@os-umjetnicka-ck.skole.hr;NA
Gimnazija Josipa Slavenskog Čakovec;Srednja škola;20-010-501;Međimurska;Vladimira Nazora 34;40000  Čakovec; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Sandra  Breka-Ovčar;040/314-905 , 040/314-904 , 040/314-909 , 040/314-900 , 040/314-901 , 040/314-902 , 040/314-903;040/314-911;gjs@gimnazija-cakovec.hr , gjs@gimnazija-cakovec.hr;www.gimnazija-cakovec.hr
GRADITELJSKA ŠKOLA ČAKOVEC;Srednja škola;20-010-502;Međimurska;ŠPORTSKA 1;40000  Čakovec; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Damir  Srnec;040 329-016 , 040/329-024 , 040/329-002 , 040/329-000 , 040/329-001;040/329-013;gsc@ss-graditeljska-ck.skole.hr , gsc@gsc.hr;www.gsc.hr
TEHNIČKA ŠKOLA ČAKOVEC;Srednja škola;20-010-503;Međimurska;Športska 5;40000  Čakovec; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Dražen  Blažeka;040-328-522 , 040-328-881 , 040-328-528 , 040-321-056 , 040-328-539 , 040-328-521 , 040-328-524 , 040-328-536;NA;tsck@tsck.hr , ravnatelj@tsck.hr;www.tsck.hr
EKONOMSKA I TRGOVAČKA ŠKOLA;Srednja škola;20-010-504;Međimurska;VLADIMIRA NAZORA 36;40000  Čakovec; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Bosiljka  Vinković Kukolić;040/312-520 , 040/312-520 , 040/311-115;040/310-982;ets@ets.hr , ets@ets.hr;www.ets.hr
GOSPODARSKA ŠKOLA;Srednja škola;20-010-505;Međimurska;VLADIMIRA NAZORA 38;40000  Čakovec; Potraži na karti školu...        ili   Potraži na karti adresu...  ;NA;040 396 591 , 040 328 067 , 040/395-302 , 040/395-302 , 040/395-276;040/395-302;gospodarska@gospodarskaskola.hr;www.gospodarskaskola.hr
Srednja škola Čakovec;Osnovna škola, Srednja škola;20-010-507;Međimurska;Jakova Gotovca 2;40000  Čakovec; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Gordana  Ramušćak;040/314108 , 099 333 44 70;NA;ravnatelj@ss-cakovec.skole.hr , ured@ss-cakovec.skole.hr;http://www.ss-cakovec.skole.hr/
SREDNJA ŠKOLA ČAZMA;Srednja škola;07-011-501;Bjelovarsko-bilogorska;LIVADARSKA 30;43240  Čazma; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Irena  Pavlović;043-227-014 , 043220996 , 043247726 , 043/771-014 , 043/771-939 , 043/227-013;043/771-014;ured@ss-cazma.skole.hr;www.ss-cazma.skole.hr
SREDNJA ŠKOLA DALJ;Srednja škola;14-411-501;Osječko-baranjska;BRAĆE RADIĆA 7;31226  Dalj; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Rajko  Lukić;031 / 590 290 , 031 / 590 290;031 / 590 290; ured@ss-dalj.skole.hr  ;http://ss-dalj.skole.hr/
GLAZBENA ŠKOLA BRUNE BJELINSKOG DARUVAR;Osnovna škola, Srednja škola, Umjetnička škola;07-012-504;Bjelovarsko-bilogorska;Trg Presvetog Trojstva 8;43500  Daruvar; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Vanda  Cegledi;099/2158-111 , 043/335-625 , 043/440-518;043/440-518;ured@gs-bbjelinskog-daruvar.skole.hr;NA
TEHNIČKA ŠKOLA DARUVAR;Srednja škola;07-012-501;Bjelovarsko-bilogorska;Ivana Gundulića 14;43500  Daruvar; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Sanja  Klubička;043/335-807 , 043 331 030 , 043/331-082 , 043/331-082 , 043/331-094;NA;ravnatelj@tsd.hr  , knjiznica@tsd.hr;http://www.tsd.hr/
GIMNAZIJA DARUVAR;Srednja škola;07-012-502;Bjelovarsko-bilogorska;IVANA GUNDULIĆA 14;43500  Daruvar; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Romana  Herout;043/331-982 , 043/335-318;NA;ured@gimnazija-daruvar.skole.hr , romana.bakaric@skole.hr;NA
EKONOMSKA I TURISTIČKA ŠKOLA DARUVAR;Srednja škola;07-012-503;Bjelovarsko-bilogorska;IVANA GUNDULIĆA 14;43500  Daruvar; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Dinka  Kavalir;043/331-079 , 043/331-079 , 043/331-178 , 043/331-079;043/331-178;etsda@etsda.hr;http://ss-ekonomskaituristicka-da.skole.hr
SREDNJA ŠKOLA DELNICE;Srednja škola;08-013-501;Primorsko-goranska;LUJZINSKA CESTA 42;51300  Delnice; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Slađana  Srkoč;051/812203 , 051/812047 , 051/811009;051/812203;ured@ss-delnice.skole.hr;ss-delnice.skole.hr
Srednja škola Donji Miholjac;Srednja škola;14-016-501;Osječko-baranjska;Vukovarska 84;31540  Donji Miholjac; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Nenad  Perić;031/631-049 , 031/630-970 , 031/631-983 , 031/633-156;031/631-049;ured@ss-donji-miholjac.skole.hr;http://ss-donji-miholjac.skole.hr/
SREDNJA ŠKOLA IVANA MEŠTROVIĆA DRNIŠ;Srednja škola;15-017-501;Šibensko-kninska;POLJANA 1;22320  Drniš; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Hrvoje  Pekas;022/886-114 , 022/886-933;022/886-933;tajnistvo@ss-imestrovica-drnis.skole.hr;https://www.ss-ivana-mestrovica-drnis.hr/
Obrtnička i tehnička škola Dubrovnik;Srednja škola;19-018-502;Dubrovačko-neretvanska;IVA VOJNOVIĆA 12;20000  Dubrovnik; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Dinko  Mandić;020/332-968 , 020/331-646 , 020/331-626, 333-073;020/332-968;tajnistvo@ots-du.hr , obrtnicka-skola-dubrovnik@du.t-com.hr , ravnatelj@ots-du.hr;NA
BISKUPIJSKA KLASIČNA GIMNAZIJA RUĐERA BOŠKOVIĆA s pravom javnosti;Srednja škola;19-018-503;Dubrovačko-neretvanska;POLJANA RUĐERA BOŠKOVIĆA 6;20000  Dubrovnik; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Josip  Lebo;020/642 227 , 020/642 227;NA;rudjer.boskovic@inet.hr;NA
EKONOMSKA I TRGOVAČKA ŠKOLA;Srednja škola;19-018-504;Dubrovačko-neretvanska;Iva Vojnovića 12A;20000  Dubrovnik; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Suzana  Đurđević;020/331-620 , 020/331-624 , 020/331-622;020/331-620;ured@ss-ekonomskaitrgovacka-du.skole.hr;www.ekonomska-dubrovnik.com
GIMNAZIJA DUBROVNIK;Srednja škola;19-018-505;Dubrovačko-neretvanska;FRANA SUPILA 3;20000  Dubrovnik; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Katarina  Tolja;020/311-484 020/639-921 , 020/432-379 020/639-924 , 020/432-596 020/639-922 , 020/639-925 , 020/432-569 , 020/422-033 020/639-923;020/ 432-569  020/639920;tajnistvo@gimnazija-dubrovnik.hr;http://www.gimnazija-dubrovnik.hr/
MEDICINSKA ŠKOLA DUBROVNIK;Srednja škola;19-018-506;Dubrovačko-neretvanska;BALTAZARA BOGIŠIĆA 1O;20000  Dubrovnik; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Marijana  Kulić;020 311 474 , 020/420-504 , 020/421-806 , 020/412-460;020/421-806;tajnistvo@dumed.hr , ravnateljica@dumed.hr , knjiznica@dumed.hr , racunovodstvo@dumed.hr , pedagog@dumed.hr , tajnistvo@dumed.hr;http://ss-medicinska-du.skole.hr/
POMORSKO-TEHNIČKA ŠKOLA DUBROVNIK;Srednja škola;19-018-507;Dubrovačko-neretvanska;MILJENKA BRATOŠA 4;20000  Dubrovnik; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Antonio  Lučić;020/435-987 , 020/435-987 , 020/435-989, 020/435-979;020/435-987;tajnistvo.pomorskaskola@gmail.com , tajnistvo.pomorskaskola@gmail.com;NA
TURISTIČKA I UGOSTITELJSKA ŠKOLA DUBROVNIK;Srednja škola;19-018-508;Dubrovačko-neretvanska;ŽUPSKA 2;20000  Dubrovnik; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Antun  Perušina;020/640-411 , 020/640-400, 640-410 kuh. 640-422;NA;ravnatelj@tusdu.hr , tajnistvo@tusdu.hr;NA
UMJETNIČKA ŠKOLA LUKE SORKOČEVIĆA DUBROVNIK;Osnovna škola, Srednja škola, Umjetnička škola;19-018-514;Dubrovačko-neretvanska;STROSSMAYEROVA 3;20000  Dubrovnik; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Slobodan  Begić;020/324-636 , 020/324-636 , 020/324-642 , 020/324 604;NA;umjetnicka.skola.luke.sorkocevica@du.t-com.hr;NA
Dubrovačka privatna gimnazija;Srednja škola;19-018-515;Dubrovačko-neretvanska;Sustjepanska 4;20000  Dubrovnik; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Tomislav  Franušić;091/108 2799 , 020/332-844;NA;tfranusic@hotmail.com , tomislav.franusic@pg-dubrovnik.net , info@pg-dubrovnik.net;NA
SREDNJA ŠKOLA DUGA RESA;Srednja škola;04-019-501;Karlovačka;Jozefinska cesta 27;47250  Duga Resa; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Tanja  Škrak;047/841-630 , 047/841-630 , 047/801-666;047/841-631;tajnistvo@ssdr.hr;NA
Srednja škola Dugo Selo;Srednja škola;01-020-501;Zagrebačka;FERENČAKOVA 25;10370  Dugo Selo; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Darinka  Svetec;01/275-60-01 , 01/275-60-00;01 2756001;ured@ss-dugo-selo.skole.hr;http://ss-dugo-selo.skole.hr/
Glazbena škola Dugo Selo;Osnovna škola, Srednja škola, Umjetnička škola;01-020-003;Zagrebačka;Zagrebačka 24;10370  Dugo Selo; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Dario  Cebić;NA;NA;glazbena.skola.ds@gmail.com;NA
EKONOMSKA ŠKOLA BRAĆA RADIĆ;Srednja škola;14-022-501;Osječko-baranjska;VIJENAC KARDINALA ALOJZIJA STEPINCA 11;31400  Đakovo; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Željko  Bionda;"031 496 744 , 031/811-358;  496-740 , 031/811-345 , 031/496-742 , 031/496-741 , 031/496-743";031-822-292;ured@ss-ekonomska-bracaradic-dj.skole.hr;http://ss-ekonomska-bracaradic-dj.skole.hr/ 
GIMNAZIJA A.G.MATOŠA;Srednja škola;14-022-502;Osječko-baranjska;Vijenac k. A. Stepinca 11;31400  Đakovo; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Zlatko  Mrkić;031/814-060 , 031/814-060 , 031/813-581;031/814-060;ured@gimnazija-agmatosa-dj.skole.hr;NA
SREDNJA STRUKOVNA ŠKOLA ANTUNA HORVATA;Srednja škola;14-022-503;Osječko-baranjska;VIJENAC KARDINALA ALOJZIJA STEPINCA 11;31400  Đakovo; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Mirko  Ćurić;031/812-317 , 031/812-317 , 031/796-730,496-731, 496-732,496-733;031/496-739;ured-503@ss-strukovna-ahorvata-dj.skole.hr;NA
SREDNJA ŠKOLA JOSIPA KOZARCA ĐURĐENOVAC;Srednja škola;14-326-501;Osječko-baranjska;Trg dr. Franje Tuđmana 4;31511  Đurđenovac; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Dražen  Turza;031/601-554 , 031/602-607;031/601-554;ured@ss-jkozarca-djurdjenovac.skole.hr;www.ss-jkozarca-djurdjenovac.skole.hr
STRUKOVNA ŠKOLA ĐURĐEVAC;Srednja škola;06-023-502;Koprivničko-križevačka;DR. IVANA KRANJČEVA 5;48350  Đurđevac; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Darko  Špoljar;048/811-419 , 048/812-223;048/812-367;josip.patacko@skole.hr , darko.spoljar1@skole.hr , ured@ss-strukovna-djurdjevac.skole.hr ;NA
GIMNAZIJA DR. IVANA KRANJČEVA ĐURĐEVAC;Srednja škola;06-023-503;Koprivničko-križevačka;Dr. Ivana Kranjčeva 5;48350  Đurđevac; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Tomislav  Ostojić;048-811-036 , 048/812-021 , 048/812-021 , 048/812-021;NA;gimnik@gimnazija-ikranjceva-djurdjevac.skole.hr;www.gimnazija-ikranjceva-djurdjevac.skole.hr
"SREDNJA ŠKOLA ""AUGUST ŠENOA"" GAREŠNICA";Srednja škola;07-024-501;Bjelovarsko-bilogorska;KOLODVORSKA 6;43280  Garešnica; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Robert  Kelečić;043/ 445-481 , 043/445-480 , 043/445-483 , 043/445-484 , 043/ 445-482;043/531-157;ssasenoa@ss-asenoa.hr;NA
Srednja škola Glina;Srednja škola;03-025-501;Sisačko-moslavačka;FRANKOPANSKA 30;44400  Glina; Potraži na karti školu...        ili   Potraži na karti adresu...  ;NA;099/489-6623 , 099/583-7685 , 099/489-6627 , 044/880-876;044/882-555;ured@ss-glina.skole.hr ;http://www.ss-glina.skole.hr/
STRUKOVNA ŠKOLA GOSPIĆ;Srednja škola;09-026-503;Ličko-senjska;BUDAČKA 24;53000  Gospić; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Barbara  Tomljenović Jurković;053/572-083 , 053/573-287 , 053/572-677, 573-236;053/572-083;ured@ss-strukovna-gospic.skole.hr;NA
GIMNAZIJA GOSPIĆ;Srednja škola;09-026-504;Ličko-senjska;BUDAČKA 24;53000  Gospić; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Josip  Štampar;(053) 560-232;053-573-288;ured@gimnazija-gospic.skole.hr;www.gimnazija-gospic.skole.hr
SREDNJA ŠKOLA GRAČAC;Srednja škola;13-027-527;Zadarska;ŠKOLSKA ULICA 8;23440  Gračac; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Ivana  Jelinčić Lasić;023/773-870 , 023/775 035;023/773-870;ss-gracac@ss-gracac.skole.hr;http://www.ss-gracac.skole.hr/
SREDNJA ŠKOLA BARTOLA KAŠIĆA GRUBIŠNO POLJE;Srednja škola;07-028-501;Bjelovarsko-bilogorska;Bartola Kašića 1;43290  Grubišno Polje; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Ivana  Orešković;043/485-040 , 043/485-040 , 043/448-038;043/485-126;ured@ss-bkasica-grubisnopolje.skole.hr , ured@ss-bkasica-grubisnopolje.skole.hr  , ss-b.kasica1@bj.t-com.hr ;ss-bkasica-grubisnopolje.skole.hr
Srednja škola Ivana Trnskoga;Srednja škola;03-039-501;Sisačko-moslavačka;HRVATSKIH BRANITELJA 14;44430  Hrvatska Kostajnica; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Mirela  Majstorović;044/554-421 , 044/554-427;044/554-428;ured@ss-itrnskog-hrvatskakostajnica.skole.hr;	www.ss-itrnskog-hrvatskakostajnica.skole.hr
SREDNJA ŠKOLA HVAR;Srednja škola;17-029-501;Splitsko-dalmatinska;KROZ BURAK 81;21450  Hvar; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Saša  Paduan;021/717-138 , 021/761-157;021/741-115 ili 761-157;ured@ss-hvar.skole.hr , srednja-skola-hvar@st.htnet.hr;NA
SREDNJA ŠKOLA ILOK;Srednja škola;16-426-501;Vukovarsko-srijemska;MATIJE GUPCA 168;32236  Ilok; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Željko  Prskalo;032/593-207 , 032/590-221 , 032/593-117 , 032/592-820;NA;ss-ilok@ss-ilok.skole.hr;http://ssilok.hr
GLAZBENA ŠKOLA DR. FRA IVAN GLIBOTIĆ-IMOTSKI;Osnovna škola, Srednja škola, Umjetnička škola;17-030-506;Splitsko-dalmatinska;Bruna Bušića 5;21260  Imotski; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Darko  Rimac;021/670-052 , 021/841-811;021/670-052;glazbenaskolaimotski@gmail.com , ured@gs-drfraiglibotic-imotski.skole.hr;NA
OBRTNIČKO-INDUSTRIJSKA ŠKOLA U IMOTSKOM;Srednja škola;17-030-502;Splitsko-dalmatinska;BRUNE BUŠIĆA 59;21260  Imotski; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Nediljko  Biočić;021/842-333 , 021/841-146;021/670055;ured@ss-obrtnicko-industrijska-imotski.skole.hr;NA
EKONOMSKA ŠKOLA;Srednja škola;17-030-503;Splitsko-dalmatinska;BRUNA BUŠIĆA 59;21260  Imotski; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Željko  Đuzel;021/842-229 , 021/842-222;021/842-222;djelatnici@ss-ekonomska-imotski.skole.hr , ured@ss-ekonomska-imotski.skole.hr , ured@ss-ekonomska-imotski.skole.hr  ;NA
TEHNIČKA ŠKOLA U IMOTSKOM;Srednja škola;17-030-504;Splitsko-dalmatinska;BRUNE BUŠIĆA 59;21260  Imotski; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Ivan  Majić;021/841-550 , 021/841-550;021/841-151;ured@ss-tehnicka-imotski.skole.hr;www.ss-tehnicka-imotski.skole.hr
GIMNAZIJA DR. MATE UJEVIĆA;Srednja škola;17-030-505;Splitsko-dalmatinska;BRUNA BUŠIĆA 59;21260  Imotski; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Boris  Karin;021/843-098 , 021/670-337;021/843-098;gimnazija@gimnazija-mujevica-im.skole.hr;NA
Srednja škola Ivanec;Srednja škola;05-031-501;Varaždinska;EUGENA KUMIČIĆA 7;42240  Ivanec; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Lidija  Kozina;042/782-344 , 042/782 344 (13);042/781-512;ured@ss-ivanec.skole.hr , info@ss-ivanec.hr;http://ss-ivanec.hr
Centar za odgoj i obrazovanje pri Odgojnom domu Ivanec;Srednja škola;05-031-503;Varaždinska;PAHINSKO 6;42240  Ivanec; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Elvis  Gotal;042 771 914;NA;odgojni.dom.ivanec@vz.t-com.hr; http://centar-odgojiobrazovanje-ivanec.skole.hr
Srednja škola Ivan Švear Ivanić Grad;Srednja škola;01-032-501;Zagrebačka;Školska 12;10310  Ivanić-Grad; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Josipa  Ilić;01/288-89-92 , 01/288-89-92;01/288-89-93;isvear@ssivanic.hr;www.ssivanic.hr
