"Šifra";"Naziv";"Župnija";"Poštanski Broj";"Mjesto";"Adresa";"Tip Ustanove";"Osnivač";"Ravnatelj";"Telefon";"Faks";"e Pošta";"Web"
"17-454-001";"OSNOVNA ŠKOLA SILVIJA STRAHIMIRA KRANJČEVIĆA LOVREĆ";"Splitsko-dalmatinska županija";"21257";"Lovreć";"DR. MATE ŠIMUNDIĆA 10";"Osnovna škola";"Splitsko-dalmatinska županija";"Ante  Livajić";"021/723-089, 021/723-303; 0981893087";"021/723-089";"marica.luetic@skole.hr, lovrec@os-sskranjcevica-lovrec.skole.hr";""
"17-454-002";"Osnovna škola STUDENCI";"Splitsko-dalmatinska županija";"21265";"Studenci";"Put škole 15.";"Osnovna škola";"Splitsko-dalmatinska županija";"Ante  Češljar";"021/670-178, 021/725-488";"021/670-178";"studenci@os-studenci.skole.hr";"http://os-studenci.skole.hr"
"17-455-001";"OSNOVNA ŠKOLA IVAN LEKO";"Splitsko-dalmatinska županija";"21264";"Donji Proložac";"Trg Franje Tuđmana 6";"Osnovna škola";"Splitsko-dalmatinska županija";"Krešimir  Bajić";"021/846-081, 021/670-180";"021/846-081";"prolozac@os-ileko-prolozac.skole.hr";"http://os-ileko-prolozac.skole.hr/"
"17-456-002";"OSNOVNA ŠKOLA RUNOVIĆ";"Splitsko-dalmatinska županija";"21261";"Runović";"Runović 211";"Osnovna škola";"Splitsko-dalmatinska županija";"Marija  Biočić";"021/849-088, 021/670-597/ mob.0989155939";"021/849-088";"os-runovic@st.t-com.hr, skola@os-runovic.skole.hr";""
"17-457-001";"Osnovna škola JELSA";"Splitsko-dalmatinska županija";"21465";"Jelsa";"Jelsa 161";"Osnovna škola";"Splitsko-dalmatinska županija";"Ana  Miljak";"021/761-030, 021/761-030";"021/717-172";"osjelsa@osjelsa.tcloud.hr, ured@os-jelsa.skole.hr";""
"17-458-001";"Osnovna škola ANTE ANĐELINOVIĆ";"Splitsko-dalmatinska županija";"21469";"Sućuraj";"Trg Park 5";"Osnovna škola";"Splitsko-dalmatinska županija";"Tina  Mihaljević";"021 773 322";"021 773 322";"ured@os-aandjelinovic-sucuraj.skole.hr";", "
"17-459-003";"Osnovna škola Primorski Dolac";"Splitsko-dalmatinska županija";"21227";"Primorski Dolac";"Vržine 185";"Osnovna škola";"Splitsko-dalmatinska županija";"Mila  Mišković";"021/899-129";"021/899-129";"ured@os-primorski-dolac.skole.hr";"os-primorski-dolac.skole.hr"
"17-460-001";"Osnovna škola don Mihovila Pavlinovića";"Splitsko-dalmatinska županija";"21327";"Podgora";"PRILAZ VIDA MIHOTIĆA 1";"Osnovna škola";"Splitsko-dalmatinska županija";"Jakov  Batinović";"021/603-941, 021/625-393, 021/603-940";"";"os-podgora@os-mpavlinovica-podgora.skole.hr";"http://os-mpavlinovica-podgora.skole.hr/"
"17-461-001";"Osnovna škola GRADAC";"Splitsko-dalmatinska županija";"21330";"Gradac";"Ulica kralja Tomislava 2";"Osnovna škola";"Splitsko-dalmatinska županija";"Antonio  Porobija";"021/697-553, 021/697-700, 021/678-295";"021/697-700";"ured@os-gradac.skole.hr";""
"17-462-001";"Osnovna škola dr. Franje Tuđmana Brela";"Splitsko-dalmatinska županija";"21322";"Brela";"Svetog Jurja 1";"Osnovna škola";"Splitsko-dalmatinska županija";"Ivana  Ravlić";"021/678-291, 021/618-482, 021/618-808";"021/618-482";"ured@os-drftudjmana-brela.skole.hr";"www.os-drftudjmana-brela.skole.hr"
"17-463-001";"OSNOVNA ŠKOLA BARIŠE GRANIĆA MEŠTRA";"Splitsko-dalmatinska županija";"21320";"Baška Voda";"PODSPILINE 2";"Osnovna škola";"Splitsko-dalmatinska županija";"Ružica  Radalj";"021/620-744, 021/620-169";"021/620-744";"ured@os-bgmestra-baskavoda.skole.hr";""
"17-464-001";"OSNOVNA ŠKOLA IVAN DUKNOVIĆ";"Splitsko-dalmatinska županija";"21222";"Marina";"DON FRANE MACANOVIĆA 1";"Osnovna škola";"Splitsko-dalmatinska županija";"Mirko  Matijaš";"021/798-120, 021/798-120, 021/796-212";"021/798-125";"ured@os-iduknovic-marina.skole.hr";""
"17-465-001";"Osnovna škola KAMEŠNICA";"Splitsko-dalmatinska županija";"21238";"Otok";"Hrvatskih branitelja 26";"Osnovna škola";"Splitsko-dalmatinska županija";"Miroslav  Jukić";"021/834-417, 021/834-417, 021/835-084";"021/835-084";"miroslav.jukic@skole.hr, ured@os-kamesnica-otok.skole.hr";"www.skola-kamesnica.hr"
"17-465-002";"OSNOVNA ŠKOLA IVANA MAŽURANIĆA";"Splitsko-dalmatinska županija";"21241";"Obrovac Sinjski";"Obrovac Sinjski 242/C";"Osnovna škola";"Splitsko-dalmatinska županija";"Tomislav  Budimir";"021/839-700, 098810580";"021/839-016";"os-han@os-imazuranica-obrovacsinjski.skole.hr";"www.osim.hr"
"17-466-001";"Osnovna škola Ante Starčevića";"Splitsko-dalmatinska županija";"21232";"Dicmo";"Kraj ";"Osnovna škola";"Splitsko-dalmatinska županija";"Dajana  Maretić";"021/837-300, 021/837-300";"";"os-dicmo@os-astarcevica.skole.hr";""
"17-467-001";"Osnovna škola Petra Kružića Klis";"Splitsko-dalmatinska županija";"21231";"Klis";"Put svetog Ante 30";"Osnovna škola";"Splitsko-dalmatinska županija";"Neven  Tešija";"021/240-006, 021/240-740";"021/240-740";"neven.tesija@skole.hr, os-petra-kruzica@st.t-com.hr, ured@os-pkruzica-klis.skole.hr";"os-pkruzica-klis.skole.hr"
"17-467-002";"Osnovna škola DUGOPOLJE";"Splitsko-dalmatinska županija";"21204";"Dugopolje";"Stepinčeva 4";"Osnovna škola";"Splitsko-dalmatinska županija";"Željko  Šparmajer";"655 102, 021/655-102";"021/655-102";"dugopolje@os-dugopolje.skole.hr";""
"17-468-001";"Osnovna škola Supetar";"Splitsko-dalmatinska županija";"21400";"Supetar";"PORAT 25";"Osnovna škola";"Splitsko-dalmatinska županija";"Dubravka  Menjak";"021/757-137, 021/631-135, 021/631-135, 021/757-591, 021/630650";"075801838";"pedagog@os-supetar.skole.hr, psiholog@os-supetar.skole.hr, defektolog@os-supetar.skole.hr, knjiznica@os-supetar.skole.hr, ured@os-supetar.skole.hr, os-supetar@os-supetar.skole.hr";"http://os-supetar.skole.hr/"
"17-469-001";"Osnovna škola MILNA";"Splitsko-dalmatinska županija";"21405";"Milna";"Žalo 15";"Osnovna škola";"Splitsko-dalmatinska županija";;"021/717-463";"021/636-203";"tajnistvo@os-milna.skole.hr";"1, "
"17-470-001";"Osnovna škola PETRA HEKTOROVIĆA Stari Grad";"Splitsko-dalmatinska županija";"21460";"Stari Grad";"OBALA DR FRANJE TUĐMANA 1.";"Osnovna škola";"Splitsko-dalmatinska županija";"Jasminka  Pakušić";"021/765-069, 021/765-069";"";"skola@os-phektorovica-starigrad.skole.hr";""
"17-471-001";"OSNOVNA ŠKOLA DR. FRA KARLO BALIĆ";"Splitsko-dalmatinska županija";"21250";"Šestanovac";"Dr. FRANJE TUĐMANA 40";"Osnovna škola";"Splitsko-dalmatinska županija";"Nada  Utrobičić";"021/721-174, 021/757-272";"021/757-271";"tajnistvo@os-sestanovac.hr, ured@os-kbalic-sestanovac.skole.hr, ravnatelj@os-sestanovac.hr";""
"17-473-001";"Osnovna škola Trilj";"Splitsko-dalmatinska županija";"21240";"Trilj";"POLJIČKE REPUBLIKE 18";"Osnovna škola";"Splitsko-dalmatinska županija";"Davor  Hrgović";"021/660 717, 021/ 660 085, 021/660 718, 021/832 612, 021/831 014, 021/660 084";"021/831 917";"ravnatelj@os-trilj.skole.hr";"http://www.os-trilj.skole.hr"
"17-474-001";"OSNOVNA ŠKOLA MILANA BEGOVIĆA";"Splitsko-dalmatinska županija";"21236";"Vrlika";"Trg dr. Franje Tuđmana 6";"Osnovna škola";"Splitsko-dalmatinska županija";"Mirjana  Vodanović Mandarić";"021/827-259";"";"ured@os-mbegovica-vrlika.skole.hr";"http://www.os-mbegovica-vrlika.skole.hr/"
"17-475-001";"Osnovna škola Komiža";"Splitsko-dalmatinska županija";"21485";"Komiža";"ŠKOLSKA 11";"Osnovna škola";"Splitsko-dalmatinska županija";"Melita  Mardešić";"021/713-146, 021/717-180";"021/713-146";"ured@os-komiza.skole.hr";"www.os-komiza.skole.hr"
"17-477-001";"Osnovna škola Zagvozd";"Splitsko-dalmatinska županija";"21270";"Zagvozd";"Trg zabiokovskih junaka Domovinskog rata 4";"Osnovna škola";"Splitsko-dalmatinska županija";"Tonći  Vuksan";"021/847-015, 021/847-015";"021/847-015";"ravnatelj@os-zagvozd.skole.hr";"http://os-zagvozd.skole.hr/"
"17-528-001";"OSNOVNA ŠKOLA ZMIJAVCI";"Splitsko-dalmatinska županija";"21266";"Zmijavci";"Dr. Franje Tuđmana 189";"Osnovna škola";"Splitsko-dalmatinska županija";"Josip  Jonjić";"021/840-163, 021/840-670";"021/840-670";"os-zmijavci@skole.hr, ured@os-zmijavci.skole.hr";"www.os-zmijavci.skole.hr"
"18-006-001";"Osnovna škola - Scuola elementare Mate Balote Buje - Buie";"Istarska županija";"52460";"Buje";"ŠKOLSKI BRIJEG 2";"Osnovna škola";"Istarska županija";"Dražen  Hinek";"052/772-138, 052/772-138, 052/772-138, 052/772-009";"052/772-138";"ured@os-mbalote-buje.skole.hr";"os-mbalote-buje.skole.hr"
"18-006-002";"Talijanska osnovna škola Scuola elementare italiana ""Edmondo De Amicis"" Buje Buie";"Istarska županija";"52460";"Buje";"ŠKOLSKI BRIJEG 3";"Osnovna škola";"Istarska županija";"Katia  Šterle";"052/772-061, 052/772-061, 052/772-061";"052/772-082";"ured@os-talijanska-buje.skole.hr";"http://os-talijanska-buje.skole.hr/"
"18-007-001";"Osnovna škola ""VAZMOSLAV GRŽALJA""";"Istarska županija";"52420";"Buzet";"II. ISTARSKE BRIGADE 18";"Osnovna škola";"Istarska županija";"Jadranka  Bartolić Muzica";"052/663-655, 052/ 662-643, 052/662-856, 0912662666";"052/662-643";"ured@os-vgrzalja-buzet.skole.hr";""
"18-044-001";"Osnovna škola Matije Vlačića";"Istarska županija";"52220";"Labin";"ZELENICE 4";"Osnovna škola";"Grad Labin";"Edi  Juričić";"052/855-488, 052/855-488, 052/854-328";"052/854-328";"ured@os-mvlacica-labin.skole.hr, os-matije.vlacica@pu.t-com.hr";"http://os-labin-001.skole.t-com.hr"
"18-044-002";"Osnovna škola Ivo Lola Ribar Labin";"Istarska županija";"52220";"Labin";"RUDARSKA 9";"Osnovna škola";"GRAD LABIN";"Miro  Alilović";"052/855-406, 052/855-406, 052/855-406, 052/853-354";"052/880-234";"ured@os-ilribar-labin.skole.hr";"www.os-ilribar-labin.skole.hr"
"18-044-003";"Centar Liče Faraguna";"Istarska županija";"52220";"Labin";"ŠĆIRI 3";"Osnovna škola";"GRAD LABIN";"Martina  Herceg";"052/856-468, 052/856-468, 052/854-604";"052/856-468";"ured@centar-licefaraguna-labin.skole.hr";""
"18-065-001";"OSNOVNA ŠKOLA VLADIMIRA NAZORA PAZIN";"Istarska županija";"52000";"Pazin";"ŠETALIŠTE PAZINSKE GIMNAZIJE 9";"Osnovna škola";"GRAD PAZIN";"Zdenka  Turkalj-Čohilj";"052/624-121, 624-429, 052/624-343, 052/624-134, 052/624-121";"052/624-327";"ured@os-vnazora-pazin.skole.hr, pazin@osvnpazin.hr";"www.os-vnazora-pazin.skole.hr"
"18-068-001";"OSNOVNA ŠKOLA POREČ";"Istarska županija";"52440";"Poreč - Parenzo";"KARLA HUGUESA 7";"Osnovna škola";"GRAD POREČ";"Marija  Mufić Santin";"052/432-355, 052/431-712, 052/452-767";"052/451-060";"ured@os-porec.skole.hr";""
"18-068-002";"Osnovna škola Tar - Vabriga - Scuola elementare Torre - Abrega";"Istarska županija";"52465";"Tar";"Istarska  21";"Osnovna škola";"Istarska županija";"Andrea  Baksa";"052/443-642, 052/443-161, 052/443-161, 052/443-636, 052/443-746, 052/463-145";"052/443-636";"ured@os-tar.skole.hr";"http://os-tar.skole.hr/"
"18-068-004";"Talijanska osnovna škola - Scuola elementare italiana Bernardo Parentin Poreč - Parenzo";"Istarska županija";"52440";"Poreč - Parenzo";"MATKA LAGINJE 6";"Osnovna škola";"GRAD POREČ";"Ester  Zarli";"052/434-287, 052/555392, 052/555-393, 052/434-286, 052/434-126, 052/555-397";"052/434-170";"ured@os-talijanska-bparentin-porec.skole.hr";"http://www.os-talijanska-bparentin-porec.skole.hr/"
"18-069-001";"OSNOVNA ŠKOLA ŠIJANA PULA";"Istarska županija";"52100";"Pula";"43. Istarske divizije 5";"Osnovna škola";"GRAD PULA";"Alma  Tomljanović";"052/ 382020, 052/500-301, 052/500-302, 052/214-305";"052/500-301";"os-sijana.pu@skole.hr";""
"18-069-002";"Osnovna škola Stoja";"Istarska županija";"52100";"Pula";"Brijunska 5";"Osnovna škola";"GRAD PULA";"Zoran  Bjelopetrović";"052/382-174, 052/382-175";"052/386-684, 052/386-685, 052/382-151";"ured@os-stoja-pu.skole.hr, ured@os-stoja-pu.skole.hr, ured@os-stoja-pu.skole.hr";""
"18-069-003";"Osnovna škola Centar";"Istarska županija";"52100";"Pula";"DANTEOV TRG 2";"Osnovna škola";"GRAD PULA";"Loreta  Ribarić";"052/222-248, 052/216-932";"052 394-864";"ured@os-centar-pu.skole.hr";""
"18-069-004";"Osnovna škola -  Scuola elementare Giuseppina Martinuzzi Pula-Pola";"Istarska županija";"52100";"Pula";"SANTORIOVA 1";"Osnovna škola";"GRAD PULA";"Susanna  Cerlon";"052/543-388, 052/543-388, 052/214980, 052/540-020";"052/540-928";"martinuzzi@os-giuseppina-martinuzzi-pu.skole.hr";""
"18-069-005";"OSNOVNA ŠKOLA TONE PERUŠKA PULA";"Istarska županija";"52100";"Pula";"POLJANA SV. MARTINA 6";"Osnovna škola";"GRAD PULA";"Kristijan  Cinkopan";"052/540-146, 052/540-532";"052/218-560";"ured@os-tperuska-pu.skole.hr";""
"18-069-006";"OSNOVNA ŠKOLA KAŠTANJER PULA";"Istarska županija";"52100";"Pula";"RIMSKE CENTURIJACIJE 29";"Osnovna škola";"GRAD PULA";"Nada  Crnković";"052/543-792, 543-958, 052/543-792 (2), 052/381-644, 052/381-644, 382-022";"052/635-043";"ured@os-kastanjer-pu.skole.hr";""
"18-069-007";"OSNOVNA ŠKOLA VIDIKOVAC";"Istarska županija";"52100";"Pula";"VLADIMIRA NAZORA 49";"Osnovna škola";"GRAD PULA";"Predrag  Dukić";"052-382-177, 052-555-566, 052/211-797, 052/211-797, 052/210-515, 052/380-399";"052/214-316";"ured@os-vidikovac-pu.skole.hr";"os-vidikovac-pu.skole.hr"
"18-069-008";"Osnovna škola Monte Zaro";"Istarska županija";"52100";"Pula";"USPON RUĐERA BOŠKOVIĆA 24";"Osnovna škola";"GRAD PULA";"Branka  Sironić";"052/217-042, 052/381-233, 052 211-490, 052/217-048";"052/217-042";"ured@os-mzaro-pu.skole.hr";"https://www./os-mzaro-pu.skole.hr"
"18-069-009";"OSNOVNA ŠKOLA VERUDA PULA";"Istarska županija";"52100";"Pula";"BANOVČEVA 27";"Osnovna škola";"GRAD PULA";"Anita  Mokorić Brščić";"052/544 410, 052/223-895, 052/218-574";"052/223-731";"ured@os-veruda-pu.skole.hr";""
"18-069-010";"Osnovna škola Veli Vrh Pula";"Istarska županija";"52100";"Pula";"Josipa Zahtile 1";"Osnovna škola";"GRAD PULA";"Ileana  Zahtila Blašković";"052/380848, 052/380848, 052/382375";"052/534541";"ured@os-veli-vrh-pu.skole.hr";"www.os-veli-vrh-pu.skole.hr"
"18-069-011";"Škola za odgoj i obrazovanje - Pula";"Istarska županija";"52100";"Pula";"ROVINJSKA 6";"Osnovna škola, Posebna ustanova odgoja i obrazovanja, Srednja škola";"Grad Pula";"Višnja  Popović";"052/ 212-339, 052/223-434";"052/212-339";"ured@ss-odgoj-obrazovanje-pu.skole.hr, skoo.pula@gmail.com";"http://ss-odgoj-obrazovanje-pu.skole.hr/"
"18-072-001";"Talijanska osnovna škola - Scuola elementare italiana ""Bernardo Benussi"" Rovinj - Rovigno";"Istarska županija";"52210";"Rovinj";"OMLADINSKA 20";"Osnovna škola";"GRAD ROVINJ";"Tiziana  Zovich Stanić";"052/813-131, 052/840-636, 052/816-040";"052/840-461";"sei.rovigno.001@gmail.com, ured@os-talijanska-bbenussi-rovinj.skole.hr";""
"18-072-002";"Osnovna škola Vladimira Nazora - Scuola elementare ""Vladimir Nazor""";"Istarska županija";"52210";"Rovinj";"EDMONDA DE AMICISA 31";"Osnovna škola, Umjetnička škola";"GRAD ROVINJ";"Bojan  Burić";"099 600 2735, 052/811-271, 841-460, 052/811-271, 052/816-612, 052/814-176, 841-460";"052/811-271,  814-176";"ured@os-vnazora-rovinj.skole.hr";""
"18-072-003";"Osnovna škola Jurja Dobrile Rovinj";"Istarska županija";"52210";"Rovinj";"STANKA PAULETIĆA 8";"Osnovna škola, Posebna ustanova odgoja i obrazovanja";"GRAD ROVINJ";"Marin  Mihovilović";"052/840-621, 052/811-153, 052/811-153, 052/813-563, 052/830-174";"";"ured@os-jdobrile-rovinj.skole.hr";""
"18-479-001";"Osnovna škola Jure Filipovića Barban";"Istarska županija";"52207";"Barban";"BARBAN 150";"Osnovna škola";"Istarska županija";;"052-544-357, 052/567-537, 052/567-537, 052/567-175, 052/544-356";"";"ured@os-barban.skole.hr";"http//www.os-barban.skole.hr"
"18-484-001";"OSNOVNA ŠKOLA PETRA STUDENCA Kanfanar";"Istarska županija";"52352";"Kanfanar";"Dvigradska 3";"Osnovna škola";"Istarska županija";"Ivor  Kuček";"052/825-022, 052/840-407";"052/825-022";"ured@os-pstudenca-kanfanar.skole.hr, os-p.studenca@pu.t-com.hr";""
"18-485-001";"Osnovna škola Ivan Goran Kovačić Čepić";"Istarska županija";"52232";"Purgarija Čepić";"Purgarija Čepić 1";"Osnovna škola";"Istarska županija";"Mirela  Vidak";"052/867-723";"052/885-040";"ured@os-igkovacic-cepic.skole.hr";""
"18-485-002";"Osnovna škola Vladimira Nazora Potpićan";"Istarska županija";"52333";"Potpićan";"POTPIĆAN, Dumbrova 12";"Osnovna škola";"Istarska županija";"Nada  Peršić";"052/867-425, 052/867-425, 052/867-317";"052/885-051";"ured@os-vnazora-potpican.skole.hr";"http://os-vnazora-potpican.skole.hr/"
"18-486-001";"Osnovna škola Ivana Batelića - Raša";"Istarska županija";"52223";"Raša";"IVAN BATELIĆ 1";"Osnovna škola";"Istarska županija";"Greis  Franković";"052/874-279, 874-122, 052/874-012";"";"ured@os-ibatelica-rasa.skole.hr";"http://os-ibatelica-rasa.skole.hr"
"18-490-001";"Osnovna škola Joakima Rakovca";"Istarska županija";"52448";"Sveti Lovreč Pazenatički";"GRADSKI TRG 1";"Osnovna škola";"Istarska županija";"Mladen  Majušević";"052/448-104, 052/448-512";"052/448-266";"ured@os-jrakovca-svlovrecpazenaticki.skole.hr";"http://os-jrakovca-svlovrecpazenaticki.skole.hr/"
"18-491-001";"Osnovna škola Marčana";"Istarska županija";"52206";"Marčana";"MARČANA 166";"Osnovna škola";"Istarska županija";"Nensi  Kaluđerović";"052/571-166, 052/571-166";"052/571-310";"ured@os-marcana.skole.hr";""
"18-491-002";"OSNOVNA ŠKOLA VLADIMIRA NAZORA - KRNICA";"Istarska županija";"52208";"Krnica";"KRNICA 87";"Osnovna škola";"Istarska županija";"Romana  Percan";"052/ 556-420, 052/556-015, 052/556-015     052/556-420";"052/556-015";"ured@os-vnazora-krnica.skole.hr";"http://os-vnazora-krnica.skole.hr/"
"18-491-003";"Osnovna škola Divšići";"Istarska županija";"52206";"Divšići";"DIVŠIĆI 5";"Osnovna škola";"Istarska županija";"Emilijana  Fabijančić";"052/580-405, 052/580-432, 052/388-749";"052/580-405";"skola.divsici@gmail.com, ured@os-divsici.skole.hr";"http://os-divsici.skole.hr/"
"18-492-001";"Osnovna škola dr Mate Demarina";"Istarska županija";"52203";"Medulin";"MUNIDA 3";"Osnovna škola";"Istarska županija";"Emanuela  Pinzan Chiavalon";"052/576-005, 052/576-005, 052/576-324";"";"ured@os-mdemarina-medulin.skole.hr";""
"18-494-001";"Osnovna škola Vitomir Širola - Pajo";"Istarska županija";"52231";"Nedešćina";"NEDEŠĆINA 103";"Osnovna škola";"Istarska županija";"Klara  Švraka";"052/865-005, 052/865-005, 052/865-605";"052/865-605";"osnedescina@gmail.com, ured@os-vspajo-nedescina.skole.hr";""
"18-495-001";"Osnovna škola - scuola elementare RIVARELA";"Istarska županija";"52466";"Novigrad";"EMONIJSKA 4";"Osnovna škola, Umjetnička škola";"Istarska županija";"Davorka  Parmač";"052/757-005, 758-602, 052/757-005, 052/757-005, 052/758-602";"052/757-218";"ured@os-rivarela-novigrad.skole.hr";""
"18-495-002";"Talijanska osnovna škola, Scuola elementare italiana, Novigrad - Cittanova";"Istarska županija";"52466";"Novigrad";"EMONIJSKA 2";"Osnovna škola";"Istarska županija";;"052/757-007, 758-755, 052/757-007, 052/757-007, 052/098 216-286";"052/758-755";"ured@os-talijanska-novigrad.skole.hr";"www.os-talijanska-novigrad.skole.hr"
"18-496-001";"Osnovna škola - Scuola elementare Milana Šorga Oprtalj - Portole";"Istarska županija";"52428";"Oprtalj";"Matka Laginje 25.";"Osnovna škola";"Istarska županija";"Ljubica  Puškar";"052/644-010, 052/644-040";"052/644-040";"ured@os-msorga-oprtalj.skole.hr";"www.os-msorga-oprtalj.skole.hr"
"18-499-001";"OSNOVNA ŠKOLA SVETVINČENAT";"Istarska županija";"52342";"Svetvinčenat";"SVETVINČENAT 98";"Osnovna škola";"Istarska županija";"Silvija  Jeromela Obrovac";"052/560-001, 052/560-001, 052/560-001";"052/560-001";"ured@os-svetvincenat.skole.hr";"http://os-svetvincenat.skole.hr/"
"18-499-002";"Osnovna škola JURŠIĆI";"Istarska županija";"52342";"Juršići";"JURŠIĆI 21";"Osnovna škola";"Istarska županija";"Luciana  Butković";"052/579-054, 052/579-054, 052/579-054";"";"ured@os-jursici.skole.hr";""
"18-501-001";"Osnovna škola Marije i Line";"Istarska županija";"52470";"Umag – Umago";"ŠKOLSKA 14";"Osnovna škola, Umjetnička škola";"GRAD UMAG";"Sanja  Zakinja";"052/741-497, 052/741-497, 052/741-497";"052/751-472";"ured@os-marijeiline-umag.skole.hr, os-mil@hi.t-com.hr";"www.os-marijeiline-umag.skole.hr"
"18-501-002";"Talijanska osnovna škola Galileo Galilei";"Istarska županija";"52470";"Umag – Umago";"EDOARDA PASCALIA 2 A";"Osnovna škola";"GRAD UMAG";"Arden  Sirotić";"052/720-372, 052/720-372, 052/741-283, 052/742-370";"052/741-283";"sei.umago@os-talijanska-ggalilei-umag.skole.hr, talijan-os-skola@pu.t-com.hr";"www.os-talijanska-ggalilei-umag.skole.hr"
"18-502-001";"OSNOVNA ŠKOLA JOŽE ŠURANA VIŠNJAN";"Istarska županija";"52463";"Višnjan";"ISTARSKA 2";"Osnovna škola";"Istarska županija";"Predrag  Brkić";"052/449-106, 052/449-106, 052/449-161";"052/427-686";"visnjan@os-jsurana-visnjan.skole.hr";"http://os-jsurana-visnjan.skole.hr/"
"18-504-001";"OSNOVNA ŠKOLA VODNJAN - SCUOLA ELEMENTARE DIGNANO";"Istarska županija";"52215";"Vodnjan-Dignano";"ŽUKA 6 - VIA DELLE GINESTRE 6";"Osnovna škola";"Istarska županija";"Barbara  Buršić-Križanac";"052/511-327, 052/511-327, 052/511-455";"052/511-327";"ured@os-vodnjan.skole.hr";"http://os-vodnjan.skole.hr/"
"18-504-002";"OSNOVNA ŠKOLA FAŽANA";"Istarska županija";"52212";"Fažana";"PULJSKA 9";"Osnovna škola";"Istarska županija";"Marijana  Starčić";"052/521-011, 052/521-011";"052/521-011";"os-fazana@os-fazana.tcloud.hr, os-fazana@os-fazana.tcloud.hr";"os-fazana.skole.hr"
"18-505-001";"Osnovna škola Vladimira Nazora";"Istarska županija";"52450";"Vrsar";"Rade Končara 72";"Osnovna škola";"Istarska županija";"Debora  Cukola Zeneral";"052/441-306, 441-425, 052/441-306";"";"ured@os-vnazora-vrsar.skole.hr";"http://os-vnazora-vrsar.skole.hr/"
