"mbu";"Naziv Ustanove";"Nadredjena Ustanova";"Vrsta Ustanove";"Upisnik";"Adresa";"Mjesto";"Telefon";"Faks";"e Posta";"URL";"Celnik"
304;"Visoka poslovna škola ""Minerva"", Dugopolje ";"";"Visoka škola";"Visoko učilište";"Ulica sv. Duje 8/a";"DUGOPOLJE";"(+385 21) 493 100";"(+385 21) 493 119";"vps.minerva@gmail.com";"www.vps-minerva.hr";"dekan Ante Čorkalo"
15;"Fakultet političkih znanosti, Zagreb";"Sveučilište u Zagrebu";"Fakultet";"Znanstvena ustanova i visoko učilište";"Lepušićeva 6                                                ";"ZAGREB";"(+385 1) 4642 000";"(+385 1) 4655 316";"dekanat@fpzg.hr";"www.fpzg.unizg.hr";"dekan izv. prof. dr. sc. Andrija Henjak"
16;"Fakultet organizacije i informatike, Varaždin";"Sveučilište u Zagrebu";"Fakultet";"Znanstvena ustanova i visoko učilište";"Pavlinska 2                                                 ";"VARAŽDIN";"(+385 42) 390 800";"(+385 42) 213 413";"ured-dekana@foi.hr";"www.foi.unizg.hr";"dekanica prof. dr. sc. Nina Begičević Ređep"
18;"Pravni fakultet, Split";"Sveučilište u Splitu";"Fakultet";"Znanstvena ustanova i visoko učilište";"Ulica Domovinskog rata 8                                   ";"SPLIT";" (+385 21) 393 555";"(+385 21 393 597)";"dekanat@pravst.hr";"www.pravst.unist.hr ";"dekan prof. dr. sc. Mirko Klarić"
23;"Fakultet elektrotehnike, strojarstva i brodogradnje, Split";"Sveučilište u Splitu";"Fakultet";"Znanstvena ustanova i visoko učilište";"Ruđera Boškovića 32";"SPLIT";"(+385 21) 305 777; 701";"(+385 21) 305 776";"dekanat@fesb.hr ";"www.fesb.unist.hr";"dekan prof. dr. sc. Srdjan Podrug"
67;"Ekonomski fakultet, Zagreb ";"Sveučilište u Zagrebu";"Fakultet";"Znanstvena ustanova i visoko učilište";"Trg. J. F. Kennedya 6                                       ";"ZAGREB";"(+385 1) 2383 333                                                                                   ";"(+385 1) 2335 633                                                                ";"dekan@efzg.hr; dean@efzg.hr";"www.efzg.unizg.hr";"dekan prof. dr. sc. Jurica Pavičić"
68;"Šumarski fakultet, Zagreb ";"Sveučilište u Zagrebu";"Fakultet";"Znanstvena ustanova i visoko učilište";"Svetošimunska 25                                            ";"ZAGREB";"(+385 1) 2352 555; 2352 444                                                                         ";"(+385 1) 2352 496";"dekanat@sumfak.unizg.hr ";"www.sumfak.unizg.hr";"dekan prof. dr. sc. Tibor Pentek"
69;"Tehnički fakultet, Rijeka ";"Sveučilište u Rijeci";"Fakultet";"Znanstvena ustanova i visoko učilište";"Vukovarska 58                                               ";"RIJEKA";"(+385 51) 651 444";"(+385 51) 675 818";"dekanat@riteh.hr";"www.riteh.uniri.hr";"dekan prof. dr. sc. Duško Pavletić"
79;"Fakultet agrobiotehničkih znanosti, Osijek";"Sveučilište  Josipa Jurja Strossmayera u Osijeku ";"Fakultet";"Znanstvena ustanova i visoko učilište";"Vladimira Preloga 1                          ";"OSIJEK";"(+385 31) 554 801";"(+385 31) 554 853";"dekanat@fazos.hr";"www.fazos.unios.hr";"dekan prof. dr. sc. Krunoslav Zmaić"
238;"Katolički bogoslovni fakultet, Split ";"Sveučilište u Splitu";"Fakultet";"Znanstvena ustanova i visoko učilište";"Zrinsko-Frankopanska 19                                     ";"SPLIT";"(+385 21) 308 300";"(+385 21) 386 144; 386 142";"office@kbf-st.hr";"www.kbf.unist.hr";"dekan prof. dr. sc. Mladen Parlov"
282;"Katolički bogoslovni fakultet, Đakovo";"Sveučilište  Josipa Jurja Strossmayera u Osijeku ";"Fakultet";"Znanstvena ustanova i visoko učilište";"Petra Preradovića 17                                        ";"ĐAKOVO";"(+385 31) 802 400";"(+385 31) 802 403";"tajnistvo@djkbf.hr; dekan@djkbf.hr";"www.djkbf.unios.hr";"dekan izv. prof. dr. sc. Vladimir Dugalić"
283;"Veleučilište ""Lavoslav Ružička"" u Vukovaru";"";"Veleučilište";"Visoko učilište";"Županijska 50                                               ";"VUKOVAR";"(+385 32) 444 688                                                                                   ";"(+385 32) 444 686                                                                       ";"dekanat@vevu.hr";"www.vevu.hr";"dekan dr. sc. Željko Sudarić"
284;"Veleučilište ""Marko Marulić"", Knin";"";"Veleučilište";"Visoko učilište";"Kralja Petra Krešimira IV br. 30                            ";"KNIN";"(+385 22) 664 450; 664 459";"(+385 22) 661 374";"referada@veleknin.hr; info@veleknin.hr";"www.veleknin.hr";"dekanica Lovorka Blažević"
285;"Sveučilište u Osijeku - Odjel za biologiju ";"Sveučilište  Josipa Jurja Strossmayera u Osijeku ";"Sveučilišni odjel";"Znanstvena ustanova i visoko učilište";"Cara Hadrijana 8/A                                    ";"OSIJEK";"(+385 31) 399 900";"(+385 31) 399 939 ";"info@biologija.unios.hr ";"www.biologija.unios.hr";"pročelnica doc. dr. sc. Ljiljana Krstin"
286;"Sveučilište u Osijeku - Odjel za fiziku";"Sveučilište  Josipa Jurja Strossmayera u Osijeku ";"Sveučilišni odjel";"Znanstvena ustanova i visoko učilište";"Trg Ljudevita Gaja 6                                        ";"OSIJEK";"(+385 31) 232 700";"(+385 31) 232 701";"ured@fizika.unios.hr                                                                            ";"www.fizos.unios.hr                                                                                 ";"pročelnik izv. prof. dr. sc. Vanja Radolić"
244;"Filozofski fakultet u Splitu";"Sveučilište u Splitu";"Fakultet";"Znanstvena ustanova i visoko učilište";"Poljička cesta 35                                                ";"SPLIT";"(+385 21) 491 515";"(+385 21) 329 288";"dekanat@ffst.hr ";"www.ffst.unist.hr";"dekanica izv. prof. dr. sc. Gloria Vickov"
245;"Fakultet za odgojne i obrazovne znanosti, Osijek ";"Sveučilište  Josipa Jurja Strossmayera u Osijeku ";"Fakultet";"Znanstvena ustanova i visoko učilište";"Ulica cara Hadrijana 10                                      ";"OSIJEK";"(+385 31) 321 700";"(+385 31) 321 899";"helpdesk@foozos.hr";"www.foozos.hr";"dekan izv. prof. dr. sc. Damir Matanović"
246;"Tehničko veleučilište u Zagrebu";"";"Veleučilište";"Znanstvena ustanova i visoko učilište";"Vrbik 8                                                     ";"ZAGREB";"(+385 1) 5603 900";"(+385 1) 5603 999";"tvz@tvz.hr";"www.tvz.hr";"dekan mr. sc. Goran Malčić"
248;"Veleučilište u Karlovcu ";"";"Veleučilište";"Znanstvena ustanova i visoko učilište";"Trg Josipa Jurja Strossmayera 9                                      ";"KARLOVAC";"(+385 47) 843 500                                                                                  ";"(+385 47) 843 503                                                                                   ";"dekanat@vuka.hr                                                                                    ";"www.vuka.hr                                                                                  ";"dekanica dr. sc. Nina Popović"
250;"Pomorski fakultet, Split ";"Sveučilište u Splitu";"Fakultet";"Znanstvena ustanova i visoko učilište";"Ruđera Boškovića 37                                ";"SPLIT";"(+385 21) 619 399";"(+385 21) 619 499";"dekan@pfst.hr";"www.pfst.unist.hr";"dekan izv. prof. dr. sc. Pero Vidan"
120;"Fakultet strojarstva i brodogradnje, Zagreb";"Sveučilište u Zagrebu";"Fakultet";"Znanstvena ustanova i visoko učilište";"Ivana Lučića 5                                              ";"ZAGREB";"(+385 1) 6168 220                                                                                ";"(+385 1) 6156 940                                                                                   ";"dekanat@fsb.hr                                                                                      ";"www.fsb.unizg.hr";"dekan prof. dr. sc. Dubravko Majetić"
122;"Filozofski fakultet, Osijek";"Sveučilište  Josipa Jurja Strossmayera u Osijeku ";"Fakultet";"Znanstvena ustanova i visoko učilište";"Lorenza Jagera 9                                                 ";"OSIJEK";"(+385 31) 211 400 ";"(+385 31) 211 514";"helpdesk@knjiga.ffos.hr; dekan@ffos.hr";"www.ffos.unios.hr";"privremeni dekan izv. prof. dr. sc. Leonard Pon"
124;"Metalurški fakultet, Sisak";"Sveučilište u Zagrebu";"Fakultet";"Znanstvena ustanova i visoko učilište";"Aleja narodnih heroja 3                                     ";"SISAK";"(+385 44) 533 379; 533 378";"(+385 44) 533 378";"dekanat@simet.hr";"www.simet.unizg.hr";"dekanica izv. prof. dr. sc. Zdenka Zovko Brodarac"
125;"Fakultet kemijskog inženjerstva i tehnologije, Zagreb";"Sveučilište u Zagrebu";"Fakultet";"Znanstvena ustanova i visoko učilište";"Marulićev trg 19                                            ";"ZAGREB";"(+385 1) 4597 281; (+385 1) 4597 222                                                                ";"(+385 1) 4597 260";"office@fkit.unizg.hr";"www.fkit.unizg.hr";"dekan prof. dr. sc. Tomislav Bolanča"
128;"Grafički fakultet, Zagreb";"Sveučilište u Zagrebu";"Fakultet";"Znanstvena ustanova i visoko učilište";"Getaldićeva 2                                               ";"ZAGREB";"(+385 1) 2371 080                                                                                   ";"(+385 1) 2371 077                                                                                   ";"info@grf.hr                                                                                         ";"www.grf.unizg.hr                                                                                   ";"dekan prof.dr.sc. Nikola Mrvac"
130;"Filozofski fakultet, Zagreb";"Sveučilište u Zagrebu";"Fakultet";"Znanstvena ustanova i visoko učilište";"Ivana Lučića 3                                              ";"ZAGREB";"(+385 1) 6120 111                                                                                   ";"(+385 1) 6156 879                                                                                   ";"ured_dekana@ffzg.hr; o.d.dekana@ffzg.hr";"www.ffzg.unizg.hr";"v.d. dekana prof. dr. sc. Miljenko Jurković"
149;"Građevinski i arhitektonski fakultet Osijek";"Sveučilište  Josipa Jurja Strossmayera u Osijeku ";"Fakultet";"Znanstvena ustanova i visoko učilište";"Ulica Vladimira Preloga 3                                              ";"OSIJEK";"(+385 31) 540 070                                                                ";"(+385 31) 540 071                                                             ";"gfos@gfos.hr                                                                                       ";"www.gfos.unios.hr                                                                           ";"dekan prof. dr. sc. Damir Varevac"
160;"Geotehnički fakultet, Varaždin";"Sveučilište u Zagrebu";"Fakultet";"Znanstvena ustanova i visoko učilište";"Hallerova aleja 7                                           ";"VARAŽDIN";"(+385 42) 408-900                                                                         ";"(+385 42) 313 587 ";"ured.dekana@gfv.unizg.hr";"www.gfv.unizg.hr ";"dekan izv. prof. dr. sc. Hrvoje Meaški"
165;"Fakultet elektrotehnike, računarstva i informacijskih tehnologija Osijek";"Sveučilište  Josipa Jurja Strossmayera u Osijeku ";"Fakultet";"Znanstvena ustanova i visoko učilište";"Kneza Trpimira 2b                                           ";"OSIJEK";"(+385 31) 224 600";"(+385 31) 224 605";"ferit@ferit.hr";"www.ferit.unios.hr";"dekan prof. dr. sc. Drago Žagar"
253;"Veleučilište u Požegi";"";"Veleučilište";"Visoko učilište";"Vukovarska 17                            ";"POŽEGA";"(+385 34)  311 460                                                             ";"(+385 34) 271 008                                                                            ";"ured@vup.hr                                                                                         ";"www.vup.hr                                                                                          ";"dekan prof. dr. sc. Borislav Miličević"
255;"Zagrebačka škola ekonomije i managementa, Zagreb";"";"Visoka škola";"Znanstvena ustanova i visoko učilište";"Ulica Filipa Vukasovića 1                                      ";"ZAGREB";"(+385 1) 2354 242, 2354 010                                                                        ";"(+385 1) 2354 243, 2354 155";"referada@zsem.h                                                                                     ";"www.zsem.hr                                                                                         ";"dekan dr. sc. Mato Njavro"
257;"Visoka škola za sigurnost s pravom javnosti, Zagreb";"";"Visoka škola";"Visoko učilište";"Ivana Lučića 5                                              ";"ZAGREB";"(+358 1) 6168 143                                                                                   ";"(+358 1) 6168 566                                                                                   ";"tajnistvo@vss.hr";"www.vss.hr";"dekan dr. sc. Nenad Kacian"
258;"Sveučilište u Splitu";"";"Sveučilište";"Znanstvena ustanova i visoko učilište";"Ruđera Boškovića 31                                               ";"SPLIT";"(+385 21) 558 200                                                                                   ";"(+385 21) 348 163                                                                                   ";"rektorat@unist.hr                                                                            ";"www.unist.hr                                                                                        ";"rektor prof. dr. sc. Dragan Ljutić"
260;"Akademija likovnih umjetnosti, Zagreb";"Sveučilište u Zagrebu";"Umjetnička akademija";"Znanstvena ustanova i visoko učilište";"Ilica 85                                                    ";"ZAGREB";"(+385 1) 3777-300                                                                                   ";"(+385 1) 3773 401                                                                                   ";"alu@alu.hr                                                                                      ";"www.alu.unizg.hr";"dekan izv. prof. art. Tomislav Buntak"
262;"Sveučilište u Splitu Sveučilišni odjel za studije mora";"Sveučilište u Splitu";"Sveučilišni odjel";"Visoko učilište";"Ruđera Boškovića 37                                            ";"SPLIT";"(+385 21) 510 193                                                                                 ";"(+385 21) 510 190";"maja.krzelj@unist.hr";"http://more.unist.hr";"pročelnica doc. dr. sc. Maja Krželj"
264;"Akademija dramske umjetnosti, Zagreb";"Sveučilište u Zagrebu";"Umjetnička akademija";"Znanstvena ustanova i visoko učilište";"Trg Republike Hrvatske 5                                        ";"ZAGREB";"(+385 1) 4828 506; 4828 507";"(+385 1) 4828 508";"dekanat@adu.hr";"www.adu.unizg.hr";"dekanica dr. sc. Franka Perković Gamulin"
308;"Veleučilište Hrvatsko zagorje Krapina";"";"Veleučilište";"Visoko učilište";"Šetalište Hrvatskog  narodnog preporoda 6";"KRAPINA";"(+385 49) 382 125";"(+385 49) 382 125";"tajnik@vhzk.hr";"www.vhzk.hr ";"dekan dr. sc. Nenad Sikirica"
312;"Sveučilište u Zagrebu";"";"Sveučilište";"Znanstvena ustanova i visoko učilište";"Trg Republike Hrvatske 14";"ZAGREB";"(+385 1) 4564 111; 4564 233; 255                                                                   ";"(+385 1) 4830 602; 4564 108                                                            ";"unizginfo@unizg.hr; rector@unizg.hr                                                              ";"www.unizg.hr";"rektor prof. dr. sc. Damir Boras"
313;"Međimursko veleučilište u Čakovcu";"";"Veleučilište";"Visoko učilište";"Bana Josipa Jelačića 22/a";"ČAKOVEC";"(+385 40) 396 999";"(+385 40) 396 980";"veleuciliste@mev.hr";"www.mev.hr";"dekan doc. dr. sc. Igor Klopotan"
314;"Veleučilište u Bjelovaru ";"";"Veleučilište";"Visoko učilište";"Trg Eugena Kvaternika 4";"BJELOVAR";"(+385 43) 241 191";"(+385 43) 241 202";"info@vub.hr";"www.vub.hr ";"dekanica doc. dr. sc. Zrinka Puharić"
315;"Kineziološki fakultet, Split ";"Sveučilište u Splitu";"Fakultet";"Znanstvena ustanova i visoko učilište";"Ulica Nikole Tesle 6";"SPLIT";"(+385 21) 302 440";"(+385 21) 385 382";"dekanat@kifst.hr";"www.kifst.unist.hr";"dekan prof. dr. sc. Damir Sekulić"
316;"Sveučilište u Rijeci, Odjel za fiziku ";"Sveučilište u Rijeci";"Sveučilišni odjel";"Znanstvena ustanova i visoko učilište";"Radmile Matejčić 2";"RIJEKA";"+385 51 584 600";"+385 51 584 649";"fizika@phy.uniri.hr";"phy.uniri.hr";"pročelnik izv. prof. dr. sc. Marin Karuza"
317;"Sveučilište u Rijeci";"";"Sveučilište";"Znanstvena ustanova i visoko učilište";"Trg braće Mažuranića 10";"RIJEKA";"(+385 51) 406 500                                                                                   ";"(+385 51) 406 588                                                               ";"ured@uniri.hr                                                                                       ";"www.uniri.hr                                                                                        ";"rektorica prof. dr. sc. Snježana Prijić-Samaržija"
318;"Sveučilište u Rijeci - Odjel za informatiku";"Sveučilište u Rijeci";"Sveučilišni odjel";"Znanstvena ustanova i visoko učilište";"Radmile Matejčić 2";"RIJEKA";"(+385 51) 345 034";"(+385 51) 345 207";"ured@inf.uniri.hr ";"www.inf.uniri.hr";"pročelnica izv. prof. dr. sc. Patrizia Poščić"
319;"Sveučilište u Rijeci - Odjel za matematiku";"Sveučilište u Rijeci";"Sveučilišni odjel";"Znanstvena ustanova i visoko učilište";"Radmile Matejčić 2";"RIJEKA";"(+385 51) 345 046, 050, 052";"(+385 51) 345 207";"math@math.uniri.hr";"www.math.uniri.hr";"pročelnik prof. dr. sc. Dean Crnković"
321;"Visoko učilište Algebra, Zagreb ";"";"Visoka škola";"Znanstvena ustanova i visoko učilište";"Ilica 242";"ZAGREB";"(+385 1) 2222 182";"(+385 1) 2222 183";"info@racunarstvo.hr";"www.racunarstvo.hr";"dekan dr. sc. Mislav Balković"
322;"RIT Croatia, Dubrovnik ";"";"Visoka škola";"Znanstvena ustanova i visoko učilište";"Don Frana Bulića 6";"DUBROVNIK";"(+385 20) 433 000 ";"(+385 20) 433 001";"ritcroatia@croatia.rit.edu ";"www.croatia.rit.edu";"dekan mr. sc. Donald Hudspeth"
213;"Muzička akademija, Zagreb";"Sveučilište u Zagrebu";"Umjetnička akademija";"Znanstvena ustanova i visoko učilište";"Trg Republike Hrvatske 12                                 ";"ZAGREB";"(+385 1) 4810-200                                                                                   ";"(+385 1) 4872 380";"muza@muza.hr;dekanat@muza.hr ";"www.muza.unizg.hr ";"dekan prof. art. Igor Lešnik"
34;"Kineziološki fakultet, Zagreb";"Sveučilište u Zagrebu";"Fakultet";"Znanstvena ustanova i visoko učilište";"Horvaćanski zavoj 15                                        ";"ZAGREB";"(+385 1) 3658 666";"(+385 1) 3634 146";"dekanat@kif.unizg.hr";"www.kif.unizg.hr";"dekan prof. dr. sc. Tomislav Krističević"
36;"Fakultet elektrotehnike i računarstva, Zagreb";"Sveučilište u Zagrebu";"Fakultet";"Znanstvena ustanova i visoko učilište";"Unska 3                                                     ";"ZAGREB";"(+385 1) 6129 999                                                                            ";"(+385 1) 6170 007                                                                                   ";"fer@fer.hr";"www.fer.unizg.hr";"dekan prof. dr .sc. Gordan Gledec"
53;"Veterinarski fakultet, Zagreb ";"Sveučilište u Zagrebu";"Fakultet";"Znanstvena ustanova i visoko učilište";"Heinzelova 55                                               ";"ZAGREB";"(+385 1) 2390 111; 2390 106                                                                ";"(+385 1) 2441 390";"nenad.turk@vef.hr";"www.vef.unizg.hr ";"dekan prof. dr. sc. Nenad Turk"
54;"Arhitektonski fakultet, Zagreb";"Sveučilište u Zagrebu";"Fakultet";"Znanstvena ustanova i visoko učilište";"Fra Andrije Kačića Miošića 26                               ";"ZAGREB";"(+385 1) 4639 222";"(+385 1) 4838 810";"dekan@arhitekt.hr";"www.arhitekt.unizg.hr";"dekan prof. dr. sc. Bojan Baletić"
81;"Ekonomski fakultet, Rijeka ";"Sveučilište u Rijeci";"Fakultet";"Znanstvena ustanova i visoko učilište";"Ivana Filipovića 4                                          ";"RIJEKA";"(+385 51) 355 111; (+385 51) 355 100                                                                ";"(+385 51) 212 268                                                                ";"efri@efri.hr                                                                      ";"www.efri.uniri.hr                                                                                  ";"dekan prof. dr. sc. Alen Host"
82;"Građevinski fakultet, Zagreb ";"Sveučilište u Zagrebu";"Fakultet";"Znanstvena ustanova i visoko učilište";"Ulica fra Andrije Kačića Miošića 26                               ";"ZAGREB";"(+385 1) 4639 255";"(+385 1) 4639 206";"ured.dekana@grad.unizg.hr";"www.grad.unizg.hr";"dekan prof. dr. sc. Stjepan Lakušić"
83;"Fakultet građevinarstva, arhitekture i geodezije, Split";"Sveučilište u Splitu";"Fakultet";"Znanstvena ustanova i visoko učilište";"Matice hrvatske 15                                           ";"SPLIT";"(+385 21) 303 333                                                                ";"(+385 21) 465 117                                                                                   ";"info@gradst.hr";"www.gradst.unist.hr";"dekan izv. prof. dr. sc. Nikša Jajac"
229;"Veleučilište VERN, Zagreb";"";"Veleučilište";"Visoko učilište";"Trg Drage Iblera 10                                 ";"ZAGREB";"(+385 1) 4825 911                                                                                   ";"(+385 1) 4825 910                                                                                   ";"vuv@vern.hr                                                                                        ";"www.vern.hr                                                                                         ";"dekan prof. dr. sc. Vlatko Cvrtila"
233;"Istarsko veleučilište, Pula ";"";"Veleučilište";"Visoko učilište";"Riva 6                                                      ";"PULA";"(+385 52) 381 412                                                                         ";"(+385 52) 381 412                                                                                   ";"dekanat@iv.hr";"www.iv.hr";"dekan dr. sc. Daglas Koraca"
234;"Veleučilište s pravom javnosti Baltazar Zaprešić ";"";"Veleučilište";"Visoko učilište";"Vladimira Novaka 23                                                ";"ZAPREŠIĆ";"(+385 1) 3355 477; 4002 782";"(+385 1) 3355 480";"tajnistvo@bak.hr";"www.bak.hr";"dekan doc. dr. sc. Ivan Ružić"
235;"Sveučilište Josipa Jurja Strossmayera u Osijeku - Odjel za matematiku";"Sveučilište  Josipa Jurja Strossmayera u Osijeku ";"Sveučilišni odjel";"Znanstvena ustanova i visoko učilište";"Trg Ljudevita Gaja 6                                        ";"OSIJEK";"(+385 31) 224 800                                                                                  ";"(+385 31) 224 801                                                                                   ";"math@mathos.hr                                                                                      ";"www.mathos.unios.hr";"pročelnik prof. dr. sc. Kristian Sabo"
236;"Veleučilište u Rijeci";"";"Veleučilište";"Visoko učilište";"Trpimirova 2/V                                              ";"RIJEKA";"(+385 51) 321 300                                                                                   ";"(+385 51) 211 270                                                                                   ";"ured@veleri.hr                                                                                      ";"www.veleri.hr                                                                                       ";"dekan dr. sc. Saša Hirnig"
287;"Akademija primijenjenih umjetnosti u Rijeci";"Sveučilište u Rijeci";"Umjetnička akademija";"Visoko učilište";"Slavka Krautzeka 83                                                    ";"RIJEKA";"(+385 51) 228 880                                                                                  ";"(+385 51) 322 363                                                                                  ";"dekanat@apuri.hr                                                                                    ";"www.apuri.uniri.hr";"dekanica izv. prof. art. Letricija Linardić"
108;"Medicinski fakultet, Zagreb";"Sveučilište u Zagrebu";"Fakultet";"Znanstvena ustanova i visoko učilište";"Šalata 3                                                    ";"ZAGREB";"(+385 1) 4566 777                                                             ";"(+385 1) 4566 724";"mf@mef.hr";"www.mef.unizg.hr";"dekan prof. dr. sc. Marijan Klarica"
111;"Pravni fakultet, Osijek";"Sveučilište  Josipa Jurja Strossmayera u Osijeku ";"Fakultet";"Znanstvena ustanova i visoko učilište";"Ulica Stjepana Radića 13                                    ";"OSIJEK";"(+385 31) 224 500                                                                                   ";"(+385 31) 224 540                                                                                   ";"ured@zakon.pravos.hr                                                                                ";"www.pravos.unios.hr";"dekan prof. dr. sc. Tunjica Petrašević"
112;"Pomorski fakultet, Rijeka";"Sveučilište u Rijeci";"Fakultet";"Znanstvena ustanova i visoko učilište";"Studentska 2                                                ";"RIJEKA";"(+385 51) 338 411";"(+385 51) 336 755";"dekanat@pfri.hr";"www.pfri.uniri.hr";"dekan prof. dr. sc. Alen Jugović"
113;"Prehrambeno-tehnološki fakultet, Osijek ";"Sveučilište  Josipa Jurja Strossmayera u Osijeku ";"Fakultet";"Znanstvena ustanova i visoko učilište";"Franje Kuhača 18                                            ";"OSIJEK";"(+385 31) 224 300                                                              ";"(+385 31) 207 115                                                                                   ";"office@ptfos.hr";"www.ptfos.unios.hr";"dekan prof. dr. sc. Jurislav Babić"
114;"Građevinski fakultet, Rijeka ";"Sveučilište u Rijeci";"Fakultet";"Znanstvena ustanova i visoko učilište";"Radmile Matejčić 3                                         ";"RIJEKA";" (+385 51) 265 900                                                                ";"(+385 51) 265 998";"dekanat@gradri.hr                                                                                   ";"www.gradri.uniri.hr";"dekanica izv. prof. dr. sc. Ivana Štimac Grandić"
115;"Pravni fakultet, Rijeka ";"Sveučilište u Rijeci";"Fakultet";"Znanstvena ustanova i visoko učilište";"Hahlić 6                                                    ";"RIJEKA";"(+385 51) 359 500                                                              ";" (+385 51) 359 593                                                                ";"dekanat@pravri.hr";"www.pravri.uniri.hr";"dekanica prof. dr. sc. Vesna Crnić-Grotić"
