"mbu";"Naziv Ustanove";"Nadredjena Ustanova";"Vrsta Ustanove";"Upisnik";"Adresa";"Mjesto";"Telefon";"Faks";"e Posta";"URL";"Celnik"
286;"Sveučilište u Osijeku - Odjel za fiziku";"Sveučilište  Josipa Jurja Strossmayera u Osijeku ";"Sveučilišni odjel";"Znanstvena ustanova i visoko učilište";"Trg Ljudevita Gaja 6                                        ";"OSIJEK";"(+385 31) 232 700";"(+385 31) 232 701";"ured@fizika.unios.hr                                                                            ";"www.fizos.unios.hr                                                                                 ";"pročelnik izv. prof. dr. sc. Vanja Radolić"
101;"Hrvatska akademija znanosti i umjetnosti";"";"Ustanova od posebnog značaja za Republiku Hrvatsku";"Znanstvena ustanova";"Trg Nikole Šubića Zrinskog 11                               ";"ZAGREB";"(+385 1) 4895-111, (+385 1) 4819-983                                      ";"(+385 1) 4819-979                                                                                   ";"kabpred@hazu.hr                                                                                     ";"www.hazu.hr                                                                                         ";"predsjednik akademik Zvonko Kusić"
106;"Bc Institut za oplemenjivanje i proizvodnju bilja, d.d.";"";"Ostale znanstvenoistraživačke pravne osobe";"Znanstvena ustanova";"Rugvica, Dugoselska 7                            ";"DUGO SELO";"(+385 1) 2781-510     ";"(+385 1) 4854-076                      ";"bc-uprava@bc-institut.hr                                                                            ";"www.bc-institut.hr";"direktor Kristijan Puškarić"
244;"Filozofski fakultet u Splitu";"Sveučilište u Splitu";"Fakultet";"Znanstvena ustanova i visoko učilište";"Poljička cesta 35                                                ";"SPLIT";"(+385 21) 491 515";"(+385 21) 329 288";"dekanat@ffst.hr ";"www.ffst.unist.hr";"dekanica izv. prof. dr. sc. Gloria Vickov"
245;"Fakultet za odgojne i obrazovne znanosti, Osijek ";"Sveučilište  Josipa Jurja Strossmayera u Osijeku ";"Fakultet";"Znanstvena ustanova i visoko učilište";"Ulica cara Hadrijana 10                                      ";"OSIJEK";"(+385 31) 321 700";"(+385 31) 321 899";"helpdesk@foozos.hr";"www.foozos.hr";"dekan izv. prof. dr. sc. Damir Matanović"
246;"Tehničko veleučilište u Zagrebu";"";"Veleučilište";"Znanstvena ustanova i visoko učilište";"Vrbik 8                                                     ";"ZAGREB";"(+385 1) 5603 900";"(+385 1) 5603 999";"tvz@tvz.hr";"www.tvz.hr";"dekan mr. sc. Goran Malčić"
248;"Veleučilište u Karlovcu ";"";"Veleučilište";"Znanstvena ustanova i visoko učilište";"Trg Josipa Jurja Strossmayera 9                                      ";"KARLOVAC";"(+385 47) 843 500                                                                                  ";"(+385 47) 843 503                                                                                   ";"dekanat@vuka.hr                                                                                    ";"www.vuka.hr                                                                                  ";"dekanica dr. sc. Nina Popović"
250;"Pomorski fakultet, Split ";"Sveučilište u Splitu";"Fakultet";"Znanstvena ustanova i visoko učilište";"Ruđera Boškovića 37                                ";"SPLIT";"(+385 21) 619 399";"(+385 21) 619 499";"dekan@pfst.hr";"www.pfst.unist.hr";"dekan izv. prof. dr. sc. Pero Vidan"
120;"Fakultet strojarstva i brodogradnje, Zagreb";"Sveučilište u Zagrebu";"Fakultet";"Znanstvena ustanova i visoko učilište";"Ivana Lučića 5                                              ";"ZAGREB";"(+385 1) 6168 220                                                                                ";"(+385 1) 6156 940                                                                                   ";"dekanat@fsb.hr                                                                                      ";"www.fsb.unizg.hr";"dekan prof. dr. sc. Dubravko Majetić"
124;"Metalurški fakultet, Sisak";"Sveučilište u Zagrebu";"Fakultet";"Znanstvena ustanova i visoko učilište";"Aleja narodnih heroja 3                                     ";"SISAK";"(+385 44) 533 379; 533 378";"(+385 44) 533 378";"dekanat@simet.hr";"www.simet.unizg.hr";"dekanica izv. prof. dr. sc. Zdenka Zovko Brodarac"
121;"Nastavni zavod za javno zdravstvo ""Dr. Andrija Štampar""";"";"Ostale znanstvenoistraživačke pravne osobe";"Znanstvena ustanova";"Mirogojska cesta 16                                         ";"ZAGREB";"(+385 1) 4696 100";"(+385 1) 4678 102                                                            ";"uprava@stampar.hr";"www.stampar.hr";"ravnatelj Zvonimir Šostar"
122;"Filozofski fakultet, Osijek";"Sveučilište  Josipa Jurja Strossmayera u Osijeku ";"Fakultet";"Znanstvena ustanova i visoko učilište";"Lorenza Jagera 9                                                 ";"OSIJEK";"(+385 31) 211 400 ";"(+385 31) 211 514";"helpdesk@knjiga.ffos.hr; dekan@ffos.hr";"www.ffos.unios.hr";"privremeni dekan izv. prof. dr. sc. Leonard Pon"
123;"Klinika za psihijatriju Vrapče";"";"Ostale znanstvenoistraživačke pravne osobe";"Znanstvena ustanova";"Bolnička cesta 32                                                 ";"ZAGREB";"(+385 1) 3780-666, (+385 1) 3780-600                ";"(+385 1) 3483-660";"tajnistvo@bolnica-vrapce.hr";"www.bolnica-vrapce.hr";"ravnatelj prof.dr.sc. Vlado Jukić"
125;"Fakultet kemijskog inženjerstva i tehnologije, Zagreb";"Sveučilište u Zagrebu";"Fakultet";"Znanstvena ustanova i visoko učilište";"Marulićev trg 19                                            ";"ZAGREB";"(+385 1) 4597 281; (+385 1) 4597 222                                                                ";"(+385 1) 4597 260";"office@fkit.unizg.hr";"www.fkit.unizg.hr";"dekan prof. dr. sc. Tomislav Bolanča"
126;"Institut za turizam, Zagreb";"";"Javni institut";"Znanstvena ustanova";"Vrhovec 5                                                   ";"ZAGREB";"(+385 1) 3909 666                                                                                   ";"(+385 1) 3909 667                                                                                   ";"ured@iztzg.hr";"www.iztzg.hr                                                                                        ";"ravnatelj dr. sc. Damir Krešić"
127;"Klinički bolnički centar Osijek";"";"Ostale znanstvenoistraživačke pravne osobe";"Znanstvena ustanova";"Ulica Josipa Huttlera 4                                     ";"OSIJEK";"(+385 31) 511-106                     ";"(+385 31) 512-235       ";"znanstvena.jedinica@kbco.hr";"http://www.kbco.hr";"ravnatelj doc. dr. sc. Željko Zubčić"
128;"Grafički fakultet, Zagreb";"Sveučilište u Zagrebu";"Fakultet";"Znanstvena ustanova i visoko učilište";"Getaldićeva 2                                               ";"ZAGREB";"(+385 1) 2371 080                                                                                   ";"(+385 1) 2371 077                                                                                   ";"info@grf.hr                                                                                         ";"www.grf.unizg.hr                                                                                   ";"dekan prof.dr.sc. Nikola Mrvac"
129;"Klinička bolnica ""Sveti Duh""";"";"Ostale znanstvenoistraživačke pravne osobe";"Znanstvena ustanova";"Sveti Duh 64                                                ";"ZAGREB";"(+385 1) 3712-111, (+385 1) 3712-153                    ";"(+385 1) 3712 308    ";"kb@kbsd.hr";"www.kbsd.hr";"ravnatelj Miran Martinac"
130;"Filozofski fakultet, Zagreb";"Sveučilište u Zagrebu";"Fakultet";"Znanstvena ustanova i visoko učilište";"Ivana Lučića 3                                              ";"ZAGREB";"(+385 1) 6120 111                                                                                   ";"(+385 1) 6156 879                                                                                   ";"ured_dekana@ffzg.hr; o.d.dekana@ffzg.hr";"www.ffzg.unizg.hr";"v.d. dekana prof. dr. sc. Miljenko Jurković"
132;"Nacionalna i sveučilišna knjižnica u Zagrebu";"Sveučilište u Zagrebu";"Knjižnica";"Znanstvena ustanova";"Hrvatske bratske zajednice 4                                ";"ZAGREB";"(+385 1) 6164 002                                                                                   ";"(+385 1) 6164 186                                                                                   ";"ured@nsk.hr                                                                                         ";"www.nsk.hr                                                                                          ";"ravnateljica dr. sc. Tatijana Petrić"
149;"Građevinski i arhitektonski fakultet Osijek";"Sveučilište  Josipa Jurja Strossmayera u Osijeku ";"Fakultet";"Znanstvena ustanova i visoko učilište";"Ulica Vladimira Preloga 3                                              ";"OSIJEK";"(+385 31) 540 070                                                                ";"(+385 31) 540 071                                                             ";"gfos@gfos.hr                                                                                       ";"www.gfos.unios.hr                                                                           ";"dekan prof. dr. sc. Damir Varevac"
150;"Hrvatska telekomunikacije";"";"Ostale znanstvenoistraživačke pravne osobe";"Znanstvena ustanova";"Andrije Hebranga 32-34                                      ";"ZAGREB";"(+385 1) 4911-400    ";"(+385 1) 4911-444      ";;;""
160;"Geotehnički fakultet, Varaždin";"Sveučilište u Zagrebu";"Fakultet";"Znanstvena ustanova i visoko učilište";"Hallerova aleja 7                                           ";"VARAŽDIN";"(+385 42) 408-900                                                                         ";"(+385 42) 313 587 ";"ured.dekana@gfv.unizg.hr";"www.gfv.unizg.hr ";"dekan izv. prof. dr. sc. Hrvoje Meaški"
161;"Opća bolnica Varaždin";"";"Ostale znanstvenoistraživačke pravne osobe";"Znanstvena ustanova";"Ivana Meštrovića bb";"VARAŽDIN";"(+385 42) 393-000";"(+385 42) 213-241";"ravnateljstvo@bv.hr";"www.obv.hr";"ravnatelj Dubravko Tršinski"
163;"Opća bolnica Pula";"";"Ostale znanstvenoistraživačke pravne osobe";"Znanstvena ustanova";"Zagrebačka 30                                           ";"PULA";"(+385 52) 376-400         ";"(+385 52) 376-444   ";"obpula@obpula.hr";"www.obpula.hr";"ravnatelj Lems Jerin"
165;"Fakultet elektrotehnike, računarstva i informacijskih tehnologija Osijek";"Sveučilište  Josipa Jurja Strossmayera u Osijeku ";"Fakultet";"Znanstvena ustanova i visoko učilište";"Kneza Trpimira 2b                                           ";"OSIJEK";"(+385 31) 224 600";"(+385 31) 224 605";"ferit@ferit.hr";"www.ferit.unios.hr";"dekan prof. dr. sc. Drago Žagar"
254;"Centar za politološka istraživanja d.o.o, Zagreb";"";"Ostale znanstvenoistraživačke pravne osobe";"Znanstvena ustanova";"Gupčeva 14a                                                 ";"ZAGREB";"(+385 1) 3863-113      ";"(+385 1) 3863-113                              ";"cpi@cpi.hr                                                                 ";"www.cpi.hr";"voditelj dr.sc. Anđelko Milardović"
255;"Zagrebačka škola ekonomije i managementa, Zagreb";"";"Visoka škola";"Znanstvena ustanova i visoko učilište";"Ulica Filipa Vukasovića 1                                      ";"ZAGREB";"(+385 1) 2354 242, 2354 010                                                                        ";"(+385 1) 2354 243, 2354 155";"referada@zsem.h                                                                                     ";"www.zsem.hr                                                                                         ";"dekan dr. sc. Mato Njavro"
256;"Opća bolnica Karlovac";"";"Ostale znanstvenoistraživačke pravne osobe";"Znanstvena ustanova";"Andrije Štampara 3                                          ";"KARLOVAC";"(+385 47) 608-100, (+385 47) 608-001        ";"(+385 47) 431-337, (+385 47) 431-325   ";"info@bolnica-karlovac.hr";;"ravnatelj prim. dr. sc. Ervin Jančić"
258;"Sveučilište u Splitu";"";"Sveučilište";"Znanstvena ustanova i visoko učilište";"Ruđera Boškovića 31                                               ";"SPLIT";"(+385 21) 558 200                                                                                   ";"(+385 21) 348 163                                                                                   ";"rektorat@unist.hr                                                                            ";"www.unist.hr                                                                                        ";"rektor prof. dr. sc. Dragan Ljutić"
260;"Akademija likovnih umjetnosti, Zagreb";"Sveučilište u Zagrebu";"Umjetnička akademija";"Znanstvena ustanova i visoko učilište";"Ilica 85                                                    ";"ZAGREB";"(+385 1) 3777-300                                                                                   ";"(+385 1) 3773 401                                                                                   ";"alu@alu.hr                                                                                      ";"www.alu.unizg.hr";"dekan izv. prof. art. Tomislav Buntak"
264;"Akademija dramske umjetnosti, Zagreb";"Sveučilište u Zagrebu";"Umjetnička akademija";"Znanstvena ustanova i visoko učilište";"Trg Republike Hrvatske 5                                        ";"ZAGREB";"(+385 1) 4828 506; 4828 507";"(+385 1) 4828 508";"dekanat@adu.hr";"www.adu.unizg.hr";"dekanica dr. sc. Franka Perković Gamulin"
309;"GENOS d.o.o.";"";"Ostale znanstvenoistraživačke pravne osobe";"Znanstvena ustanova";"Trg Ljudevita Gaja 6, Osijek";"OSIJEK";"(+385 31) 251-044";"(+385 31) 251-005";"info@genos.hr";"www.genos.hr";"predsjednik prof.dr.sc. Gordan Lauc"
312;"Sveučilište u Zagrebu";"";"Sveučilište";"Znanstvena ustanova i visoko učilište";"Trg Republike Hrvatske 14";"ZAGREB";"(+385 1) 4564 111; 4564 233; 255                                                                   ";"(+385 1) 4830 602; 4564 108                                                            ";"unizginfo@unizg.hr; rector@unizg.hr                                                              ";"www.unizg.hr";"rektor prof. dr. sc. Damir Boras"
315;"Kineziološki fakultet, Split ";"Sveučilište u Splitu";"Fakultet";"Znanstvena ustanova i visoko učilište";"Ulica Nikole Tesle 6";"SPLIT";"(+385 21) 302 440";"(+385 21) 385 382";"dekanat@kifst.hr";"www.kifst.unist.hr";"dekan prof. dr. sc. Damir Sekulić"
316;"Sveučilište u Rijeci, Odjel za fiziku ";"Sveučilište u Rijeci";"Sveučilišni odjel";"Znanstvena ustanova i visoko učilište";"Radmile Matejčić 2";"RIJEKA";"+385 51 584 600";"+385 51 584 649";"fizika@phy.uniri.hr";"phy.uniri.hr";"pročelnik izv. prof. dr. sc. Marin Karuza"
317;"Sveučilište u Rijeci";"";"Sveučilište";"Znanstvena ustanova i visoko učilište";"Trg braće Mažuranića 10";"RIJEKA";"(+385 51) 406 500                                                                                   ";"(+385 51) 406 588                                                               ";"ured@uniri.hr                                                                                       ";"www.uniri.hr                                                                                        ";"rektorica prof. dr. sc. Snježana Prijić-Samaržija"
318;"Sveučilište u Rijeci - Odjel za informatiku";"Sveučilište u Rijeci";"Sveučilišni odjel";"Znanstvena ustanova i visoko učilište";"Radmile Matejčić 2";"RIJEKA";"(+385 51) 345 034";"(+385 51) 345 207";"ured@inf.uniri.hr ";"www.inf.uniri.hr";"pročelnica izv. prof. dr. sc. Patrizia Poščić"
319;"Sveučilište u Rijeci - Odjel za matematiku";"Sveučilište u Rijeci";"Sveučilišni odjel";"Znanstvena ustanova i visoko učilište";"Radmile Matejčić 2";"RIJEKA";"(+385 51) 345 046, 050, 052";"(+385 51) 345 207";"math@math.uniri.hr";"www.math.uniri.hr";"pročelnik prof. dr. sc. Dean Crnković"
321;"Visoko učilište Algebra, Zagreb ";"";"Visoka škola";"Znanstvena ustanova i visoko učilište";"Ilica 242";"ZAGREB";"(+385 1) 2222 182";"(+385 1) 2222 183";"info@racunarstvo.hr";"www.racunarstvo.hr";"dekan dr. sc. Mislav Balković"
322;"RIT Croatia, Dubrovnik ";"";"Visoka škola";"Znanstvena ustanova i visoko učilište";"Don Frana Bulića 6";"DUBROVNIK";"(+385 20) 433 000 ";"(+385 20) 433 001";"ritcroatia@croatia.rit.edu ";"www.croatia.rit.edu";"dekan mr. sc. Donald Hudspeth"
