"Naziv";"Adresa";"Postanski Broj";"Mjesto";"Zupanija";"Telefon";"e Posta"
"Program predškolskog odgoja pri OŠ Zagvozd";"Trg Zabiokovskih junaka Domovinskog rata 4";"21270";"Zagvozd";"Splitsko-dalmatinska županija ";"021/847-015";"ravnatelj@os-zagvozd.skole.hr"
"Dječji vrtić ""Loptica""";"Brune Bušića bb";"21260";"Imotski";"Splitsko-dalmatinska županija ";"021/842-300";"dvrticloptica@gmail.com"
"Dječji vrtić ""Mrvica""";"Petra Jakšića 3";"21400";"Supetar";"Splitsko-dalmatinska županija ";"021/630-080";"djecji.vrtic.mrvica@st.t-com.hr"
"Dječji vrtić ""Selca""";"Šetalište Rajka Štam";"21425";"Selca";"Splitsko-dalmatinska županija ";"021/622-102";"ravnateljica@djecjivrticselca.hr"
"Dječji vrtić ""Pučišća""";"Park hrvatskih branitelja 1";"21412";"Pučišća";"Splitsko-dalmatinska županija ";"021/633-391";"pucisca.vrtic@gmail.com"
"Dječji vrtić ""Vanđela Božitković""";"Ul. Hanibala Lucića 3";"21450";"Hvar";"Splitsko-dalmatinska županija ";"021/742-833    021/741-837";"ravnateljica.vrtichvar@gmail.com"
"Dječji vrtić ""Sardelice""";"Pape Ivana Pavla II ";"21460";"Stari Grad";"Splitsko-dalmatinska županija ";"021/765-118";" djecji.vrtic.sardelice@st.t-com.hr"
"Dječji vrtić ""Jelsa""";"Jelsa 194";"21465";"Jelsa";"Splitsko-dalmatinska županija ";"021/761-266";"djecji.vrtic.jelsa@st.t-com.hr"
"Dječji vrtić ""Komiža""";"Gornji put 14a";"21485";"Komiža";"Splitsko-dalmatinska županija ";"021/713-035";"dv-komiza@st.t-com.hr"
"Dječji vrtić ""Biokovsko zvonce""";"Molizanskih Hrvata 2";"21300";"Makarska";"Splitsko-dalmatinska županija ";"021/690-444,021/691-014";"ravnatelj@dv-biokovskozvonce.hr"
"Dječji vrtić ""Ježić""";"Podspiline 2";"21320";"Baška Voda";"Splitsko-dalmatinska županija ";"021/620 444";"djecji.vrtic.jezic.baska.voda@st.t-com.hr"
"Dječji vrtić ""Brela""";"Trg žrtava domovinsk";"21320";"Brela";"Splitsko-dalmatinska županija ";"021/ 618 660";"antonija.ivanac@gmail.com"
"Dječji vrtić ""Gradac""";"Jadranska cesta 107a";"21334";"Gradac";"Splitsko-dalmatinska županija ";"021/697-520";"dvgradac@gmail.com"
"Dječji vrtić ""Morski Konjić""";"Put sv. Vicenca 1";"21327";"Podgora";"Splitsko-dalmatinska županija ";"021/625-622";"dv.morski.konjic@gmail.com"
"DV ""Milna""";"Milna bb";"21405";"Milna";"Splitsko-dalmatinska županija ";"021/636-115";"dv.milna@gmail.com"
"Dječji vrtić ""Sutivan""";"Kala o'konguli 2";"21400";"Sutivan";"Splitsko-dalmatinska županija ";"021/638-470";"dvsutivan@gmail.com"
"Dječji vrtić ""Grdelin""";"Polježice 4";"21410";"Postira";"Splitsko-dalmatinska županija ";"021/632-775";"dv.grdelin@gmail.com"
"Dječji vrtić ""Mali Princ""";"Uz pjacu 17";"21420";"Bol";"Splitsko-dalmatinska županija ";"021/635 357";"opcina.bol@st.t-com.hr"
"Dječji vrtić ""Pčelica""";"Matice hrvatske 13";"21276";"Vrgorac";"Splitsko-dalmatinska županija ";"021/674-228";"pcelica5555@gmail.com"
"Dječji vrtić ""Montessori Dječja kuća""";"Viška ulica 7";"21000";"Split";"Splitsko-dalmatinska županija ";"091/4423321";"montessori.djecja.kuca.split@gmail.com"
"Dječji vrtić ""Disneyland""";"Pujanke 22";"21000";"Split";"Splitsko-dalmatinska županija ";"098274207";"ivanka_vukorepa0507@net.hr"
"Dječji vrtić ""Calimero""";"Vrazova 31";"21000";"Split";"Splitsko-dalmatinska županija ";"021/473-730";"calimero@st.t-com.hr"
"Dječji vrtić ""Duga""";"Put Skalica 47";"21000";"Split";"Splitsko-dalmatinska županija ";"021/207-081";"brankica.padovan@gmail.com"
"DV ""Princeza""";"Ul. Ivana Kukuljevića Sakcinskog 5";"21000";"Split";"Splitsko-dalmatinska županija ";"021/567-234";"djecji.vrtic.princeza@gmail.com"
"Dječji vrtić ""Kremenko""";"Put Svetog Lovre 20";"21000";"Split";"Splitsko-dalmatinska županija ";"021/320-689";"info@kremenkovrtic.hr"
"Dječji vrtić ""Čarobni Pianino"" ";"Ul. Velimira Terzića 9 ";"21000";"Split";"Splitsko-dalmatinska županija ";"091/3956741";"dv.carobnipianino@gmail.com"
"Dječji vrtić ""Veseli kutak""";"Klanci 1";"21311";"Stobreč";"Splitsko-dalmatinska županija ";"021/326-200";"zlatkogale@gmail.com, antonela.pijevac@st.t-com.hr, antonela.pjevac@gmail.com"
"Dječji vrtić ""Antonija""";"Cetinska 17";"21311";"Stobreč";"Splitsko-dalmatinska županija ";"021/325-454";"dvantonija@hotmail.com"
"Dječji vrtić ""Hugo""";"Ulica baruna Franje Trenka 39";"21000";"Split";"Splitsko-dalmatinska županija ";"021/326-888";"djecjivrtichugo@hotmail.com"
"Dječji vrtić ""Pipi Duga Čarapa""";"Ulica Kralja Zvonimira 75";"21210";"Solin";"Splitsko-dalmatinska županija ";"021/245-036";"pipi-solin@net.hr"
"Dječji vrtić Dobri";"Ćiril Metodova ulica 14";"21000";"Split";"Splitsko-dalmatinska županija ";"021/487-168";"vrticdobri@gmail.com"
"Dječji vrtić ""Sv. Pavla Apostola""";"Pujanke 14";"21000";"Split";"Splitsko-dalmatinska županija ";"021/376-480";"sv.pavlaapostola@gmail.com"
"DV ""Mali Isus""";"Don Klementa Tadina 17";"21214";"Kaštel Kambelovac";"Splitsko-dalmatinska županija ";"021/262 152";"dvmisus@gmail.com"
"Dječji vrtić ""Vrtuljak""";"Doverska 22";"21000";"Split";"Splitsko-dalmatinska županija ";"021/467-920";"djecjivrtic.vrtuljak@yahoo.com"
"Dječji vrtić ""Smokvica""";"Put Duilova 8b";"21000";"Split";"Splitsko-dalmatinska županija ";"021 316 922, 098/958-92-43";"dv.smokvica0@gmail.com"
"Dječji vrtić ""Trilj""";"Sv. Mihovila 54A";"21240";"Trilj";"Splitsko-dalmatinska županija ";"021832333";"dvtrilj1@net.hr"
"Dječji vrtić ""Pčelica Maja""";"Pujanke 32";"21000";"Split";"Splitsko-dalmatinska županija ";"021/377-688";"dvpcelicamaja@gmail.com"
"Dječji vrtić ""Zvončić""";"Trg dr. Franje Tuđma";"21236";"Vrlika";"Splitsko-dalmatinska županija ";"021/827-022";"vrtic.zvoncic@gmail.com"
"Waldorfski dječji vrtić ""Iskrica""";"Put Trstenika 1";"21000";"Split";"Splitsko-dalmatinska županija ";"021/465-193";"waldorfskivrticiskrica@gmail.com"
"Dječji vrtić ""Mali Cvijetak""";"Ulica Gradišćanskih Hrvata 20";"21000";"Split";"Splitsko-dalmatinska županija ";"021/276398; 021/276398";"malicvijetaksplit@gmail.com"
"Program predškolskog odgoja pri OŠ Zmijavci";"Dr. Franje Tuđmana 1";"21260";"Zmijavci";"Splitsko-dalmatinska županija ";"021/840 163";"ured@os-zmijavci.skole.hr"
"Dječji vrtić ""Ana""";"Kraj 42a";"21232";"Kraj";"Splitsko-dalmatinska županija ";"021/837-268";"dvana-dicmo@net.hr"
"Dječji vrtić - Scuola dell' infanzia Rin Tin Tin Pula-Pola";"Glavinićev uspon 4a";"52100";"Pula";"Istarska županija ";"052 522 702";"direttrice@rintintin.hr; pedagogista@rintintin.hr; segretaria@rintintin.hr "
"Dječji vrtić ""Tičići""";"Emonijska 6";"52466";"Novigrad";"Istarska županija ";"052/757-965";"dv-ticici@pu.t-com.hr"
"Dječji vrtić ""Sretno dijete""";"Hrvace  309A";"21233";"Hrvace";"Splitsko-dalmatinska županija ";"021 829 035";"sretno.dijete.hrvace@st.t-com.hr"
"Dječji vrtić ""Grdelin""";"II. istarske brigade 19";"52420";"Buzet";"Istarska županija ";"052/622-614";"info@grdelin-buzet.hr"
"Dječji vrtić ""Pjerina Verbanac""";"Prilaz Kršin 2";"52220";"Labin";"Istarska županija ";"052/856-550";"ravnateljica@dvlabin.hr"
"Dječji vrtić ""Olga Ban""";"Prolaz Otokara Keršovanija 1";"52000";"Pazin";"Istarska županija ";"052/622-519";"vrtic-pazin@pu.t-com.hr; tajnistvo@vrtic-olgaban-pazin.hr "
"DJEČJI VRTIĆ ""RADOST"" POREČ-PARENZO";"Ulica Rade Končara 7";"52440";"Poreč - Parenzo";"Istarska županija ";"052/431-062";"tajnistvo@radost.t-com.hr"
"Dječji vrtić ""Paperino""";"Matka Laginje 6";"52440";"Poreč - Parenzo";"Istarska županija ";"052/434-760   052/422-441";"direzione.paperino@gmail.com; segreteria.paperino@gmail.com"
"Dječji vrtić ""Tići""";"Aldo Negri 46";"52450";"Vrsar";"Istarska županija ";"052 441 506";"ravnatelj@vrtic-tici-vrsar.hr"
"Dječji vrtić ""Bubamara-Coccinella""";"Ližnjan 147";"52204";"Ližnjan";"Istarska županija ";"052/574-669";"bubamara.liznjan@gmail.com"
"Dječji vrtić ""Ciciban""";"Vladimira Vidrića 2";"10410";"Velika Gorica";"Zagrebačka županija ";"3877-324";"ravnateljica@dv-ciciban-vg.hr"
"Dječji vrtić ""Velika Gorica""";"Josipa Pucekovića 2";"10410";"Velika Gorica";"Zagrebačka županija ";"01/6260-661";"ravnateljica@vrtic-vg.hr"
"Dječji vrtić ""Dubrava""";"Radnička 8";"10342";"Dubrava";"Zagrebačka županija ";"2725-053; 098/981-8737";"vrtic.dubrava@gmail.com"
"Dječji vrtić ""Proljeće""";"Bocakova 7";"10380";"Sveti Ivan Zelina";"Zagrebačka županija ";"2060-713";"tajnistvo.dvproljece@zelina.hr"
"Dječji vrtić ""Vrbovec""";"7. svibnja 12a";"10340";"Vrbovec";"Zagrebačka županija ";"2791-349";"ravnatelj.dvvrbovec@gmail.com"
"Dječji vrtić ""Maslačak""";"Hrvatske mladeži 4";"10290";"Zaprešić";"Zagrebačka županija ";"3310-434";"ravnatelj@maslacak-zapresic.hr"
"Dječji vrtić ""Vrtuljak""";"Mokrička 59";"10290";"Zaprešić";"Zagrebačka županija ";"01/3310-455, 01/ 4001-090";"dv.vrtuljak.ravnatelj@gmail.com"
"Dječji vrtić ""Radost""";"Braće Radića 10";"10450";"Jastrebarsko";"Zagrebačka županija ";"6281-241";"djecji.vrtic.radost1@zg.t-com.hr"
"Dječji vrtić Grigor Vitez";"Ulica Ivana Perkovca 88/1";"10430";"Samobor";"Zagrebačka županija ";"013361 779      01 3360 530";"dvgv.tajnistvo@gmail.com"
"Dječji vrtić ""Pikulica""";"Modruška 19";"10000";"Zagreb";"Grad Zagreb";"091 572 08 12";"info@pikulica.com"
"Dječji  vrtić  ""Slavuj""";"Obrtnička 13";"10434";"Strmec";"Zagrebačka županija ";"3384-722";"d.v.slavuj@zg.t-com.hr"
"Dječji vrtić ""Dugo Selo""";"Perivoj Ivane Brlić Mažuranić 2";"10370";"Dugo Selo";"Zagrebačka županija ";"01 2753 418";"tajnistvo@dvds.hr"
"Dječji vrtić ""Buba Biba""";"Kalnička 2";"10370";"Dugo Selo";"Zagrebačka županija ";"01/2756-258";"djecji.vrtic.buba.biba1@zg.t-com.hr"
"Dječji vrtić ""Ivanić Grad""";"Park hrvatskih branitelja 3";"10310";"Ivanić-Grad";"Zagrebačka županija ";"012889-299";"ravnatelj.vrtic.ivanic@gmail.com"
"Dječji vrtić ""Križ""";"Školska bb";"10314";"Križ";"Zagrebačka županija ";"01/2824528";"vrtickriz@gmail.com"
"Dječji vrtić ""Proljeće""";"Naftaplinska 23/a";"10310";"Kloštar Ivanić";"Zagrebačka županija ";"01 / 2892-545";"djecji.vrtic1@zg.t-com.hr"
"Dječji vrtić ""Rožica""";"AUGUSTA ŠENOE 3";"49214";"Veliko Trgovišće";"Krapinsko-zagorska županija ";"049/236-844";"djecji.vrtic.rozica@kr.t-com.hr"
"Dječji vrtić ""Izvor""";"Gustava Krkleca 2";"10430";"Samobor";"Zagrebačka županija ";"01 3362 033";"dv.izvor.samobor@gmail.com"
"Dječji vrtić ""Didi""";"Krašić 4d";"10454";"Krašić";"Zagrebačka županija ";"2750-912";"tajnistvo.didi@gmail.com"
"Dječji vrtić ""Osmijeh""";"Hrastina 36";"10430";"Samobor";"Zagrebačka županija ";"01/3380-195";"djecji.vrtic.osmijeh@zg.t-com.hr"
"Dječji vrtić ""Linigra""";"Svetonedeljska 7";"10431";"Sveta Nedelja";"Zagrebačka županija ";"3779-789; 3324-796 ; 091/37563";"ured@linigra.hr ; zeljka.duranac@yahoo.com"
"DV Waldorfski ""NEVEN""";"Eugena Kvaternika 15";"10430";"Dubrava Samoborska";"Zagrebačka županija ";"01 3326 989";"waldorfski.djecji.vrtic.neven@zg.t-com.hr"
"Dječji vrtić ""Smokvica""";"Matije Gupca 92";"10290";"Pojatno";"Zagrebačka županija ";"01-3393-471";"info@vrtic-smokvica.hr"
"Dječji vrtić ""Točkica""";"Josipa Malekovića 22";"10290";"Zaprešić";"Zagrebačka županija ";"091/5349-473";"klara.cicak@gmail.com"
"Dječji vrtić ""Bambi""";"Bana Josipa Jelačića 1";"10291";"Trstenik";"Zagrebačka županija ";"01/3315460, 098/828-594";"djecji.vrtic.bambi@zg.t-com.hr"
"Dječji vrtić ""Gustav Krklec""";"Magistratska 11/1";"49000";"Krapina";"Krapinsko-zagorska županija ";"049/371-138";"info@vrtic-gustav-krklec-krapina.hr "
"Dječji vrtići ""Balončica""";"Hum na Sutli bb";"49231";"Hum na Sutli";"Krapinsko-zagorska županija ";"049 341-143";"ravnateljica@djecji-vrtic-baloncica.hr"
"Dječji vrtić ""Naša radost""";"Stjepana Škreblina 1";"49218";"Pregrada";"Krapinsko-zagorska županija ";"049/377-489";"nasaradost.pregrada@gmail.com"
"Dječji vrtić ""Uzdanica""";"Ulica kralja Petra Krešimira 6";"49250";"Zlatar";"Krapinsko-zagorska županija ";"049/466-120";"uzdanica@net.hr"
"Dječji vrtić ""Maslačak""";"Toplička ulica 34";"49217";"Krapinske Toplice";"Krapinsko-zagorska županija ";"049/232-838";"djecji.vrtic.maslacak@kr.t-com.hr"
"Dječji vrtić ""Zlatni dani""";"Lovrečanska 16";"49247";"Zlatar-Bistrica";"Krapinsko-zagorska županija ";"049 461 031";"djecji.vrtic@zlatar-bistrica.hr"
"Dječji vrtić ""Pušlek""";"Zagrebačka 15";"49246";"Marija Bistrica";"Krapinsko-zagorska županija ";"049/468-297";"djecji.vrtic.puslek@kr.t-com.hr"
"Dječji vrtić Zipkica";"Stjepana Radića 15";"49210";"Zabok";"Krapinsko-zagorska županija ";"049/221-599";"dv-zipkica@kr.t-com.hr"
"Dječji vrtić ""Kesten""";"Ružmarinska ulica 18";"49290";"Klanjec";"Krapinsko-zagorska županija ";"049/550-161, 099/841-2999";"dvkesten@gmail.com"
"Dječji vrtić ""Konjščina""";"Pionirska 2";"49282";"Konjščina";"Krapinsko-zagorska županija ";"049 465-100";"dv-konjscina@post.ht.hr"
"Dječji vrtić ""Cvrkutić""";"Ulica Antuna Mihanovića 6";"49243";"Oroslavje";"Krapinsko-zagorska županija ";"049/285-640";"cvrkutic@h-1.hr"
"Dječji vrtić ""Bubamara""";"Toplička 27";"49240";"Donja Stubica";"Krapinsko-zagorska županija ";"049/287-724";"djecji.vrtic.bubamara@kr.t-com.hr"
"Dječji vrtić ""Bedekovčina""";"Ljudevita Gaja 13";"49221";"Bedekovčina";"Krapinsko-zagorska županija ";"049/214-875";"djecji.vrtic.bedekovcina@kr.t-com.hr"
"Dječji vrtić ""Tratinčica""";"Ratkajeva 6";"49216";"Desinić";"Krapinsko-zagorska županija ";"049/343-279";"ravnateljica@djecji-vrtic-tratincica.hr"
"Dječji vrtić ""Mali Kaj""";"I. G. Kovačića 13";"49000";"Krapina";"Krapinsko-zagorska županija ";"01/3356226 ; 095/1211012";"domagoj.mali.kaj@gmail.com"
"Program predškolskog odgoja pri OŠ Sveti Križ Začretje";"Školska 5";"49223";"Sveti Križ Začretje";"Krapinsko-zagorska županija ";"049/228 390;091/227 968";"ured@os-sveti-kriz-zacretje.skole.hr"
"Dječji vrtić ""Jaglac""";"Antuna Mihanovića 8";"49295";"Kumrovec";"Krapinsko-zagorska županija ";"049/553-196, 099/2208440";"jaglac.vrtic@gmail.com"
"Program predškolskog odgoja pri OŠ Vladimira Nazora";"Budinščina 18c";"49284";"Budinšćina";"Krapinsko-zagorska županija ";"049/459-113";"ured@os-vnazor-budinscina.skole.hr"
"Program predškolskog odgoja pri OŠ Matije Gupca Gornja Stubica";"Matije Gupca 2";"49245";"Gornja Stubica";"Krapinsko-zagorska županija ";"049 289 164";"osmggs@os-mgupca-gornjastubica.skole.hr"
"Program predškole pri OŠ Ljudevita Gaja";"Mihovljan bb";"49252";"Frkuljevec Mihovljanski";"Krapinsko-zagorska županija ";"049/435-420";"os-mihovljan@os-ljgaj-mihovljan.hr"
"Program predškole pri OŠ Lijepa naša";"Tuhelj 54";"49215";"Tuhelj";"Krapinsko-zagorska županija ";"049/556-218";"ured@os-lijepa-nasa-tuhelj.skole.hr"
"Program predškole pri OŠ Mače";"Mače 32";"49251";"Mače";"Krapinsko-zagorska županija ";"049/466-584";"ured@os-mace.skole.hr"
"Dječji vrtić ""Kockica""";"Ulica admirala Jakova Šubića de Cesana 25J";"23000";"Zadar";"Zadarska županija ";"023/647 277";"dv.kockica@gmail.com"
"Program predškole pri OŠ F. Horvata Kiša";"Trg sv. Ane 28";"49253";"Lobor";"Krapinsko-zagorska županija ";"049/430-020, 501-200";"ured@os-fhorvata-kisa-lobor.skole.hr"
"Dječji vrtić ""Sunčica""";"Tkalci 65";"49000";"Krapina";"Krapinsko-zagorska županija ";"049/354-235";"djecji.vrtic.suncica@kr.t-com.hr"
"Program predškole pri OŠ Pavla Štoosa";"Kraljevec na Sutli 125";"49294";"Kraljevec na Sutli";"Krapinsko-zagorska županija ";"049/554-086";"skola@os-pstoosa-kraljevecnasutli.skole.hr"
"Dječji vrtić ""Sisak Stari""";"Lonjska ulica 19";"44000";"Sisak";"Sisačko-moslavačka županija ";"044/400-315";"dvsisakstari@optinet.hr"
"Dječji vrtić ""Sisak novi""";"Ulica hrvatskog narodnog preporoda 33";"44000";"Sisak";"Sisačko-moslavačka županija ";"044/537-839";"djecjivrtic.sisaknovi@sk.t-com.hr"
"Dječji vrtić ""Kutina""";"Augusta Cesarca 4a";"44320";"Kutina";"Sisačko-moslavačka županija ";"044/631-333, 631-300";"vrtic-kutina@sk.t-com.hr"
