"Šifra";"Naziv";"Županija";"Poštanski Broj";"Mjesto";"Adresa";"Tip Ustanove";"Osnivač";"Ravnatelj";"Telefon";"Faks";"e Pošta";"Web"
"21-114-147";"CENTAR ZA ODGOJ I OBRAZOVANJE ""Slava Raškaj"" Zagreb";"Grad Zagreb županija";"10000";"Zagreb";"VLADIMIRA NAZORA 47";"Osnovna škola, Posebna ustanova odgoja i obrazovanja, Srednja škola";"Ministarstvo za demografiju, obitelj, mlade i socijalnu skrb";"Jelena  Grabovac";"01/482-12-01, 482-12-02, 01/482-12-04, 01/3764800 (Dislocirana jedinica Zagreb, Ilica)";"01/4875977, 01/37-64-800 (Dislocirana jedinica Zagreb, Ilica)";"ured@centar-sraskaj-zg.skole.hr";"http://centar-sraskaj-zg.skole.hr"
"21-114-149";"Centar za odgoj i obrazovanje Dubrava";"Grad Zagreb županija";"10000";"Zagreb";"PRILAZ TOMISLAVA ŠPOLJARA 2";"Posebna ustanova odgoja i obrazovanja, Srednja škola";"Ministarstvo za demografiju, obitelj, mlade i socijalnu skrb";"Liliana  Kalčić Galeković";"01/291-16-65, 291-16-73, 291-16-67, 01/291-16-65, 01/291-16-67, 01/291-16-65";"01/291-16-73, 01/291-16-67";"centar-dubrava@zg.t-com.hr";""
"01-020-501";"Srednja škola Dugo Selo";"Zagrebačka županija";"10370";"Dugo Selo";"FERENČAKOVA 25";"Srednja škola";"Zagrebačka županija";"Darinka  Svetec";"01/275-60-01, 01/275-60-00";"01 2756001";"ured@ss-dugo-selo.skole.hr";"http://ss-dugo-selo.skole.hr/"
"01-032-501";"Srednja škola Ivan Švear Ivanić Grad";"Zagrebačka županija";"10310";"Ivanić-Grad              ";"Školska 12";"Srednja škola";"Zagrebačka županija";"Ksenija  Pavlović";"01/288-89-92, 01/288-89-92";"01/288-89-93";"isvear@ssivanic.hr";"www.ssivanic.hr"
"01-033-501";"SREDNJA ŠKOLA JASTREBARSKO";"Zagrebačka županija";"10450";"Jastrebarsko";"VEĆESLAVA HOLJEVCA 11";"Srednja škola";"Zagrebačka županija";"Đurđica  Lončarić";"01/628-14-84, 01/628-35-44";"01/6271169";"srednja.skola.jastrebarsko@gmail.com, srednja.jastrebarsko@skole.hr";"www.ss-jastrebarsko.skole.hr"
"01-073-501";"EKONOMSKA, TRGOVAČKA I UGOSTITELJSKA ŠKOLA";"Zagrebačka županija";"10430";"Samobor";"Andrije Hebranga 26";"Srednja škola";"Zagrebačka županija";"Mirjana  Kroflin";"01/336-03-23/1, 01/336-03-23/4, 01/332-42-90";"01/336-00-06";"ravnatelj@ss-ekonomska-trgovacka-ugostiteljska-samobor.skole.hr, ured@ss-ekonomska-trgovacka-ugostiteljska-samobor.skole.hr";""
"01-073-502";"GIMNAZIJA ANTUNA GUSTAVA MATOŠA";"Zagrebačka županija";"10430";"Samobor";"Andrije Hebranga 26";"Srednja škola";"Zagrebačka županija";"Franjo  Bedeničić";"01/336-04-01, 01/3324-292";"01/336-04-01";"agmatos@gimnazija-agmatos-samobor.skole.hr";""
"01-073-503";"SREDNJA STRUKOVNA ŠKOLA";"Zagrebačka županija";"10430";"Samobor";"ANDRIJE HEBRANGA 26";"Srednja škola";"Zagrebačka županija";"Davor  Škiljan";"01/336-52-00, 01/336-52-00, 01/336-10-80";"01/336-52-00";"srednja-strukovna-skola@zg.t-com.hr";""
"01-087-501";"Ekonomska škola Velika Gorica";"Zagrebačka županija";"10410";"Velika Gorica";"KRALJA STJEPANA TOMAŠEVIĆA 21";"Srednja škola";"Zagrebačka županija";"Vesna  Brkljačić";"01/626-52-39, 01/626-52-49, 01/626-52-48";"01/626-52-39";"ured@ss-ekonomska-velikagorica.skole.hr";""
"01-087-502";"GIMNAZIJA VELIKA GORICA";"Zagrebačka županija";"10410";"Velika Gorica";"ULICA KRALJA STJEPANA TOMAŠEVIĆA 21";"Srednja škola";"Zagrebačka županija";"Brankica  Žugaj";"01/6221-370, 01/6265-244";"01/6221-370";"ured@gimnazija-velika-gorica.skole.hr";"http://www.gimnazija-velika-gorica.skole.hr/"
"01-087-503";"SREDNJA STRUKOVNA ŠKOLA VELIKA GORICA";"Zagrebačka županija";"10410";"Velika Gorica";"ULICA KRALJA STJEPANA TOMAŠEVIĆA 21";"Srednja škola";"Zagrebačka županija";"Stjepan  Kos";"01/622-22-56, 01/622-22-33, 6251-800";"01/622-21-13";"ured@sss-vg.hr";""
"01-087-504";"Zrakoplovna tehnička škola Rudolfa Perešina";"Zagrebačka županija";"10410";"Velika Gorica";"Rudolfa Fizira 6";"Srednja škola";"Zagrebačka županija";"Vedran  Šarac";"01/6260 523, 01/6260 526";"01/3817 076";"ured@ss-zrakoplovna-rperesina-vg.skole.hr";"http://ss-zrakoplovna-rperesina-vg.skole.hr"
"01-094-501";"SREDNJA ŠKOLA VRBOVEC";"Zagrebačka županija";"10340";"Vrbovec";"7. SVIBNJA 2";"Srednja škola";"Zagrebačka županija";"Mirjana  Pušić";"01/279-11-09, 01/279-10-49, 01/279-31-21";"01/279-11-09";"ured@ss-vrbovec.skole.hr";""
"01-108-501";"Srednja škola Ban Josip Jelačić";"Zagrebačka županija";"10290";"Zaprešić";"TRG DR FRANJE TUĐMANA 1";"Srednja škola";"Zagrebačka županija";"Alan  Labus";"01/339-99-84, 01/339-99-84";"01/339-99-83";"ured@ss-ban-jjelacic-zapresic.skole.hr";""
"01-109-501";"Srednja škola Dragutina Stražimira";"Zagrebačka županija";"10380";"Sveti Ivan Zelina";"Gundulićeva 2a";"Srednja škola";"Zagrebačka županija";"Martina  Zerec";"01/2060-047, 01/2060-622, 01/2060-047";"01/2060-622";"ured@ss-dstrazimira-svetiivanzelina.skole.hr";"http://ss-dstrazimira-svetiivanzelina.skole.hr/"
"02-040-501";"SREDNJA ŠKOLA KRAPINA";"Krapinsko-zagorska županija";"49000";"Krapina";"ŠETALIŠTE HRVATSKOG NARODNOG PREPORODA 6";"Srednja škola";"Krapinsko-zagorska županija";"Ivica  Rozijan";"049/382-111, 049/382-111, 049/382-100, 049/382-112 zbornica, 049/382-117, 049/382-101, 049/382-123";"049/382-113";"ured@ss-krapina.skole.hr";""
"02-097-501";"SREDNJA ŠKOLA ZABOK";"Krapinsko-zagorska županija";"49210";"Zabok";"IVANA I CVIJETE HUIS 2";"Srednja škola";"Krapinsko-zagorska županija";"Draženka  Jurec";"049/221-018, 049/500-142, 049/226-577, 049/221-018";"049/221-018";"srednjao@inet.hr";""
"02-097-502";"Škola za umjetnost, dizajn, grafiku i odjeću Zabok";"Krapinsko-zagorska županija";"49210";"Zabok";"Prilaz prof. Ivana Vrančića 5";"Srednja škola, Umjetnička škola";"Krapinsko-zagorska županija";"Božica  Šarić";"049/221-620, 049/221-205, 049/221-174, 049/221-169";"049/221-147";"ured@ss-sudigo-zabok.skole.hr";""
"02-097-503";"GIMNAZIJA ANTUNA GUSTAVA MATOŠA";"Krapinsko-zagorska županija";"49210";"Zabok";"Prilaz Janka Tomića 2";"Srednja škola";"Krapinsko-zagorska županija";"Bibijana  Šlogar";"049/587-655, 049/587-661, 049/587-667, 049/587-655";"049/503-382";"gimagm-zabok@gimagm.hr, ured@gimnazija-agmatos-zabok.skole.hr";""
"02-123-501";"SREDNJA ŠKOLA PREGRADA";"Krapinsko-zagorska županija";"49218";"Pregrada";"STJEPANA ŠKREBLINA 2";"Srednja škola";"Krapinsko-zagorska županija";"Vilmica  Kapac";"049/382-150, 049/382-151, 049/382-159, 049/382-156, 049/382-155, 049/382-154, 049/382-152";"";"knjiznica@ss.pregrada.hr, ravnateljica@ss.pregrada.hr, ss-pregrada@kr.t-com.hr, admin@ss-pregrada.skole.hr, ured@ss-pregrada.skole.hr, srednja.skola.pregrada@kr.t-com.hr";"www.ss-pregrada.skole.hr"
"02-167-501";"SREDNJA ŠKOLA BEDEKOVČINA";"Krapinsko-zagorska županija";"49221";"Bedekovčina";"Ljudevita Gaja 1 ";"Srednja škola";"Krapinsko-zagorska županija";"Vera  Hrvoj";"049/213-514, 213-994";"049/213-585";"sskola-bedekovcina@kr.t-com.hr, sskola-bedekovcina@kr.htnet.hr";""
"02-177-501";"SREDNJA ŠKOLA KONJŠĆINA";"Krapinsko-zagorska županija";"49282";"Konjščina";"MATIJE GUPCA 5";"Srednja škola";"Krapinsko-zagorska županija";"Milojka  Rataić";"049/465-141, 049/464-356, 049/465-084";"049/465-141";"ss-konjscina@kr.htnet.hr, ured@ss-konjscina.skole.hr";"www.ss-konjscina.skole.hr"
"02-183-501";"Srednja škola Oroslavje";"Krapinsko-zagorska županija";"49243";"Oroslavje";"LJ. Gaja 1";"Srednja škola";"Krapinsko-zagorska županija";"Natalija  Mučnjak";"+385 049/ 588 740, +385 049/ 588 745, +385 049/ 588 657, +385 049/ 588 654, +385 049/ 588 655, +385 049/ 588 744, +385 049/ 588 650, 098 981 51 56, 099 198 13 72, 098 981 51 57";"";"natalija.mucnjak@skole.hr, admin@ss-oroslavje.skole.hr, ured@ss-oroslavje.skole.hr";""
"02-189-501";"SREDNJA ŠKOLA ZLATAR";"Krapinsko-zagorska županija";"49250";"Zlatar";"BRAĆE RADIĆA 10";"Srednja škola";"Krapinsko-zagorska županija";"Zdenka  Rogina";"049/467-169, 049/467-169, 049/500-131, 049/467-813";"049/467-169";"ss-zlatar@kr.htnet.hr";""
"03-025-501";"Srednja škola Glina";"Sisačko-moslavačka županija";"44400";"Glina";"FRANKOPANSKA 30";"Srednja škola";"Sisačko-moslavačka županija";"Marija  Margušić-Novosel";"044/882-555, 044/880-677, 044/880-877, 044/880-876";"044/882-555";"ured@ss-glina.skole.hr";"http://www.ss-glina.skole.hr/"
"03-039-501";"Srednja škola Ivana Trnskoga";"Sisačko-moslavačka županija";"44430";"Hrvatska Kostajnica";"HRVATSKIH BRANITELJA 14";"Srednja škola";"Sisačko-moslavačka županija";"Olga  Mijočević";"044/554-421, 044/554-427";"044/554-428";"ured@ss-itrnskog-hrvatskakostajnica.skole.hr";"\twww.ss-itrnskog-hrvatskakostajnica.skole.hr"
"03-043-501";"SREDNJA ŠKOLA TINA UJEVIĆA";"Sisačko-moslavačka županija";"44320";"Kutina";"MATE LOVRAKA 3";"Srednja škola";"Sisačko-moslavačka županija";"Saša  Sambolek";"044/683-080, 044/683-077";"044 683 080";"ured@ss-tujevica-kt.skole.hr, ured@ss-tujevica-kt.skole.hr";"www.ss-tujevic-kt.skole.hr"
"03-043-502";"TEHNIČKA ŠKOLA KUTINA";"Sisačko-moslavačka županija";"44320";"Kutina";"HRVATSKIH BRANITELJA 6";"Srednja škola";"Sisačko-moslavačka županija";"Ante  Dževlan";"044/629 250, 044/681-918, 044/629254, 044/629251, 044/629252, 044/629255";"044/629259";"ured@ss-tehnicka-kt.skole.hr";""
"03-054-501";"SREDNJA ŠKOLA NOVSKA";"Sisačko-moslavačka županija";"44330";"Novska";"TINA UJEVIĆA 2/a";"Srednja škola";"Sisačko-moslavačka županija";"Nikolina  Fijačko Filipović";"044/600-045, 044/601-967";"044/600-045";"ss-novska@ss-novska.skole.hr";""
"03-066-501";"SREDNJA ŠKOLA PETRINJA";"Sisačko-moslavačka županija";"44250";"Petrinja";"GUNDULIĆEVA 3";"Srednja škola";"Sisačko-moslavačka županija";"Milan  Orlić";"044/812-141, 044/814-142";"044/812-141";"tajnistvo@ss-petrinja.skole.hr, ravnatelj@ss-petrinja.skole.hr";""
"03-076-501";"GIMNAZIJA SISAK";"Sisačko-moslavačka županija";"44000";"Sisak";"TRG HRVATSKIH BRANITELJA 1";"Srednja škola";"Sisačko-moslavačka županija";"Božidar  Dujmić";"044/525-944, 044/525-941, 044/544-168, 044/525-942, 044/525-945, 044/525-943";"044/525-944";"gimnazija.sisak@gmail.com";""
"03-076-502";"Industrijsko-obrtnička škola Sisak";"Sisačko-moslavačka županija";"44000";"Sisak";"MARIJANA CVETKOVIĆA 2";"Srednja škola";"Sisačko-moslavačka županija";"Slađana  Tadić";"044/537-218, 044/537-212";"044/538-962";"sladana.tadic@ss-industrijsko-obrtnicka-sk.skole.hr";""
"03-076-503";"Srednja škola Viktorovac";"Sisačko-moslavačka županija";"44000";"Sisak";"Aleja narodnih heroja 1";"Srednja škola";"Sisačko-moslavačka županija";"Koraljka  Porić";"044533376, 044526581, 044526585, 044526582, 044526584, 044526586";"044526588";"ured@ss-viktorovac-sk.skole.hr";""
"03-076-505";"Strukovna škola Sisak";"Sisačko-moslavačka županija";"44000";"Sisak";"LAĐARSKA 1";"Srednja škola";"Sisačko-moslavačka županija";"Ivica  Beloglavec";"044/530-606, 044/530-608";"044/530-608";"ured@ss-strukovna-sk.skole.hr";""
"03-076-506";"Tehnička škola Sisak";"Sisačko-moslavačka županija";"44000";"Sisak";"MARIJANA CVETKOVIĆA 2";"Srednja škola";"Sisačko-moslavačka županija";"Davor  Malović";"044/537-219, 044/538-909, 044/537-217, 044/537-335";"044/537-219";"tehnicka.sisak@ss-tehnicka-sk.skole.hr";""
"03-076-507";"EKONOMSKA ŠKOLA SISAK";"Sisačko-moslavačka županija";"44000";"Sisak";"KRALJA TOMISLAVA 19";"Srednja škola";"Sisačko-moslavačka županija";"Marina  Jovanić";"044/549-798, 044/549-799";"044/549-799";"ured@ss-ekonomska-sk.skole.hr";"ss-ekonomska-sk.skole.hr"
"03-202-501";"Srednja škola Topusko";"Sisačko-moslavačka županija";"44415";"Topusko";"ŠKOLSKA ULICA 14";"Srednja škola";"Sisačko-moslavačka županija";"Željka  Gajdek";"044/885-104, 044/811-931, 044/811-932, 044/811-933, 044/811-936";"044/811-939";"ured@ss-topusko.skole.hr";""
"04-019-501";"SREDNJA ŠKOLA DUGA RESA";"Karlovačka županija";"47250";"Duga Resa";"Jozefinska cesta 27";"Srednja škola";"Karlovačka županija";"Nikola  Mrzljak";"047/841-630, 047/841-630, 047/811-277";"047/841-631";"tajnistvo@ssdr.hr, s.skoladr@gmail.com";"http://ssdr.hr/"
"04-034-501";"GIMNAZIJA KARLOVAC";"Karlovačka županija";"47000";"Karlovac";"RAKOVAC 4";"Srednja škola";"Karlovačka županija";;"047/ 654-130, 047/654-132, 047/655-996, 047/654-131";"047/654-130";"kontakt@gimnazija-karlovac.hr";""
"04-034-504";"PRIRODOSLOVNA ŠKOLA KARLOVAC";"Karlovačka županija";"47000";"Karlovac";"STJEPANA MIHALIĆA 43";"Srednja škola";"Karlovačka županija";"Nenad  Klasan";"047/600-806, 047/613-002";"047/636-688";"ured@ss-prirodoslovna-ka.skole.hr";"http://www.ss-prirodoslovna-ka.skole.hr/"
"04-034-505";"EKONOMSKO - TURISTIČKA ŠKOLA";"Karlovačka županija";"47000";"Karlovac";"KURELČEVA 2";"Srednja škola";"Karlovačka županija";"Lidija  Mikšić";"047/614-596, 047/614-595, 047/614-597";"047/614-595, 614-596";"ured@ss-ekonomsko-turisticka-ka.skole.hr";""
"04-034-506";"ŠUMARSKA I DRVODJELJSKA ŠKOLA KARLOVAC";"Karlovačka županija";"47000";"Karlovac";"VATROGASNA CESTA 5";"Srednja škola";"Karlovačka županija";"Đurđica  Janjanin";"047/609-599, 047/609-591, 047/609-594";"047/611-175";"sum.skola-klc@ka.t-com.hr, ";""
"04-034-507";"MEDICINSKA ŠKOLA";"Karlovačka županija";"47000";"Karlovac";"DOKTORA ANDRIJE ŠTAMPARA 5";"Srednja škola";"Karlovačka županija";"Jasminka  Štajcer";"047/431-371, 047/431-304, 047 431 303, 047 600 808";"047/431-304";"medicinska.skola@ka.t-com.hr";"www.medicinska-skola-karlovac.hr"
"04-034-508";"TEHNIČKA ŠKOLA KARLOVAC";"Karlovačka županija";"47000";"Karlovac";"LJUDEVITA  JONKEA 2a";"Srednja škola";"Karlovačka županija";"Ivan  Janković";"047/615-805, 047/615-806, 047/615-808, 615-809, 613-450, 654-568";"047/615-805, 615-806";"tehnicka-skola-ka@ka.htnet.hr, tehnicka-skola-ka@ka.t-com.hr";""
"04-034-509";"TRGOVAČKO - UGOSTITELJSKA ŠKOLA";"Karlovačka županija";"47000";"Karlovac";"RADIĆEVA 8 i 10";"Srednja škola";"Karlovačka županija";"Damir  Pleša";"047/612-137, 047/612-136, 047/615-420";"047/612-137";"uprava@ss-trgovacko-ugostiteljska-ka.skole.hr, tus@ka.ht.hr";""
"04-034-510";"MJEŠOVITA INDUSTRIJSKO - OBRTNIČKA ŠKOLA";"Karlovačka županija";"47000";"Karlovac";"DOMOBRANSKA 2";"Srednja škola";"Karlovačka županija";"Snježana  Erdeljac";"047/615-578, 047/600-854, 047/600-858";"047/600-853";"ured@ss-mios-ka.skole.hr";"http://www.ss-mios-ka.skole.hr"
"04-056-501";"OBRTNIČKA I TEHNIČKA ŠKOLA OGULIN";"Karlovačka županija";"47300";"Ogulin";"Josipa Jurja Strossmayera 2";"Srednja škola";"Karlovačka županija";"Zrinka  Ceranić-Jurković";"047/522-931, 047/522-931, 047/098/461-650";"047/522-162";"otsog@otsog.hr, SS-OGULIN-501@skole.t-com.hr";"www.otsog.hr"
"04-056-503";"GIMNAZIJA BERNARDINA FRANKOPANA";"Karlovačka županija";"47300";"Ogulin";"STRUGA 3";"Srednja škola";"Karlovačka županija";"Sanja  Dubić";"047/522-573, 047/525-817";"047/811-422";"ured@gimnazija-bfrankopana-ogulin.skole.hr";"http://www.gimnazija-bfrankopana-ogulin.skole.hr/"
"04-079-501";"SREDNJA ŠKOLA SLUNJ";"Karlovačka županija";"47240";"Slunj";"ŠKOLSKA 22";"Srednja škola";"Karlovačka županija";"Diana  Cindrić";"047/777-503, 047/811-158, 098/246-087, 047/811-895, 047/811-896";"047/811-157";"ss-slunj@ss-slunj.skole.hr";"http://ss-slunj.skole.hr/"
"05-031-501";"Srednja škola Ivanec";"Varaždinska županija";"42240";"Ivanec";"EUGENA KUMIČIĆA 7";"Srednja škola";"Varaždinska županija";"Lidija  Kozina";"042/782-344, 042/782 344 (13)";"042/781-512";"info@ss-ivanec.hr, ured@ss-ivanec.skole.hr";"http://ss-ivanec.hr"
"05-086-501";"Prva gimnazija Varaždin";"Varaždinska županija";"42000";"Varaždin";"Petra Preradovića 14";"Srednja škola";"Varaždinska županija";"Janja  Banić";"042/302-122, 042/302-121, 042/302-123, 042/302-124, 302-125";"042/320-420";"ured@gimnazija-varazdin.skole.hr";"www.gimnazija-varazdin.hr"
"05-086-502";"Druga gimnazija Varaždin";"Varaždinska županija";"42000";"Varaždin";"Hallerova aleja 6a";"Srednja škola";"Varaždinska županija";"Zdravka  Grđan";"042/330-844, 042/330-756";"042/330-842";"info@gimnazija-druga-vz.skole.hr, 2gimnvz@gmail.com";"www.gimnazija-druga-vz.skole.hr"
"05-086-504";"Elektrostrojarska škola";"Varaždinska županija";"42000";"Varaždin";"Hallerova aleja 5";"Srednja škola";"Varaždinska županija";"Igor  Kos";"042/313-455, 042-313-498, 042-492-367, 042-201-120, 042-200-914, 042 492 - 366, 042 492 360, 042-492-370";"042/311-626";"ess@vz.t-com.hr, ess.vz@skole.hr";"http://www.ess.hr/"
"05-086-505";"Medicinska škola Varaždin";"Varaždinska županija";"42000";"Varaždin";"Vinka Međerala 11";"Srednja škola";"Varaždinska županija";"Mirjana  Grabar Kruljac";"042/492-001, 042/492-002, 042/492-000";"042/492-014";"ured@ss-medicinska-vz.skole.hr, ured@ss-medicinska-vz.skole.hr, mirjana.grabar-kruljac@medskvz.org";"www.medskvz.org"
"05-086-506";"Gospodarska škola Varaždin";"Varaždinska županija";"42000";"Varaždin";"Božene Plazzeriano 4, 42000 Varaždin/";"Srednja škola";"Varaždinska županija";"Katica  Kalogjera  Novak";"042/492-272, 042/492-271";"042/330-786";"gospodarska@ss-gospodarska-vz.skole.hr";""
"05-086-507";"STROJARSKA I PROMETNA ŠKOLA";"Varaždinska županija";"42000";"Varaždin";"HALLEROVA ALEJA 3a";"Srednja škola";"Varaždinska županija";"Milan  Žunar";"042/493-462, 042/493-460, 042/210-547;211-777, 042/493-461";"042/300-475";"sips@sips.hr";""
"05-086-508";"Srednja strukovna škola";"Varaždinska županija";"42000";"Varaždin";"BOŽENE PLAZZERIANO 4";"Srednja škola";"Varaždinska županija";"Dražen  Košćak";"042/492-255, 042/492-255, 042/492-255";"042/492-250";"sss@sss-vz.hr, sss@sss-vz.hr";""
"05-086-509";"Graditeljska, prirodoslovna i rudarska škola";"Varaždinska županija";"42000";"Varaždin";"HALLEROVA ALEJA 3";"Srednja škola";"Varaždinska županija";"Zoran  Hajek";"042/313-292, 042/210-507, 042/211-442";"042/200-508";"gprs@ss-gprs-vz.skole.hr";"www.rudarska.hr"
"05-086-515";"PRVA PRIVATNA GIMNAZIJA S PRAVOM JAVNOSTI VARAŽDIN";"Varaždinska županija";"42000";"Varaždin";"Frana Supila 22";"Srednja škola";"Zdenka Peričić, br.O.I. 15469700 MUP Varaždin";"Nives  Risek";"042/200-334, 042/200-335";"042/200-334";"privatna.gimnazija@vz.t-com.hr";""
"05-230-501";"Srednja škola ""Arboretum Opeka""";"Varaždinska županija";"42207";"Marčan";"Vinička 53";"Srednja škola";"Varaždinska županija";"Rajka  Tršinski";"042/722-131, 722-444, 042/208-440, 042/722-660";"042/722-131, 722-444";"ured@ss-arboretumopeka-marcan.skole.hr, arboretum.opeka@ss-arboretumopeka-marcan.skole.hr, knjiznica.arboretum@gmail.com";"www.ss-arboretumopeka-marcan.skole.hr"
