naziv;opis;sifra;podsifra;zupanija;mjesto;e_mail;web;url
Osnovna škola VELIKA MLAKA;Osnovna škola;01-087-006;0-0;Zagrebačka;10408  Velika Mlaka;ured@os-velika-mlaka.skole.hr;www.os-velika-mlaka.skole.hr;www.os-velika-mlaka.skole.hr
Osnovna škola Novo Čiče;Osnovna škola;01-087-007;0-0;Zagrebačka;10415  Novo Čiče;ured@os-novo-cice.skole.hr;http://www.os-novo-cice.skole.hr;http://www.os-novo-cice.skole.hr
Osnovna škola ŠĆITARJEVO;Osnovna škola;01-087-010;0-0;Zagrebačka;10410  Šćitarjevo;ured@os-scitarjevo.skole.hr , osnovna.skola.scitarjevo@zg.t-com.hr;NA;www.os-scitarjevo.skole.hr
CENTAR ZA ODGOJ I OBRAZOVANJE VELIKA GORICA;Osnovna škola;01-087-011;0-0;Zagrebačka;10410  Velika Gorica;czoo.vg@gmail.com   ;www.centar-odgojiobrazovanje-velikagorica.skole.hr;www.centar-odgojiobrazovanje-velikagorica.skole.hr
Osnovna škola Krunoslava Kutena;Osnovna škola;01-094-001;0-0;Zagrebačka;10340  Vrbovec;ured@os-kkutena-vrbovec.skole.hr;http://www.os-kkutena-vrbovec.skole.hr;http://www.os-kkutena-vrbovec.skole.hr
Osnovna škola Marije Jurić Zagorke;Osnovna škola, Umjetnička škola;01-094-003;0-0;Zagrebačka;10340  Vrbovec;ured@os-mjzagorke-vrbovec.skole.hr;http://os-mjzagorke-vrbovec.skole.hr/;http://os-mjzagorke-vrbovec.skole.hr/
Osnovna škola Antuna Augustinčića;Osnovna škola;01-108-001;0-0;Zagrebačka;10290  Zaprešić;ured@os-aaugustincica-zapresic.skole.hr , danijela.adzijevic@skole.hr;NA;www.os-aaugustincica-zapresic.skole.hr
OSNOVNA ŠKOLA LJUDEVITA GAJA;Osnovna škola;01-108-002;0-0;Zagrebačka;10290  Zaprešić;tajnistvo@os-ljudevita-gaja-zapresic.skole.hr;NA;www.os-ljudevita-gaja-zapresic.skole.hr
Osnovna škola Kupljenovo;Osnovna škola;01-108-004;0-0;Zagrebačka;10295  Kupljenovo;kupljenovo@os-kupljenovo.skole.hr;os-kupljenovo.skole.hr;os-kupljenovo.skole.hr
OSNOVNA ŠKOLA DRAGUTINA DOMJANIĆA;Osnovna škola;01-109-001;0-0;Zagrebačka;10380  Sveti Ivan Zelina;osnovna.skola.zelina@zg.t-com.hr;NA;http://os-ddomjanica-zg.skole.hr/
OSNOVNA ŠKOLA KSAVERA ŠANDORA ĐALSKOG;Osnovna škola;01-109-002;0-0;Zagrebačka;10382  Donja Zelina;ured@os-ksdjalski-donjazelina.skole.hr , ;http://os-ksdjalski-donjazelina.skole.hr;http://os-ksdjalski-donjazelina.skole.hr
Osnovna škola Ivana Perkovca;Osnovna škola;01-151-001;0-0;Zagrebačka;10292  Šenkovec;os-ivana-perkovca@zg.t-com.hr , ured@os-iperkovca-senkovec.skole.hr;http://os-iperkovca-senkovec.skole.hr/;http://os-iperkovca-senkovec.skole.hr/
Osnovna škola Ivane Brlić-Mažuranić;Osnovna škola;01-151-002;0-0;Zagrebačka;10291  Prigorje Brdovečko;ured@os-ibmazuranic-prigorjebrdovecko.skole.hr;www.os-ibmazuranic-prigorjebrdovecko.skole.hr;www.os-ibmazuranic-prigorjebrdovecko.skole.hr
OSNOVNA ŠKOLA PAVAO BELAS;Osnovna škola, Umjetnička škola;01-151-003;0-0;Zagrebačka;10291  Brdovec;osnovna.skola-pavao.belas@zg.t-com.hr;http://os-pavao-belas.skole.hr/;http://os-pavao-belas.skole.hr/
Osnovna škola Rugvica;Osnovna škola;01-152-001;0-0;Zagrebačka;10370  Rugvica;os-rugvica@os-rugvica.skole.hr;http://www.os-rugvica.skole.hr;http://www.os-rugvica.skole.hr
Osnovna škola Stjepan Radić;Osnovna škola;01-153-001;0-0;Zagrebačka;10370  Božjakovina;skola@os-stjepan-radic-bozjakovina.skole.hr;www.os-stjepan-radic-bozjakovina.skole.hr;www.os-stjepan-radic-bozjakovina.skole.hr
Osnovna škola Pušća;Osnovna škola;01-155-001;0-0;Zagrebačka;10294  Donja Pušća;os-pusca@zg.t-com.hr , ured@os-pusca-donja.skole.hr;http://os-pusca-donja.skole.hr/;http://os-pusca-donja.skole.hr/
Osnovna škola Sveta Nedelja;Osnovna škola;01-156-001;0-0;Zagrebačka;10431  Sveta Nedelja;ured@os-sveta-nedelja.skole.hr  , racunovodstvo@os-sveta-nedelja.skole.hr;NA;www.os-sveta-nedelja.skole.hr
OSNOVNA ŠKOLA KLINČA SELA;Osnovna škola;01-157-001;0-0;Zagrebačka;10450  Klinča Sela;ured@os-klinca-sela.skole.hr;www.os-klinca-sela.skole.hr;www.os-klinca-sela.skole.hr
Osnovna škola Vladimir Nazor;Osnovna škola;01-158-001;0-0;Zagrebačka;10451  Pisarovina;ured@os-vladimir-nazor-pisarovina.skole.hr;NA;www.os-vladimir-nazor-pisarovina.skole.hr
Osnovna škola Kardinal Alojzije Stepinac;Osnovna škola;01-159-001;0-0;Zagrebačka;10454  Krašić;ured@os-alojzije-stepinac-krasic.skole.hr;http://os-alojzije-stepinac-krasic.skole.hr/;http://os-alojzije-stepinac-krasic.skole.hr/
Osnovna škola Vladimir Deščak;Osnovna škola;01-160-001;0-0;Zagrebačka;10431  Sveta Nedelja;ured@os-vladimir-descak.skole.hr;www.os-vladimir-descak.skole.hr;www.os-vladimir-descak.skole.hr
Osnovna škola Gradec;Osnovna škola;01-163-001;0-0;Zagrebačka;10345  Gradec;biljana.vojvodic@skole.hr , ured@os-gradec.skole.hr ;os-gradec.skole.hr;os-gradec.skole.hr
Osnovna škola Dubrava;Osnovna škola;01-164-001;0-0;Zagrebačka;10342  Dubrava;os-dubrava@os-dubrava.skole.hr;NA;www.os-dubrava.skole.hr
Osnovna škola Jakovlje;Osnovna škola;01-166-001;0-0;Zagrebačka;10297  Jakovlje;ured@os-jakovlje.skole.hr;http://os-jakovlje.skole.hr/;http://os-jakovlje.skole.hr/
Osnovna škola braće Radića;Osnovna škola;01-198-001;0-0;Zagrebačka;10312  Kloštar Ivanić;ured@os-brace-radica-klostarivanic.skole.hr;NA;www.os-brace-radica-klostarivanic.skole.hr
Osnovna škola MILKE TRNINE;Osnovna škola;01-199-001;0-0;Zagrebačka;10314  Križ;os-kriz-001@os-mtrnine-kriz.skole.hr;http://www.os-mtrnine-kriz.skole.hr/;http://www.os-mtrnine-kriz.skole.hr/
Osnovna škola Ante Kovačića;Osnovna škola;01-539-001;0-0;Zagrebačka;10299  Marija Gorica;os.ante.kovacica@gmail.com , tajnistvo@os-akovacica-mgorica.skole.hr 	 , ured@os-akovacica-mgorica.skole.hr;www.os-akovacica-mgorica.skole.hr;www.os-akovacica-mgorica.skole.hr
Osnovna škola POKUPSKO;Osnovna škola;01-544-001;0-0;Zagrebačka;10414  Pokupsko;ured@os-pokupsko.skole.hr;www.os-pokupsko.hr;www.os-pokupsko.hr
OSNOVNA ŠKOLA SLAVKA KOLARA;Osnovna škola;01-545-001;0-0;Zagrebačka;10413  Kravarsko;ured@os-skolara-kravarsko.skole.hr;www.os-skolara-kravarsko.skole.hr;www.os-skolara-kravarsko.skole.hr
Osnovna škola Bistra;Osnovna škola;01-547-001;0-0;Zagrebačka;10298  Poljanica Bistranska;tajnistvo@os-bistra.skole.hr;NA;www.os-bistra.skole.hr
Osnovna škola Luka;Osnovna škola;01-548-001;0-0;Zagrebačka;10296  Luka;skolaluka@os-luka.skole.hr;NA;www.os-luka.skole.hr
Osnovna škola Bedenica;Osnovna škola;01-550-001;0-0;Zagrebačka;10381  Bedenica;ured@os-bedenica.skole.hr;NA;www.os-bedenica.skole.hr
OSNOVNA ŠKOLA DONJA STUBICA;Osnovna škola;02-014-001;0-0;Krapinsko-zagorska;49240  Donja Stubica;ured1@os-donja-stubica.skole.hr;www.os-donja-stubica.skole.hr;www.os-donja-stubica.skole.hr
Osnovna škola Vladimir Bosnar Stubičke Toplice;Osnovna škola;02-014-004;0-0;Krapinsko-zagorska;49244  Stubičke Toplice;skola@os-stubicke-toplice.skole.hr;www.os-stubicke-toplice.skole.hr;www.os-stubicke-toplice.skole.hr
Osnovna škola Antuna Mihanovića;Osnovna škola;02-035-001;0-0;Krapinsko-zagorska;49290  Klanjec;skola@os-amihanovica-klanjec.skole.hr;os-amihanovica-klanjec.skole.hr;os-amihanovica-klanjec.skole.hr
Osnovna škola Augusta Cesarca, Krapina;Osnovna škola, Umjetnička škola;02-040-001;0-0;Krapinsko-zagorska;49000  Krapina;mjuricev65@gmail.com , ured@os-acesarca-kr.skole.hr ;http://www.os-acesarca-kr.skole.hr/;http://www.os-acesarca-kr.skole.hr/
Osnovna škola Ljudevit Gaj u Krapini;Osnovna škola;02-040-002;0-0;Krapinsko-zagorska;49000  Krapina;ured@os-ljudevit-gaj-kr.skole.hr;NA;www.os-ljudevit-gaj-kr.skole.hr
Osnovna škola Ksavera Šandora Gjalskog;Osnovna škola, Umjetnička škola;02-097-001;0-0;Krapinsko-zagorska;49210  Zabok;ured@os-ksaver-sandor-djalski-zabok.skole.hr;NA;www.os-ksaver-sandor-djalski-zabok.skole.hr
Osnovna škola Zlatar Bistrica;Osnovna škola;02-110-001;0-0;Krapinsko-zagorska;49247  Zlatar-Bistrica;ured@os-zlatar-bistrica.skole.hr;http://www.os-zlatar-bistrica.skole.hr/;http://www.os-zlatar-bistrica.skole.hr/
OSNOVNA ŠKOLA JANKA LESKOVARA;Osnovna škola;02-123-001;0-0;Krapinsko-zagorska;49218  Pregrada;ured.ospregrada@skole.hr;http://os-pregrada.skole.hr/;http://os-pregrada.skole.hr/
OSNOVNA ŠKOLA BEDEKOVČINA;Osnovna škola;02-167-001;0-0;Krapinsko-zagorska;49221  Bedekovčina;ravnatelj@os-bedekovcina.skole.hr , osb-racunovodstvo@kr.t-com.hr , osb-pedagog@kr.t-com.hr , osb-ravnatelj@kr.t-com.hr , ivan.paradi@skole.hr , os-bedekovcina@kr.htnet.hr  , osb-tajnik@kr.t-com.hr;http://os-bedekovcina.skole.hr/;http://os-bedekovcina.skole.hr/
Osnovna škola Stjepana Radića Brestovec Orehovički;Osnovna škola;02-167-002;0-0;Krapinsko-zagorska;49228  Brestovec Orehovički;ravnatelj@os-sradica-brestovec.skole.hr , os.stjepana.radica.brestovec.orehovicki@kr.t-com.hr , os-s.radica@kr.t-com.hr , ured@os-sradica-brestovec.skole.hr;http://os-sradica-brestovec.skole.hr/;http://os-sradica-brestovec.skole.hr/
Osnovna škola VLADIMIR NAZOR BUDINŠČINA;Osnovna škola;02-168-001;0-0;Krapinsko-zagorska;49284  Budinšćina;ured@os-vnazor-budinscina.skole.hr;http://os-vnazor-budinscina.skole.hr/;http://os-vnazor-budinscina.skole.hr/
CENTAR ZA ODGOJ I OBRAZOVANJE ZAJEZDA;Osnovna škola, Srednja škola;02-168-002;0-0;Krapinsko-zagorska;49284  Zajezda;zajezda@kr.t-com.hr;NA;https://coo-zajezda.hr/
OSNOVNA ŠKOLA ĐURE PREJCA DESINIĆ;Osnovna škola;02-169-001;0-0;Krapinsko-zagorska;49216  Desinić;ured@os-djure-prejca-desinic.skole.hr;NA;www.os-djure-prejca-desinic.skole.hr
OSNOVNA ŠKOLA ĐURMANEC;Osnovna škola;02-170-001;0-0;Krapinsko-zagorska;49225  Đurmanec;ured@os-djurmanec.skole.hr;www.os-djurmanec.skole.hr;www.os-djurmanec.skole.hr
Osnovna škola Matije Gupca;Osnovna škola;02-171-001;0-0;Krapinsko-zagorska;49245  Gornja Stubica;osmggs@os-mgupca-gornjastubica.skole.hr , ravnateljica@os-mgupca-gornjastubica.skole.hr;http://os-mgupca-gornjastubica.skole.hr/;http://os-mgupca-gornjastubica.skole.hr/
OSNOVNA ŠKOLA VIKTORA KOVAČIĆA;Osnovna škola;02-172-001;0-0;Krapinsko-zagorska;49231  Hum na Sutli;ured@os-vkovacica-humnasutli.skole.hr;http://www.os-vkovacica-humnasutli.skole.hr;http://www.os-vkovacica-humnasutli.skole.hr
Osnovna škola PAVLA ŠTOOSA;Osnovna škola;02-174-001;0-0;Krapinsko-zagorska;49294  Kraljevec na Sutli;skola@os-pstoosa-kraljevecnasutli.skole.hr;NA;www.os-pstoosa-kraljevecnasutli.skole.hr
Osnovna škola LIJEPA NAŠA;Osnovna škola;02-175-001;0-0;Krapinsko-zagorska;49215  Tuhelj;ured@os-lijepa-nasa-tuhelj.skole.hr;NA;www.os-lijepa-nasa-tuhelj.skole.hr
OSNOVNA ŠKOLA KONJŠČINA;Osnovna škola;02-177-001;0-0;Krapinsko-zagorska;49282  Konjščina;ured@os-konjscina.skole.hr;NA;www.os-konjscina.skole.hr
OSNOVNA ŠKOLA KRAPINSKE TOPLICE;Osnovna škola;02-178-001;0-0;Krapinsko-zagorska;49217  Krapinske Toplice;os-krapinske-toplice@kr.t-com.hr , skola@os-krapinske-toplice.skole.hr;www.os-krapinske-toplice.skole.hr;www.os-krapinske-toplice.skole.hr
Centar za odgoj i obrazovanje Krapinske Toplice;Osnovna škola;02-178-003;0-0;Krapinsko-zagorska;49217  Krapinske Toplice;ured@centar-krapinske-toplice-kr.skole.hr , ravnatelj@centar-krapinske-toplice-kr.skole.hr , pedagog@centar-krapinske-toplice-kr.skole.hr , ured@centar-krapinske-toplice-kr.skole.hr;http://centar-krapinske-toplice-kr.skole.hr/;http://centar-krapinske-toplice-kr.skole.hr/
Osnovna škola Franje Horvata Kiša;Osnovna škola;02-179-001;0-0;Krapinsko-zagorska;49253  Lobor;ured@os-fhorvata-kisa-lobor.skole.hr;www.os-fhorvata-kisa-lobor.skole.hr;www.os-fhorvata-kisa-lobor.skole.hr
Osnovna škola Mače;Osnovna škola;02-180-001;0-0;Krapinsko-zagorska;49251  Mače;ured@os-mace.skole.hr;www.os-mace.com;www.os-mace.com
Osnovna škola Marija Bistrica;Osnovna škola, Umjetnička škola;02-181-001;0-0;Krapinsko-zagorska;49246  Marija Bistrica;ured@os-marija-bistrica.skole.hr , dominik.karajic@skole.hr;NA;www.os-marija-bistrica.skole.hr
OSNOVNA ŠKOLA LJUDEVIT GAJ Mihovljan;Osnovna škola;02-182-001;0-0;Krapinsko-zagorska;49252  Mihovljan;os-mihovljan@os-ljgaj-mihovljan.hr , ured@os-ljudevit-gaj-mihovljan.skole.hr;NA;www.os-ljgaj-mihovljan.hr
Osnovna škola Oroslavje;Osnovna škola;02-183-001;0-0;Krapinsko-zagorska;49243  Oroslavje;os-oroslavje@os-oroslavje.skole.hr , os-oroslavje@kr.t-com.hr;www.os-oroslavje.skole.hr;www.os-oroslavje.skole.hr
Osnovna škola Antuna Mihanovića Petrovsko;Osnovna škola;02-184-001;0-0;Krapinsko-zagorska;49234  Petrovsko;skola@os-amihanovica-petrovsko.skole.hr;NA;www.os-amihanovica-petrovsko.skole.hr
OSNOVNA ŠKOLA SIDE KOŠUTIĆ RADOBOJ;Osnovna škola;02-185-001;0-0;Krapinsko-zagorska;49232  Radoboj;radoboj@os-skosutic-radoboj.skole.hr;NA;www.os-skosutic-radoboj.skole.hr
OSNOVNA ŠKOLA SVETI KRIŽ ZAČRETJE;Osnovna škola;02-187-001;0-0;Krapinsko-zagorska;49223  Sveti Križ Začretje;ured@os-sveti-kriz-zacretje.skole.hr;NA;www.os-sveti-kriz-zacretje.skole.hr
Osnovna škola Veliko Trgovišće;Osnovna škola;02-188-001;0-0;Krapinsko-zagorska;49214  Veliko Trgovišće;ured@os-veliko-trgovisce.skole.hr;NA;www.os-veliko-trgovisce.skole.hr
Osnovna škola Ante Kovačića;Osnovna škola;02-189-001;0-0;Krapinsko-zagorska;49250  Zlatar; , ured@os-akovacica-zlatar.skole.hr;NA;www.os-akovacica-zlatar.skole.hr
Osnovna škola Belec;Osnovna škola;02-189-002;0-0;Krapinsko-zagorska;49254  Belec;os-belec@os-belec.skole.hr , osmorazredna-skola-belec@kr.t-com.hr;http://os-belec.skole.hr/;http://os-belec.skole.hr/
Osnovna škola GORNJE JESENJE;Osnovna škola;02-552-001;0-0;Krapinsko-zagorska;49233  Gornje Jesenje;os-gornje-jesenje@kr.t-com.hr , ured@os-gornje-jesenje.skole.hr;NA;www.os-gornje-jesenje.skole.hr
Osnovna škola Josipa Broza;Osnovna škola;02-553-001;0-0;Krapinsko-zagorska;49295  Kumrovec;ured@os-josipa-broza-kumrovec.skole.hr;NA;www.os-josipa-broza-kumrovec.skole.hr
Osnovna škola Dvor;Osnovna škola;03-021-001;0-0;Sisačko-moslavačka;44440  Dvor;osnovna-skola-dvor@os-dvor.skole.hr;http://os-dvor.skole.hr/;http://os-dvor.skole.hr/
OSNOVNA ŠKOLA GLINA;Osnovna škola;03-025-001;0-0;Sisačko-moslavačka;44400  Glina;os-glina@sk.t-com.hr , ured@os-glina.skole.hr;www.os-glina.skole.hr;www.os-glina.skole.hr
OSNOVNA ŠKOLA DAVORINA TRSTENJAKA;Osnovna škola;03-039-001;0-0;Sisačko-moslavačka;44430  Hrvatska Kostajnica;skola@os-dtrstenjaka-hrkostajnica.skole.hr;os-dtrstenjaka-hrkostajnica.skole.hr;os-dtrstenjaka-hrkostajnica.skole.hr
OSNOVNA ŠKOLA BANOVA JARUGA;Osnovna škola;03-043-001;0-0;Sisačko-moslavačka;44321  Banova Jaruga;ured@os-banova-jaruga.skole.hr;https://os-banova-jaruga.site123.me/ , http://os-banova-jaruga.skole.hr/;https://os-banova-jaruga.site123.me/ , http://os-banova-jaruga.skole.hr/
OSNOVNA ŠKOLA MATE LOVRAKA;Osnovna škola;03-043-002;0-0;Sisačko-moslavačka;44320  Kutina;skola@os-mate-lovraka-kt.skole.hr;www.os-mate-lovraka-kt.skole.hr;www.os-mate-lovraka-kt.skole.hr
OSNOVNA ŠKOLA VLADIMIRA VIDRIĆA;Osnovna škola;03-043-003;0-0;Sisačko-moslavačka;44320  Kutina;skola@os-vvidrica-kt.skole.hr;NA;www.os-vvidrica-kt.skole.hr
OSNOVNA ŠKOLA STJEPANA KEFELJE;Osnovna škola;03-043-004;0-0;Sisačko-moslavačka;44320  Kutina; skola@os-stjepana-kefelje-kt.skole.hr  ;http://os-stjepana-kefelje-kt.skole.hr/;http://os-stjepana-kefelje-kt.skole.hr/
OSNOVNA ŠKOLA ZVONIMIRA FRANKA;Osnovna škola;03-043-005;0-0;Sisačko-moslavačka;44320  Kutina;skola@os-zvonimira-franka-kt.skole.hr;www.os-zvonimira-franka-kt.skole.hr;www.os-zvonimira-franka-kt.skole.hr
OSNOVNA ŠKOLA NOVSKA;Osnovna škola;03-054-001;0-0;Sisačko-moslavačka;44330  Novska;os-novska@os-novska.skole.hr;http://www.os-novska.hr/;http://www.os-novska.hr/
OSNOVNA ŠKOLA RAJIĆ;Osnovna škola;03-054-002;0-0;Sisačko-moslavačka;44323  Rajić;skola@os-rajic.skole.hr;www.os-rajic.skole.hr;www.os-rajic.skole.hr
Katolička osnovna škola u Novskoj;Osnovna škola;03-054-004;0-0;Sisačko-moslavačka;44330  Novska;ravnatelj@kos-novska.hr;https://www.kos-novska.hr;https://www.kos-novska.hr
I. OSNOVNA ŠKOLA PETRINJA;Osnovna škola;03-066-001;0-0;Sisačko-moslavačka;44250  Petrinja;ured@os-prva-petrinja.skole.hr;www.1os-petrinja.hr;www.1os-petrinja.hr
OSNOVNA ŠKOLA MATE LOVRAKA PETRINJA;Osnovna škola;03-066-002;0-0;Sisačko-moslavačka;44250  Petrinja;ured@os-mlovraka-petrinja.skole.hr;NA;www.os-mlovraka-petrinja.skole.hr
OSNOVNA ŠKOLA DRAGUTINA TADIJANOVIĆA PETRINJA;Osnovna škola;03-066-003;0-0;Sisačko-moslavačka;44250  Petrinja;ravnatelj@os-dtadijanovica-petrinja.skole.hr , pedagog@os-dtadijanovica-petrinja.skole.hr , szop@os-dtadijanovica-petrinja.skole.hr , ured@os-dtadijanovica-petrinja.skole.hr ;www.os-tadija-petrinja.hr;www.os-tadija-petrinja.hr
Osnovna škola Ivan Goran Kovačić;Osnovna škola;03-066-004;0-0;Sisačko-moslavačka;44250  Gora;igk@os-igkovacic-petrinjagora.skole.hr;www.http://os-igkovacic-petrinjagora.skole.hr/;www.http://os-igkovacic-petrinjagora.skole.hr/
OSNOVNA ŠKOLA IVANA KUKULJEVIĆA SISAK;Osnovna škola;03-076-001;0-0;Sisačko-moslavačka;44000  Sisak;ured@os-ikukuljevica-sk.skole.hr;www.os-ikukuljevica-sk.skole.hr;www.os-ikukuljevica-sk.skole.hr
Osnovna škola 22. lipnja;Osnovna škola;03-076-002;0-0;Sisačko-moslavačka;44000  Sisak; , ured@os-22lipnja-sk.skole.hr;NA;www.os-22lipnja-sk.skole.hr
"OSNOVNA ŠKOLA ""BRAĆA BOBETKO"" SISAK";Osnovna škola;03-076-003;0-0;Sisačko-moslavačka;44000  Sisak;ured@os-braca-bobetko-sk.skole.hr;http://os-braca-bobetko-sk.skole.hr;http://os-braca-bobetko-sk.skole.hr
Osnovna škola Braća Ribar;Osnovna škola;03-076-004;0-0;Sisačko-moslavačka;44000  Sisak;ured@os-braca-ribar-sk.skole.hr;NA;www.os-braca-ribar-sk.skole.hr
Osnovna škola Viktorovac;Osnovna škola;03-076-005;0-0;Sisačko-moslavačka;44000  Sisak;skola@os-viktorovac-sk.skole.hr;NA;www.os-viktorovac-sk.skole.hr
Osnovna škola Galdovo;Osnovna škola;03-076-006;0-0;Sisačko-moslavačka;44000  Sisak;ured@os-galdovo-sk.skole.hr;NA;www.os-galdovo-sk.skole.hr
Osnovna škola Sela;Osnovna škola;03-076-007;0-0;Sisačko-moslavačka;44273  Sela;NA;www.os-sela.skole.hr;www.os-sela.skole.hr
Osnovna škola Budaševo-Topolovac-Gušće;Osnovna škola;03-076-008;0-0;Sisačko-moslavačka;44202  Budaševo;os-budasevo@os-budasevo.skole.hr;os-budasevo.skole.hr;os-budasevo.skole.hr
OSNOVNA ŠKOLA IVANA ANTOLČIĆA KOMAREVO;Osnovna škola;03-076-010;0-0;Sisačko-moslavačka;44010  Sisak-Caprag;os-komarevo@sk.t-com.hr , tajnistvo@os-iantolcica-komarevo.skole.hr , os-komarevo@sk.t-com.hr;http://www.os-komarevo.skole.hr;http://www.os-komarevo.skole.hr
Osnovna škola Gvozd;Osnovna škola;03-092-002;0-0;Sisačko-moslavačka;44410  Gvozd;os-gvozd@os-gvozd.skole.hr;NA;www.os-gvozd.skole.hr
OSNOVNA ŠKOLA JOSIPA KOZARCA;Osnovna škola;03-190-001;0-0;Sisačko-moslavačka;44322  Lipovljani;ured@os-jkozarca-lipovljani.skole.hr;www.os-jkozarca-lipovljani.skole.hr;www.os-jkozarca-lipovljani.skole.hr
Osnovna škola Mladost;Osnovna škola;03-191-001;0-0;Sisačko-moslavačka;44272  Lekenik;ured@os-mladost-lekenik.skole.hr;os-mladost-lekenik.skole.hr;os-mladost-lekenik.skole.hr
Osnovna škola Braća Radić;Osnovna škola;03-192-001;0-0;Sisačko-moslavačka;44201  Martinska Ves;os.braca.radic@sk.t-com.hr , ured@os-braca-radic-martinskaves.skole.hr;NA;www.os-braca-radic-martinskaves.skole.hr
